"startup_id","startup_name","macro_theme","emergent_theme","market_label","technical_stack","transition_function","output_class","feedstock","industry_destination","market_interface","scope_decision","scope_reason","scope_source","evidence_source","notes","confidence"
"tech","@Tech","precision agriculture and resource intelligence","precision agriculture intelligence","animal protein optimization and traceability","AI; data science; IoT; smart ear tags","lower-efficiency-animal-protein-production-to-data-driven-optimization","animal production intelligence platform","livestock and animal protein production data","animal protein supply chains","B2B platform","include","official_portfolio_signal_biocentric_material_system","yieldlab_portfolio_official","yieldlab_portfolio_2026","The Yield Lab Latam portfolio describes optimization of animal protein production using AI, IoT and traceability across cattle, broiler and fish.","0.78"
"agree","Agree","climate, energy and resource systems","traceability and tokenized resource infrastructure","agri-food chain traceability and market infrastructure","B2B marketplace; traceability; sustainability workflows; quota management; barter contracts; agri-food financing","fragmented-agri-food-chains-to-digital-traceable-coordination","market and traceability platform","grains, oilseeds, fruits and vegetables transaction data","agri-food chains","B2B platform","include","official_website_signal_material_ag_system","agree_official_site","agree_official_site_2026","Official site says Agree accelerates digital transformation of agri-food chains, helping users manage quotas, barters, contracts, documents and financing while focusing on traceability and sustainability.","0.86"
"agrired","AgriRed","precision agriculture and resource intelligence","ag-input market infrastructure","b2b ag-input market infrastructure","b2b marketplace; pricing analytics; logistics coordination","manual-ag-input-trading-to-digital-resource-coordination","market infrastructure platform","agricultural input demand, supply and transaction data","agriculture, seeds, fertilizers and agrochemicals","B2B marketplace platform","include","official_site_signal_material_ag_system","agrired_official_site","agrired_official_site_2026","Official site and public export profile describe a digital B2B market for seeds, fertilizers and agrochemicals with logistics and market intelligence.","0.84"
"agroforte","Agroforte","climate, energy and resource systems","traceability and tokenized resource infrastructure","animal production financial infrastructure","digital bank; credit risk; production data","capital-constrained-livestock-producers-to-better-infrastructure-and-welfare","financial infrastructure platform","poultry, pork and dairy production data","animal protein supply chains","B2B finance platform","include","official_portfolio_signal_material_ag_system","yieldlab_portfolio_official","yieldlab_portfolio_2026","The Yield Lab Latam portfolio describes a digital banking and credit platform for poultry, pork and dairy producers, improving infrastructure and animal welfare.","0.68"
"agrojusto","Agrojusto","precision agriculture and resource intelligence","agri-market and traceability infrastructure","smallholder food-market and traceability platform","traceability; rural digitization; producer market access; food-chain coordination","fragmented-smallholder-food-chains-to-traceable-market-access","food-system market infrastructure platform","food production, traceability and smallholder commercial data","small producers, public agencies and food value chains","B2B and ecosystem platform","include","official_site_signal_material_ag_system","agrojusto_official_site","agrojusto_official_site_2026","Official site describes technology to improve market access for small producers, digital traceability and territorial implementation across food systems.","0.9"
"agrotoken","Agrotoken","climate, energy and resource systems","traceability and tokenized resource infrastructure","agricultural asset and traceability infrastructure","blockchain infrastructure; tokenization; traceability; collateral management","illiquid-and-opaque-resource-markets-to-traceable-financeable-material-assets","resource and traceability infrastructure","grain production and sustainability data","agribusiness, food, energy and mining supply chains","infrastructure platform","include","official_site_signal_material_ag_system","agrotoken_official_site","agrotoken_official_site_2026","Official site describes tokenization of grains and additional traceability and sustainability tools for real-world asset and supply-chain management.","0.86"
"algaebio","algaebio+","food biotech and novel ingredients","microalgae functional ingredients","microalgae antioxidant ingredients company","microalgae cultivation; photobioreactors; functional ingredient processing","synthetic-and-petro-derived-health-ingredients-to-natural-bio-based-functional-compounds","functional ingredient","microalgae biomass and astaxanthin","aquaculture, nutraceuticals, functional food and cosmetics","ingredient supplier","include","official_site_signal_bio_based_or_biocentric","algaebio_official_site","algaebio_official_site_2026","Official site describes scalable natural astaxanthin production from microalgae for aquaculture and health-related ingredient markets.","0.93"
"alytix","Alytix","therapeutics and regenerative medicine","therapeutic and regenerative biology","therapeutic biotech and regenerative medicine","phage therapy; microbial biotechnology; therapeutic platforms","conventional-care-to-biology-enabled-therapies","therapeutic platform","bacteriophages and microbial systems","biotech and healthcare","therapeutic platform","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes bacteriophages for resistant bacterial infections.","0.84"
"apasomics","Apasomics","therapeutics and regenerative medicine","therapeutic and regenerative biology","targeted bone therapeutics and regenerative medicine","nanotechnology; bone-targeted drug delivery; hydroxyapatite nanospheres","systemic-bone-treatment-to-targeted-biomimetic-delivery","therapeutic delivery platform","hydroxyapatite nanospheres","bone health and regenerative medicine","therapeutic platform","include","official_website_signal_bio_based_or_biocentric","official_website","official_website_2026","Official site describes hydroxyapatite nanospheres for targeted bone drug delivery inspired by natural bone remineralization.","0.90"
"apexzymes","APEXzymes","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","industrial enzyme company","fungal engineering; enzyme bioprocessing; circular feedstocks","high-cost-and-linear-industrial-processing-to-lower-cost-biobased-catalysis","industrial biotech platform","agroindustrial byproducts and fungal systems","food, paper, biorefinery and biofuels","industrial biotech supplier","include","official_site_signal_bio_based_or_biocentric","apexzymes_official_site","apexzymes_official_site_2026","Official site describes low-cost enzyme production using engineered filamentous fungi and agroindustrial byproducts for more sustainable industrial processes.","0.93"
"aplife_biotech","Aplife Biotech","computational biology and scientific software","computational biology and life-science software","aptamer discovery and high-throughput screening platform","high-throughput bioprinting; assay miniaturization; combinatorial library synthesis; screening automation","slow-fragmented-drug-discovery-to-miniaturized-high-throughput-biology","discovery and screening platform","combinatorial libraries, aptamer workflows and experimental biology systems","biotech, pharma, diagnostics and life-science R&D","platform / infrastructure provider","include","official_site_signal_bio_based_or_biocentric","aplife_official_site","aplife_official_site_2026","Official site describes high-throughput discovery for combinatorial libraries, screening and life-science applications including genomics, proteomics, diagnostics, biosensors and whole-cell assays.","0.90"
"arakion","Arakion","ag biologicals and crop resilience","ag biologicals and crop resilience","bioinsecticides inspired by arachnid venom","venom peptides; rational molecular design; crop protection biotech","synthetic-crop-protection-to-biological-targeted-bioinsecticides","crop protection biotech platform","arachnid venom-derived bioactive compounds","agriculture and crop protection","biotech company","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes Arakion as rational design of insecticides based on arachnid venom.","0.86"
"arcus","Arcus","peripheral or non-core digital ventures","digital coordination and market infrastructure","enterprise AI workflow platform","multimodal AI agents; workflow automation; data reasoning","manual-and-fragmented-operations-to-digital-coordination","software platform","enterprise data, documents and workflows","cross-sector enterprise software","B2B software platform","exclude","full_digital_no_materiality_signal","arcus_official_site","arcus_official_site_2026","Official site describes enterprise AI workflows, model routing and structured extraction without a clear life-based or material thesis signal.","0.92"
"argentag","ArgenTAG","computational biology and scientific software","computational biology and life-science software","single-cell long-read sequencing platform","single-cell genomics; long-read sequencing; microfluidics; smart barcoding; RNA library preparation","high-cost-single-cell-sequencing-to-scalable-long-read-access","research tools platform","single-cell transcriptomics workflows and long-read sequencing data","biopharma, biomedical research and life-science labs","research tools company","include","official_website_signal_life_science_tools","argentag_official_product_page","argentag_official_site_2026","Official product page describes a Single-Cell RNA Library Kit using portable microfluidic chips, magnetic beads and smart barcoding for ONT and PacBio-compatible long-read workflows.","0.94"
"arqlite","Arqlite","climate, energy and resource systems","circular construction materials from plastic waste","circular construction materials from plastic waste","plastic waste; recycled aggregates; circular materials; low-carbon construction; manufacturing materials","hard-to-recycle-plastic-waste-to-low-carbon-construction-materials","recycled aggregate and circular material","","construction, manufacturing and circular materials","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","secondary_public_profile","Include as circular materials and resource recovery, not biotech.","0.76"
"auravant","Auravant","precision agriculture and resource intelligence","precision agriculture intelligence","precision agriculture and agronomic decision platform","agronomic models; satellite imagery; georeferenced layers; operational traceability; crop analytics","fragmented-field-data-to-traceable-precision-decisions","precision agriculture decision platform","","agriculture and agribusiness","B2B / platform","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_01_2026_05_08","official_website","Include as digital infrastructure tightly coupled to crop production systems.","0.88"
"auth0","Auth0","peripheral or non-core digital ventures","digital coordination and market infrastructure","identity and access management software","authentication; authorization; identity infrastructure","manual-and-fragmented-operations-to-digital-coordination","software platform","digital identity and application access data","cross-sector enterprise software","B2B software platform","exclude","full_digital_no_materiality_signal","auth0_official_site","auth0_official_site_2026","Official site describes an authentication and authorization platform with no material, bio or planetary-boundaries signal.","0.92"
"avatar_medtech","AVaTAR MedTech","diagnostics and medtech","health diagnostics and medtech","heart valve reconstruction devices","cardiovascular devices; surgical reconstruction; medtech","high-risk-or-limited-heart-valve-repair-to-specialized-reconstruction-devices","medical device","cardiac surgery and heart valve repair workflows","cardiovascular surgery and healthcare","device company","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","gridx_portfolio_2026","GRIDX portfolio describes medical devices for heart valve reconstruction.","0.79"
"axenya","Axenya","peripheral or non-core digital ventures","digital coordination and market infrastructure","corporate health management software","health analytics; benefits management; clinical navigation","manual-and-fragmented-operations-to-digital-coordination","software platform","employee health and benefits data","corporate HR and insurance","B2B software platform","exclude","full_digital_no_materiality_signal","axenya_official_site","axenya_official_site_2026","Official site describes corporate health management and insurance optimization rather than a thesis-core life-based startup.","0.84"
"ayuvant","Ayuvant","therapeutics and regenerative medicine","therapeutic and regenerative biology","therapeutic biotech and regenerative medicine","RNA nanoparticles; immunotherapy; therapeutic platforms","conventional-care-to-biology-enabled-therapies","therapeutic platform","RNA nanoparticles and immune-targeting biological systems","biotech and healthcare","therapeutic platform","include","official_site_signal_bio_based_or_biocentric","ayuvant_official_site","ayuvant_official_site_2026","Official site describes a non-inflammatory RNA nanoparticle immunotherapy platform targeting cancer.","0.87"
"bacu","BACU","peripheral or non-core digital ventures","digital coordination and market infrastructure","restaurant operations and food service technology","restaurant software; operations; delivery and payments","manual-and-fragmented-operations-to-digital-coordination","software-enabled service platform","restaurant operations, orders, menus and payments","food service and restaurants","consumer brand plus B2B platform","exclude","foodtech_but_not_biobased_or_biocentric_thesis_core","bacu_official_and_market_sources","bacu_sources_2026","Sources describe a healthy-food restaurant chain with proprietary restaurant software and operations tech, but not a thesis-core bio-based, regenerative or climate-material startup.","0.78"
