"file","category","extracted","notes"
"Ecosistema Startups Materiales Universidades Fondos Startups 2.gephi","historical_gephi_strings","0","graphstore_bytes_missing"
"Ecosistema Startups Materiales Universidades Fondos Startups 3.gephi","historical_gephi_strings","0","graphstore_bytes_missing"
"Ecosistema Startups Materiales Universidades Fondos Startups 426112025.gephi","historical_gephi_strings","134424","string signals extracted from graphstore bytes"
"Ecosistema Startups Materiales Universidades Fondos Startups.gephi","historical_gephi_strings","43338","string signals extracted from graphstore bytes"
"Ecosistema Startups Materiales.gephi","historical_gephi_strings","25345","string signals extracted from graphstore bytes"
"Ecosistema Transicion Material bio.gephi","historical_gephi_strings","0","graphstore_bytes_missing"
"edgeseco.csv","core","226","edge table with investment relations"
"Grafo Cofirmantes DNUs.gephi","historical_gephi_strings","70642","string signals extracted from graphstore bytes"
"latam_coinvest_network_v3.graphml","core","524","graphml with startup/investor nodes and edges"
"Mapa con 50 nodos dos.gephi","historical_gephi_strings","0","graphstore_bytes_missing"
"Mapa equipo 2026.gephi","historical_gephi_strings","0","graphstore_bytes_missing"
"nodoseco.csv","core","217","node table with graph metrics"
"todos los canales por modularidad.csv","historical_csv","61","Id, Label, _id, name, handle, subscribercount, viewcount, videocount, commentcount, authors, oldestvideo, publishedat, modularity_class, pageranks"
"todos los videos 50 nodos.csv","historical_csv","50","Id, Label, modularity_class, Degree, Weighted Degree, Eccentricity, closnesscentrality, harmonicclosnesscentrality, betweenesscentrality, Authority, Hub, pageranks, componentnumber, Cluster, clustering, triangles, stat_inf_class, eigencentrality"
"todos los videos.csv","historical_csv","3032","Id, Label, seedrank, publishedatunix, publishedatsql, channeltitle, channelid, videocategorylabel, defaultlanguage, defaultaudiolanguage, viewcount, likecount, commentcount, commentsdisabled"
