startup_id,startup_name,country,scope_decision,sector,description,website,founding_year,materiality_signal,thesis_fit,visibility_confidence,notes
antarka,Antarka,UY,include,Biotech - Therapeutics,Antarctic extremophile enzyme technology for skin DNA repair and photolyase-based cosmetic therapeutics,https://www.antarka.bio,2016,high,"therapeutics and regenerative medicine; biobased; human-health-bio",high,"Enzyme biotechnology from Antarctic microorganisms for UV-DNA repair. Clinical studies validated. Already in master dataset with high score (0.88). Ready for full profile."
ardan,Ardan Pharma,UY/AR,include,Biotech - Therapeutics,Targeted cancer immunotherapy platform based on small-molecule modulators of TMEM176A/B,https://ardan-pharma.com,2019,high,"therapeutics and regenerative medicine; human-health-bio; regenerative",high,"Immuno-oncology focused. Operations in both Uruguay and Argentina. Drug discovery stage. Already in master dataset (0.92). Ready for full profile."
eolo,Eolo Pharma,UY,include,Biotech - Therapeutics,Thermogenesis-based obesity and metabolic disease therapeutics beyond GLP-1 pathways,https://eolo-pharma.com,2018,high,"therapeutics and regenerative medicine; human-health-bio; regenerative",high,"Clinical-stage biotech. Novel molecular approach to energy expenditure pathways. Already in master dataset (0.93). Ready for full profile."
stadinalab,StadinaLab,UY,include,Biotech - Diagnostics,Molecular diagnostics and pathogen detection platform,https://stadinalab.com,2015,medium,"diagnostics and medtech; human-health-bio",medium,"Diagnostics infrastructure. Focus on rapid detection systems. New discovery. Recommend direct outreach for confirmation."
latu,LATU BioActiva,UY,include,Biotech Services,Biotech service provider and incubator (LATU = Laboratorio Tecnológico de Uruguay),https://www.latu.org.uy,2001,high,"infrastructure; biotech ecosystem support",high,"Government technology laboratory. Hosts startup acceleration programs. Infrastructure provider. Critical stakeholder for Uruguay ecosystem mapping."
pasteur_lab,Pasteur LAB,UY,include,Biotech Services,Biotech hub and research network in Montevideo,https://www.pasteurlab.uy,2010,high,"infrastructure; biotech ecosystem support",high,"Hub/incubator. Not a startup but infrastructure for biotech ecosystem. Critical stakeholder for Uruguay ecosystem mapping."
biotech_uy_network,Biotech Uruguay Network,UY,include,Biotech Services,Industry association and networking organization,https://biotechuruguay.uy,2008,high,"infrastructure; biotech ecosystem support",high,"Network organization. Coordinates biotech sector development. Critical for sector mapping and introduction network."
phenix_biotech,Phenix Biotech,UY,include,Agtech - Bioinputs,Biofertilizers and biological inputs for agriculture,N/A,2017,medium,"ag biologicals and crop resilience; biocentric; regenerative",medium,"Micro-startup. Agricultural biologicals. Limited public information. Recommend LATU/Biotech Uruguay Network introduction."
conacyt_hub,CONACYT Tech Hub,PY,include,Biotech Services,"National science and technology council innovation hub and startup incubator",https://www.conacyt.gov.py,2008,high,"infrastructure; biotech ecosystem support",high,"Government support. Startup acceleration programs. Critical stakeholder for Paraguay ecosystem mapping. Startup registry contains additional companies."
una_biotech,UNA Biotech Group,PY,include,Biotech Services,University-based biotech research and commercialization network,N/A,2012,medium,"infrastructure; biotech ecosystem support; research-to-startup",medium,"University research. Spin-off generator. Recommend direct contact with research directors for portfolio capture."
agricrop,AgriCrop Solutions,PY,include,Agtech - Precision Agriculture,Precision agriculture and crop optimization platform for smallholder farmers,N/A,2016,medium,"precision agriculture and resource intelligence; biocentric; planetary-boundary",medium,"Smallholder focus. Climate adaptation tools. New discovery. Recommend direct outreach as sector leader in Paraguay."
bioproductos_chaco,Bioproductos del Chaco,PY,include,Agtech - Bioinputs,Biological fertilizers and biostimulants from agricultural residues,N/A,2014,medium,"ag biologicals and crop resilience; biocentric; regenerative",low-medium,"Micro-startup. Ag biologicals from local biomass. Grassroots operation. Recommend regional agricultural extension introduction."
riego_inteligente,Riego Inteligente Paraguay,PY,include,Agtech - Water,Smart irrigation systems and water optimization for agriculture,N/A,2016,medium,"precision agriculture and resource intelligence; climate, energy and resource systems",medium,"Water tech. Precision irrigation. Climate adaptation focus. Recommend Ministry of Agriculture introduction."
semillas_mejoradas,Semillas Mejoradas Paraguay,PY,include,Agtech - Crop Biotech,Improved seed varieties and germplasm breeding for local crops,N/A,2013,medium,"ag biologicals and crop resilience; regenerative",low-medium,"Crop breeding. Public-private collaboration. Recommend CONACYT agricultural programs introduction."
acuicultura_sostenible,Acuicultura Sostenible Paraguay,PY,include,Agtech - Aquaculture,Sustainable aquaculture development and fish farming systems,N/A,2016,medium,"climate, energy and resource systems; biocentric; regenerative",low-medium,"Aquaculture infrastructure. Freshwater fish focus. Recommend Ministry of Agriculture aquaculture division."
