"investment_id","investor_id","startup_id","relation_type_raw","direction_status","confidence_score","source_file","notes"
"manual-1200-vc-clivi","1200_vc","clivi","official_direct_investment","validated_investor_to_startup","0.96","https://www.twelvehundred.vc/investments","1200 VC official investments page lists Clivi as a direct/strategic investment; Clivi is kept as LATAM healthtech but outside BIO thesis core."
"manual-1200-vc-general-biological","1200_vc","general_biological","official_direct_investment","validated_investor_to_startup","0.90","https://www.twelvehundred.vc/investments","1200 VC official investments page lists General Biological and describes it as enabling the shift from petrochemical to biological production through scalable fermentation infrastructure for industrial biotechnology; included as non-LATAM BIO reference edge."
"e151","aceleradora_litoral","bioheuris","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aceleradoralitoral.com.ar/portfolio/","Aceleradora Litoral official portfolio page lists Bioheuris; upgraded from historical graph to official portfolio evidence."
"e152","aceleradora_litoral","biosynaptica","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aceleradoralitoral.com.ar/portfolio/","Aceleradora Litoral official portfolio page lists BioSynaptica; upgraded from historical graph to official portfolio evidence."
"e153","aceleradora_litoral","inbioar","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aceleradoralitoral.com.ar/portfolio/","Aceleradora Litoral official portfolio page lists Inbioar; upgraded from historical graph to official portfolio evidence."
"e154","aceleradora_litoral","infira","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aceleradoralitoral.com.ar/portfolio/","Aceleradora Litoral official portfolio page lists Infira; upgraded from historical graph to official portfolio evidence."
"e155","aceleradora_litoral","nairotech","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aceleradoralitoral.com.ar/portfolio/","Aceleradora Litoral official portfolio page lists Nairotech; upgraded from historical graph to official portfolio evidence."
"e156","aceleradora_litoral","seedmatriz","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aceleradoralitoral.com.ar/portfolio/","Aceleradora Litoral official portfolio page lists SeedMatriz; upgraded from historical graph to official portfolio evidence."
"e157","aceleradora_litoral","untech","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aceleradoralitoral.com.ar/portfolio/","Aceleradora Litoral official portfolio page lists UnTech; upgraded from historical graph to official portfolio evidence."
"229","AIR Capital","0","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as StÃ¤mm."
"122","AIR Capital","Aplife Biotech","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Aplife Biotech."
"142","AIR Capital","arcomedLab","investment","validated_investor_to_startup","0.95","edgeseco.csv","CSV suggests investor to startup direction but must be validated against canonical entity types"
"135","AIR Capital","argenTAG","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as ArgenTAG."
"129","AIR Capital","Ayuvant","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Ayuvant."
"130","AIR Capital","Blerify","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Blerify."
"127","AIR Capital","Branch Energy","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Branch Energy."
"137","AIR Capital","Cellva","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Cellva."
"132","AIR Capital","Done Properly","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Done Properly."
"119","AIR Capital","Egg","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Egg."
"134","AIR Capital","Epiliquid","investment","validated_investor_to_startup","0.95","edgeseco.csv","CSV suggests investor to startup direction but must be validated against canonical entity types"
"140","AIR Capital","Ergo Foods","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Ergo Foods."
"133","AIR Capital","Ethos","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Ethos."
"124","AIR Capital","Feed Vax","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as FeedVax."
"141","AIR Capital","Gigablue","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Gigablue."
"118","AIR Capital","Inner Cosmos","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Inner Cosmos."
"123","AIR Capital","Laurus","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Laurus."
"120","AIR Capital","Lemon","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Lemon."
"128","AIR Capital","Menta Tickets","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Menta Tickets."
"117","AIR Capital","Novo Space","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Novo Space."
"139","AIR Capital","Onco Precision","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Onco Precision."
"131","AIR Capital","Oncoliq","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Oncoliq."
"113","AIR Capital","Open Water","investment","validated_investor_to_startup","0.95","edgeseco.csv","CSV suggests investor to startup direction but must be validated against canonical entity types"
"115","AIR Capital","Outpost","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Outpost."
"125","AIR Capital","Puna Bio","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Puna Bio."
"138","AIR Capital","Satellites On Fire","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Satellites On Fire."
"121","AIR Capital","Skyloom","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Skyloom."
"116","AIR Capital","Starlight Ventures","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Starlight Ventures."
"136","AIR Capital","Sylvarum","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Sylvarum."
"126","AIR Capital","Tissue Dynamics","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.aircapital.vc/portfolio","AIR Capital official portfolio page lists this startup. Matched as Tissue Dynamics."
"201","Antom","Agrojusto","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Agrojusto."
"e125","Antom","Agrojusto","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Agrojusto."
"199","Antom","CIRCCLO","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as CIRCCLO."
"e123","Antom","CIRCCLO","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as CIRCCLO."
"198","Antom","Conciencia","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Conciencia."
"e122","Antom","Conciencia","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Conciencia."
"e126","Antom","eiru","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as EirÃº."
"200","Antom","Eirú","investment","validated_investor_to_startup","0.95","edgeseco.csv","CSV suggests investor to startup direction but must be validated against canonical entity types"
"196","Antom","Huiro","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Huiro."
"e120","Antom","Huiro","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Huiro."
"195","Antom","Kigui","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Kigui."
"e119","Antom","Kigui","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Kigui."
"192","Antom","Kilimo","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Kilimo."
"e116","Antom","Kilimo","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Kilimo."
"194","Antom","Nideport","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Nideport."
"e118","Antom","Nideport","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Nideport."
"e124","Antom","poas_bioenergy","investment_or_membership","validated_startup_to_investor_reverse","0.9","latam_coinvest_network_v3.graphml","GraphML edge direction is not assumed canonical"
"193","Antom","Ruuts","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Ruuts."
"e117","Antom","Ruuts","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Ruuts."
"197","Antom","Satellites On Fire","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Satellites On Fire."
"e121","Antom","Satellites On Fire","official_portfolio_investment","validated_investor_to_startup","0.96","https://www.antom.la/portfolio-projects-en","Antom official portfolio page lists this project. Matched as Satellites On Fire."
"manual-chileglobal-agrourbana","chileglobal_ventures","agrourbana","official_portfolio_investment","validated_investor_to_startup","0.96","https://chileglobalventures.cl/en/portfolio/agrourbana/","ChileGlobal Ventures official portfolio profile lists Agrourbana."
"manual-chileglobal-matchetune","chileglobal_ventures","matchetune","official_portfolio_investment","validated_investor_to_startup","0.96","https://chileglobalventures.cl/portafolio/matchetune/","ChileGlobal Ventures official portfolio profile lists Matchetune."
"e158","CITES","abastra","investment_or_membership","validated_startup_to_investor_reverse","0.9","latam_coinvest_network_v3.graphml","GraphML edge direction is not assumed canonical"
