"startup_name","normalized","match_id","match_name","match_scope","layer","category","confidence","source_url","include","investors"
"Agrivalle","agrivalle","agrivalle","Agrivalle","include","Core bio-based","Bioinputs / fertilizers / biostimulants","0.76","https://www.f6s.com/companies/agritech/brazil/co","yes","F6S"
"APEXzymes","apexzymes","apexzymes","APEXzymes","include","Core bio-based","Industrial enzymes / residues","0.76","https://www.gridexponential.com/startups/apexzymes","yes","GridX portfolio"
"Biolinker Synthetic Biology","biolinker synthetic biology","biolinker","Biolinker Synthetic Biology","include","Core bio-based","Synthetic biology / protein synthesis","0.72","https://www.f6s.com/company/biolinkersyntheticbiology","yes","F6S"
"Bsafe Biotech","bsafe biotech","bsafe_biotech","Bsafe Biotech","include","Core bio-based","RNAi crop/animal protection","0.78","https://www.gridexponential.com/portfoliostartups","yes","GridX portfolio"
"BUG Agentes Biológicos","bug agentes biologicos","bug_agentes_biologicos","BUG Agentes Biologicos","include","Core bio-based","Biological control / insects","0.79","https://spventures.com.br/portfolio/ | https://impactalpha.com/brazilian-bio-based-agricultural-producer-closes-series-a-with-equity-injection-from-corteva/","yes","SP Ventures exit; ImpactAlpha background"
"Cellva Ingredients","cellva ingredients","cellva","Cellva","include","Core bio-based","Cellular agriculture / ingredients","0.73","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"Dana agro","dana agro","","","NEW?","Core bio-based","Bioproducts / bioherbicide","0.66","https://www.f6s.com/companies/agritech/brazil/co","yes","F6S"
"Decoy Smart Control","decoy smart control","decoy","Decoy","include","Core bio-based","Biological pest control / animal health","0.84","https://spventures.com.br/portfolio/ | https://www.f6s.com/companies/biotech/brazil/co","yes","SP Ventures; F6S"
"Future Cow","future cow","future_cow","Future Cow","include","Core bio-based","Precision fermentation / animal-free dairy","0.93","https://ods.fapesp.br/biotech-develops-technology-to-produce-milk-proteins-without-cows/12443 | https://www.f6s.com/companies/biotech/brazil/co","yes","FAPESP; Vegconomist; F6S"
"Gênica","genica","genica","Gênica","include","Core bio-based","Ag biologicals / bioinputs","0.95","https://spventures.com.br/portfolio/ | https://agfundernews.com/exclusive-with-12m-in-fresh-funding-brazils-genica-tackles-soil-health-the-next-phase-for-ag-biologicals","yes","SP Ventures; AgFunder; LAVCA"
"IdeeLab","ideelab","ideelab","IdeeLab","include","Core bio-based","Ag biologicals CDMO / biomanufacturing","0.84","https://agfundernews.com/ideelab-achieves-cdmo-status-with-new-industrial-scale-facility-for-ag-biological-production","yes","AgFunderNews"
"Krilltech","krilltech","krilltech","Krilltech","include","Core bio-based","Nano-biofertilizers","0.82","https://www.theguardian.com/global-development/2024/jan/30/low-carbon-milk-to-ai-irrigation-tech-startups-powering-latin-americas-green-revolution","yes","Guardian; company sources"
"Levya","levya","levya","Levya","include","Core bio-based","Fermentation fats and oils","0.78","https://www.f6s.com/companies/biotech/brazil/co | https://www.gridexponential.com/portfoliostartups","yes","F6S; GridX"
"Mofo Biodesign","mofo biodesign","","","NEW?","Core bio-based","Mycelium biomaterials","0.7","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"Promip","promip","promip","Promip","include","Core bio-based","Biological control / macrobiologicals","0.91","https://promip.agr.br/institucional/ | https://spventures.com.br/portfolio/","yes","SP Ventures; Promip website; Biologicals Latam"
"REGENERA","regenera","","","NEW?","Core bio-based","Marine bioprospecting / biodiversity","0.68","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"Solubio Tecnologias Agrícolas","solubio tecnologias agricolas","solubio","Solubio Tecnologias Agricolas","include","Core bio-based","On-farm biological inputs / biopesticides","0.78","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"Symbiomics","symbiomics","symbiomics","Symbiomics","include","Core bio-based","Ag biologicals / microbiome discovery","0.96","https://www.symbiomics.com.br/symbiomics-completes-series-a-funding-round-led-by-corteva-to-advance-next-generation-biologicals/ | https://theyieldlablatam.com/companies/symbiomics/","yes","The Yield Lab LATAM; Corteva Catalyst; F6S"
"UpDairy","updairy","updairy","Updairy","include","Core bio-based","Precision fermentation / animal-free dairy","0.82","https://br.linkedin.com/company/updairy | https://www.gridexponential.com/portfoliostartups","yes","LinkedIn; GridX/F6S"
"Amazonia Bioverse","amazonia bioverse","","","NEW?","Core bio-based","Aquaculture diagnostics / biotech","0.72","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"Consiste","consiste","","","NEW?","Core bio-based","Natural antimicrobials","0.61","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"Itatijuca Bio","itatijuca bio","","","NEW?","Core bio-based","Bioleaching / green chemistry","0.7","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"Kaiima Bio-Agritech","kaiima bio agritech","tech","@Tech","include","Core bio-based","Plant genetics / breeding","0.61","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"Nanoscoping","nanoscoping","","","NEW?","Core bio-based","Green encapsulation / controlled release","0.7","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"#Agribela","agribela","","","NEW?","Bio-centric / regenerative","Biological control services","0.64","https://www.f6s.com/companies/agritech/brazil/co","yes","F6S"
"Bee2Be","bee2be","","","NEW?","Bio-centric / regenerative","Pollination / ecosystem services","0.68","https://www.f6s.com/companies/agritech/brazil/co","yes","F6S"
"Biomas","biomas","biomas","Biomas","include","Bio-centric / regenerative","Native reforestation venture","0.83","https://kelo.com/2025/04/24/blue-chip-backed-biomas-launches-first-brazil-reforestation-project/","yes","Reuters-derived reports"
"Courageous Land","courageous land","courageous_land","Courageous Land","include","Bio-centric / regenerative","Agroforestry / carbon removal","0.9","https://theyieldlablatam.com/companies/courageous-land/","yes","The Yield Lab LATAM"
"De Volta à Terra","de volta a terra","","","NEW?","Bio-centric / regenerative","Agroforestry / biome regeneration","0.65","https://www.f6s.com/companies/agritech/brazil/co","yes","F6S"
"Hifa Agrofloresta","hifa agrofloresta","","","NEW?","Bio-centric / regenerative","Agroforestry / regenerative extension","0.65","https://www.f6s.com/companies/agritech/brazil/co","yes","F6S"
"Mombak","mombak","mombak","Mombak","include","Bio-centric / regenerative","Native reforestation / carbon removal","0.95","https://www.reuters.com/sustainability/climate-energy/brazil-reforestation-startup-mombak-raises-30-million-usv-led-round-2025-04-29/ | https://mombak.io/","yes","Reuters; Mombak"
"NoCarbon Milk","nocarbon milk","nocarbon_milk","NoCarbon Milk","include","Bio-centric / regenerative","Low-carbon dairy / methane reduction","0.79","https://www.theguardian.com/global-development/2024/jan/30/low-carbon-milk-to-ai-irrigation-tech-startups-powering-latin-americas-green-revolution | https://br.edairynews.com/nocarbon-leite-net-zero/","yes","Guardian; Capital Reset/EDairy"
"Protin Biotech","protin biotech","tech","@Tech","include","Bio-centric / regenerative","Insect protein / organic waste","0.7","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"re.green","re green","re_green","re.green","include","Bio-centric / regenerative","Native reforestation / carbon credits","0.93","https://www.reuters.com/sustainability/climate-energy/brazil-awards-first-amazon-reforestation-concession-startup-regreen-2026-03-26/","yes","Reuters"
"Sante Science","sante science","","","NEW?","Bio-centric / regenerative","Biomass upcycling / fermentation","0.66","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"Sofly - Proteins and Fertilizers","sofly proteins and fertilizers","","","NEW?","Bio-centric / regenerative","Insect/agro-waste protein and fertilizer","0.66","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"Carbonext","carbonext","carbonext","Carbonext","include","Bio-centric / regenerative","Forest carbon / conservation finance","0.62","https://carbonext.com.br/","yes","public sources / market known"
"CerradoX","cerradox","cerradox","CerradoX","include","Bio-centric / regenerative","AI agricultural platform / underused land","0.87","https://theyieldlablatam.com/companies/cerradox/","yes","The Yield Lab LATAM"
"Moss","moss","moss","Moss","include","Bio-centric / regenerative","Carbon markets / nature finance","0.75","https://spventures.com.br/portfolio/","yes","SP Ventures portfolio"
"NBOT Labs","nbot labs","","","NEW?","Bio-centric / regenerative","Nanobubbles / wastewater biorefinery","0.68","https://www.f6s.com/companies/biotech/brazil/co","yes","F6S"
"Pink Farms","pink farms","pink-farms","Pink Farms","include","Bio-centric / regenerative","Controlled-environment agriculture","0.7","https://spventures.com.br/portfolio/","yes","SP Ventures"
"Produzindo Certo","produzindo certo","produzindo-certo","Produzindo Certo","include","Bio-centric / regenerative","Regenerative agriculture / traceability","0.88","https://theyieldlablatam.com/portfolio/","yes","The Yield Lab LATAM"
