"Source","Target","Type","Weight","SameTheme"
"beam_croptech","bioheuris","Undirected","0.4524","yes"
"beam_croptech","caligenia","Undirected","0.4521","yes"
"beam_croptech","splight","Undirected","0.4133","no"
"beam_croptech","microterra","Undirected","0.4133","no"
"beam_croptech","circclo","Undirected","0.3865","no"
"beam_croptech","m4life","Undirected","0.3794","yes"
"beeflow","seedmatriz","Undirected","0.5043","no"
"beeflow","dymaxion_labs","Undirected","0.4838","no"
"beeflow","satellites_on_fire","Undirected","0.4744","no"
"beeflow","sylvarum","Undirected","0.46","no"
"beeflow","unibaio","Undirected","0.3592","no"
"auravant","beeflow","Undirected","0.3555","no"
"bioeutectics","cell_farm","Undirected","0.4133","no"
"bioeutectics","bioplastix","Undirected","0.35","no"
"bioeutectics","fungi_life","Undirected","0.312","no"
"bioeutectics","tracestory","Undirected","0.2867","no"
"bioeutectics","inmet","Undirected","0.27","yes"
"bioeutectics","semion","Undirected","0.27","yes"
"bioheuris","zavia_bio","Undirected","0.5289","yes"
"bioheuris","semion","Undirected","0.5096","yes"
"bioheuris","inmet","Undirected","0.4965","yes"
"bioheuris","m4life","Undirected","0.4926","yes"
"bioheuris","bsafe_biotech","Undirected","0.4895","yes"
"bioheuris","eiru","Undirected","0.46","yes"
"bsafe_biotech","m4life","Undirected","0.4926","yes"
"bsafe_biotech","semion","Undirected","0.4838","yes"
"bsafe_biotech","eiru","Undirected","0.46","yes"
"bsafe_biotech","zavia_bio","Undirected","0.46","yes"
"bsafe_biotech","inmet","Undirected","0.46","yes"
"agrired","caligenia","Undirected","0.445","no"
"caligenia","soygreen","Undirected","0.385","yes"
"calice","caligenia","Undirected","0.35","no"
"caligenia","microterra","Undirected","0.35","no"
"caligenia","splight","Undirected","0.35","no"
"eiru","m4life","Undirected","0.46","yes"
"eiru","zavia_bio","Undirected","0.46","yes"
"eiru","inmet","Undirected","0.46","yes"
"eiru","semion","Undirected","0.46","yes"
"feedvax","puna_bio","Undirected","0.6","yes"
"courageous_land","feedvax","Undirected","0.4733","no"
"ergo_foods","feedvax","Undirected","0.4358","no"
"ergo_bioscience","feedvax","Undirected","0.41","no"
"feedvax","microscopia","Undirected","0.41","no"
"feedvax","poas_bioenergy","Undirected","0.372","no"
"geoprot","syocin_bio","Undirected","0.4944","yes"
"geoprot","laurus_ag_tech","Undirected","0.48","no"
"geoprot","semion","Undirected","0.3679","yes"
"geoprot","zoomagri","Undirected","0.3678","no"
"geoprot","inbioar","Undirected","0.3516","yes"
"geoprot","microterra","Undirected","0.3333","no"
"ergo_foods","inbioar","Undirected","0.3952","no"
"ergo_bioscience","inbioar","Undirected","0.3809","no"
"inbioar","nunatak_biotech","Undirected","0.3592","yes"
"inbioar","syocin_bio","Undirected","0.3485","yes"
"inbioar","laurus_ag_tech","Undirected","0.3333","no"
"inmet","m4life","Undirected","0.5013","yes"
"inmet","zavia_bio","Undirected","0.5013","yes"
"inmet","semion","Undirected","0.46","yes"
"m4life","semion","Undirected","0.5445","yes"
"m4life","zavia_bio","Undirected","0.5375","yes"
"microin","soygreen","Undirected","0.5164","yes"
"microin","nanotica","Undirected","0.46","yes"
"microin","plamic","Undirected","0.46","yes"
"microin","vexxel_biotech","Undirected","0.3897","yes"
"microin","unibaio","Undirected","0.3747","no"
"caligenia","microin","Undirected","0.3333","yes"
"nanotica","plamic","Undirected","0.7026","yes"
"nanotica","soygreen","Undirected","0.46","yes"
"nanotica","unibaio","Undirected","0.3563","no"
"caligenia","nanotica","Undirected","0.3333","yes"
"nanotica","vexxel_biotech","Undirected","0.3333","yes"
"auravant","nunatak_biotech","Undirected","0.351","no"
"nunatak_biotech","silohub","Undirected","0.3333","no"
"nunatak_biotech","wiagro","Undirected","0.3333","no"
"bioheuris","nunatak_biotech","Undirected","0.3113","yes"
"nunatak_biotech","semion","Undirected","0.3054","yes"
"plamic","soygreen","Undirected","0.46","yes"
"plamic","unibaio","Undirected","0.3581","no"
"plamic","vexxel_biotech","Undirected","0.3333","yes"
"caligenia","plamic","Undirected","0.3333","yes"
"courageous_land","puna_bio","Undirected","0.4733","no"
"ergo_foods","puna_bio","Undirected","0.41","no"
"microscopia","puna_bio","Undirected","0.41","no"
"ergo_bioscience","puna_bio","Undirected","0.41","no"
"poas_bioenergy","puna_bio","Undirected","0.372","no"
"semion","zavia_bio","Undirected","0.4858","yes"
"soygreen","zavia_bio","Undirected","0.4131","yes"
"soygreen","unibaio","Undirected","0.3698","no"
"laurus_ag_tech","syocin_bio","Undirected","0.46","no"
"cell_farm","syocin_bio","Undirected","0.3333","no"
