startup_id,startup_name,bio_theme_primary,is_bio_universe,override_reason,evidence_url,review_status
aquit,Aquit,Therapeutics,1,"Animal-health biotech: activates fish immunity to replace antibiotics in aquaculture. The keyword scorer dragged it to Bioinputs via agri-food/row_crops codes, but the output is a veterinary/animal-health intervention, not a crop input.",https://www.f6s.com/company/aquit,reviewed
inprenha,Inprenha,Therapeutics,1,"Animal-reproduction biotechnology (protein-based, raises pregnancy rates in livestock). Therapeutics theme explicitly covers bovine reproduction / embryo transfer. Was misfiled as Bioinputs.",https://www.spventures.com.br/,reviewed
werk-nvac,WerkénVac,Therapeutics,1,"Self-amplifying RNA vaccines for fish (aquaculture animal health). Animal vaccine = Therapeutics, not a crop bioinput.",https://www.gridexponential.com/portfolio,reviewed
imeve,Imeve,Therapeutics,1,"Animal-health biotech producing probiotic additives, medicines and supplements for multiple species. Veterinary health output; was misfiled as Bioinputs. Secondary: Food Systems.",https://imeve.com.br/en/about-us,reviewed
aimirim-br,Aimirim,Biomanufacturing & Platform Technologies,1,"Digital twin + IoT platform optimizing industrial fermentation/energy in sugarcane biorefineries. Bioprocess platform (bio-coupled), not farm software (scorer gave conf=0.0).",https://aimirimsti.com.br,reviewed
algalife,Algalife,Biomanufacturing & Platform Technologies,1,"Platform to optimize industrial microalgae cultivation/production — bioindustrial infrastructure, not a food product per se.",https://www.gridexponential.com/portfolio,reviewed
granatum_bioworks,Granatum Bioworks,Biomanufacturing & Platform Technologies,1,"Lab-to-market platform for biosynthetics; commercializes bio-based compounds from research to industrial production. Platform/capacity, not a final food product.",https://www.granatumbioworks.com/,reviewed
outpost,Outpost,Biomanufacturing & Platform Technologies,1,"TechBio microbiome predictive-biology platform (wet-lab + ML). Summary states explicitly it is NOT a clinical device or diagnostics. Platform technology.",https://www.outpost.bio/,reviewed
trebe_biotech,Trebe Biotech,Biomanufacturing & Platform Technologies,1,"Complex-protein production platform / biomanufacturing. Curator-confirmed: the company describes itself as biomanufacturing.",https://sf500.com.ar/,reviewed
nude,Nude,Food Systems & Alt Proteins,1,"Oat-based plant dairy and plant-based food brand. Clear alt-protein/plant-based food; was misfiled as Farm Intelligence via carbon/ag signals.",https://heynude.com.br/,reviewed
ages,AGES,Food Systems & Alt Proteins,1,"Amazonian bioactive molecules for healthspan/longevity products (nutraceutical output). Food Systems theme covers healthspan/nutraceuticals; was misfiled as Biomaterials.",https://www.kptl.com.br/portfolio/ages/,reviewed
circclo,CIRCCLO,Biomaterials & Circular Economy,0,"Reusable-packaging circularity platform with QR/RFID tracking. eco-adjacent: pertenece por transición material/circularidad pero SIN proceso biológico → is_bio_universe=0.",https://circclo.lacompaniadigital.com/,reviewed
muta,MUTA,Biomaterials & Circular Economy,0,"B2B recycling/traceability marketplace. eco-adjacent: recuperación de materiales sin biología → is_bio_universe=0.",https://www.f6s.com/company/muta-world,reviewed
nexxto,Nexxto,Diagnostics & Health Access,0,"IoT cold-chain monitoring for health products. eco-adjacent: no es un ensayo biológico (no es diagnóstico); acople genérico → is_bio_universe=0. Queda en Health Access por destino sanitario.",https://nexxto.com/,reviewed
pixed,Pixed,Diagnostics & Health Access,0,"Myoelectric bionic prosthetics. eco-adjacent: medtech asistivo de bajo contenido biológico → is_bio_universe=0. Queda en Health Access.",https://pixedcorp.com/,reviewed
sistema-bio-mx,Sistema.bio,Biomaterials & Circular Economy,1,"Modular biodigesters: animal waste → biogas (energy) + organic fertilizer. bio-coupled. Biogás/circular encaja en Biomaterials & Circular Economy mejor que en Nature.",https://sistema.bio,reviewed
nocarbon_milk,NoCarbon Milk,Food Systems & Alt Proteins,1,"Carbon-neutral organic dairy brand. Producto alimenticio → Food Systems; was misfiled as Farm Intelligence. Marca de bajo deep-tech pero dentro de food transition.",https://www.milkpoint.com.br/noticias-e-mercado/giro-noticias/primeiro-leite-carbono-neutro-e-lancado-no-brasil-226155/,reviewed
