Company Name,Country,Sector,Description,Website,Founding Year,Source VC/Portfolio Page
Giraffe Bio,Argentina,Biotech - Materials,AI-designed biomolecules for sustainable mining of critical minerals (copper and lithium) extraction,https://www.giraffe-bio.com,2023,Indie Bio / SOSV
Oncoliq,Argentina,Biotech - Therapeutics,Early cancer detection using liquid biopsy technology analyzing microRNAs from blood samples (91% sensitivity),https://oncoliq.com,2019,Endurance Venture Capital
Puna Bio,Argentina,Biotech - AgTech,Biological inputs from extremophile microorganisms for agricultural yields and soil restoration,https://www.punabio.com,2017,Gates Foundation / Ara Capital
Nunatak Biotech,Argentina,Biotech - AgTech,Plant-microorganism associations using Antarctic extremophiles for soil restoration and climate resilience,https://www.nunatakinnovation.com,2023,Eatable Adventures / AgrofoodBIC
Symbiomics,Brazil,Biotech - AgTech,High-performance biologicals using microbiome technologies for sustainable crop yield enhancement,https://www.symbiomics.com.br,2021,Corteva / Ara Capital / Cazanga / MOV Investimentos
Nintx,Brazil,Biotech - Therapeutics,Multi-target therapies using Brazilian biodiversity and gut microbiome modulation for multifactorial diseases,https://www.nintx.com.br,2021,Venture Capital funding rounds
Bionovis,Brazil,Biotech - Therapeutics,Production of monoclonal antibodies and therapeutic proteins (biosimilars and biologics),https://www.bionovis.com.br,2012,Union of Brazilian pharma labs (Aché EMS Hypera)
Solinftec,Brazil,Biotech - AgTech,IoT-based farm management system and autonomous robotics (Solix robot) for precision agriculture,https://www.solinftec.com.br,2000,BASF partnership
Protera Bio,Chile,Biotech - Food Tech,AI-designed proteins to replace artificial food additives and improve shelf-life using madi™ algorithm,https://www.protera-bio.cl,2015,Sofinnova Partners
PhageLab,Chile,Biotech - AgTech,Bacteriophage solutions to control bacterial diseases in livestock (Salmonella and E. coli in poultry),https://www.phagelab.bio,2018,Nazca / Collaborative Fund / Water Lemon Ventures
NeoCropTech,Chile,Biotech - AgTech,Advanced seed development for drought-resistant wheat and climate-resilient crops using molecular markers,https://www.neocroptech.com,2015,Various agtech investors
Bruna by Altum Lab,Chile,Biotech - AgTech,SaaS platform using AI for aquaculture and industrial production optimization and predictive analytics,https://www.bruna.ai,2017,Seafood companies (Camanchaca partnership)
CardiaTec,UK/Chile,Biotech - Therapeutics,Human engineered mini-heart platform for cardiovascular disease drug discovery and screening,https://www.cardiatec.com,2021,Zentynel
Xeptiva Therapeutics,Uruguay,Biotech - Therapeutics,Veterinary therapeutics for chronic inflammation conditions in companion animals (pain osteoarthritis),https://www.xeptiva.com,2021,Zentynel / ND Latam / FEN Ventures
Asclepii,USA/Chile,Biotech - Medtech,Regenerative medicine for chronic and acute wounds with FDA-cleared Poseidon hydrogel and Artemis ECM,https://asclepii.com,2021,Zentynel
Unima,Mexico,Biotech - Diagnostics,Low-cost rapid diagnostic tests for infectious diseases (tuberculosis dengue influenza) using AI,https://unimahealth.com,2014,YCombinator / various investors
Sistema.bio,Mexico,Biotech - AgTech,Distributed biogas technology and renewable energy systems for smallholder farmers (100000+ units),https://sistema.bio,2010,DILA Capital / EDFI MC / various impact investors
Avedian,Argentina,HealthTech - Diagnostics,Health records management platform with predictive AI for hospitals insurance and laboratories,https://avedian.tech,2017,Meet Capital
Welii,Argentina,HealthTech,App for health tracking from wearable devices with cloud-based hospital information management,https://www.welii.com,2017,Alaya Capital
Kilimo,Argentina,Biotech - AgTech,Big Data solution for water management in agriculture using satellite and climate data optimization,https://www.kilimo.com.ar,2014,Alaya Capital / Microsoft
Aquabyte,USA/Chile,Biotech - AgTech,Computer vision and machine learning for aquaculture disease detection and biomass estimation,https://www.aquabyte.ai,2017,Alaya Capital
Bioceres,Argentina,Biotech - AgTech,Genetically modified drought-resistant wheat seeds (HB4) - first commercial GMO wheat globally,https://www.bioceres.com.ar,2001,Argentine biotech leader
Tecnovax,Argentina,Biotech - Therapeutics,Veterinary vaccines and biological products for prevention of infectious diseases in animals,https://www.tecnovax.com.ar,2000,Argentine biotech leader
Gemabiotech,Argentina,Biotech - Therapeutics,Specialized manufacturer of recombinant proteins Active Pharmaceutical Ingredients (API),https://www.gemabiotech.com.ar,2005,Argentine biotech manufacturer
Blooms,USA/Argentina,AgTech - Fintech,AI-powered trade finance and payments platform for LatAm produce exporters and farmers,https://www.bloomsfinance.com,2021,SP Ventures / The Yield Lab Latam
