"startup_id","startup_name","emergent_theme","market_label","transition_function","technical_stack","output_class","feedstock","industry_destination","market_interface","maturity_path","evidence_source","confidence","taxonomy_source","assignment_method","structured_sector","trl_current","trl_current_confidence","trl_current_status","trl_current_source_url","trl_current_last_checked","valuation_tier","notes","macro_theme","thesis_fit","scope_decision","scope_reason","scope_source","structured_country"
"tech","@Tech","precision agriculture intelligence","animal protein optimization and traceability","lower-efficiency-animal-protein-production-to-data-driven-optimization","AI; data science; IoT; smart ear tags","animal production intelligence platform","livestock and animal protein production data","animal protein supply chains","B2B platform","pending current evidence","yieldlab_portfolio_2026","0.78","manual_override","manual_override","Digital Economy","","","pending_research","","","2","The Yield Lab Latam portfolio describes optimization of animal protein production using AI, IoT and traceability across cattle, broiler and fish.","precision agriculture and resource intelligence","core","include","official_portfolio_signal_biocentric_material_system","yieldlab_portfolio_official","BR"
"123seguro","123Seguro","digital coordination and market infrastructure","online insurance marketplace","offline-insurance-shopping-to-digital-marketplace","insurance comparison; online quote flow; digital brokerage","insurance marketplace","","Insurance and financial services.","B2C/B2B marketplace","pending current evidence","official_website","0.88","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Exclude: relevant to LATAM VC, but no material BIO, biological-system or planetary-boundary role in public evidence.","peripheral or non-core digital ventures","peripheral","exclude","insurance_marketplace_no_material_bio_or_planetary_boundary_signal","manual_credibility_cleanup_2026_05_08","AR"
"abastra","AbAstra","digital coordination and market infrastructure","custom software development services","generic-business-software-needs-to-custom-it-delivery","software engineering; custom development","software services","general enterprise software requirements","general software services","software development services","pending current evidence","abastra_official_site_2026","0.97","manual_override","manual_override","Bio·Industry","","","pending_research","","","1.5","Official site presents Abastra as a software design and development company serving multiple industries with custom technological solutions.","peripheral or non-core digital ventures","peripheral","exclude","full_digital_no_materiality_signal","abastra_official_site","AR"
"aegro","Aegro","farm management and field intelligence","farm operations and financial management platform","paper-based-farm-management-to-integrated-digital-field-and-finance-operations","farm management SaaS; field records; pest monitoring; input planning; finance; machine and climate integrations","farm management software platform","farm operations, financial, field, pest and machine data","crop and livestock farm management","B2B ag SaaS","pending current evidence","official_website","0.78","manual_override","manual_override","","","","pending_research","","","","Official Aegro site describes farm management software for field planning, pest monitoring, input management, financial control and integrations with agriculture tools.","precision agriculture and resource intelligence","core","include","bio_centric_farm_management_and_resource_efficiency","external_atlas_official_site_validated","BR"
"aerialoop","Aerialoop","drone logistics and aerial surveillance systems","urban drone logistics and ISR","manual-last-mile-and-isr-operations-to-drone-enabled-automation","drone hardware; satellite connectivity; aerial robotics","drone operations platform","aerial logistics and surveillance data","logistics, security and industrial inspection","B2B platform","pending current evidence","aerialoop_official_site_2026","0.88","manual_override","manual_override","Other / Unclassified","","","pending_research","","","1.5","Official site describes drone logistics, surveillance and inspection systems with satellite connectivity, but not a biobased, biocentric or planetary-restoration company.","frontier hardware and infrastructure systems","core","exclude","official_site_signal_non_thesis_aerospace_infrastructure","aerialoop_official_site","EC/US"
"ages","AGES","biobased chemistry and materials","amazonian bioactive compounds platform","commodity-extraction-to-regenerative-bioactive-compounds","bioactive compounds; biodiversity sourcing; healthspan ingredients","bioactive ingredients platform","amazon biodiversity compounds","health, beauty and longevity products","biotech company","pending current evidence","kptl_ages_2026","0.9","manual_override","manual_override","","","","pending_research","","","","KPTL describes AGES as developing unique bioactive molecules extracted from the Amazon to improve healthspan while supporting regenerative bioeconomy.","biobased chemistry and advanced materials","core","include","official_portfolio_signal_bio_based_or_biocentric","kptl_portfolio_official","BR"
"agree","Agree","traceability and tokenized resource infrastructure","agri-food chain traceability and market infrastructure","fragmented-agri-food-chains-to-digital-traceable-coordination","B2B marketplace; traceability; sustainability workflows; quota management; barter contracts; agri-food financing","market and traceability platform","grains, oilseeds, fruits and vegetables transaction data","agri-food chains","B2B platform","pending current evidence","agree_official_site_2026","0.86","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Official site says Agree accelerates digital transformation of agri-food chains, helping users manage quotas, barters, contracts, documents and financing while focusing on traceability and sustainability.","climate, energy and resource systems","core","include","official_website_signal_material_ag_system","agree_official_site","AR"
"agricapital","Agricapital","traceability and tokenized resource infrastructure","smallholder agricultural financing platform","limited-rural-credit-to-fast-tailored-ag-financing","ag credit; mobile workflows; agro-store network; rural finance partnerships; harvest-aligned repayment","rural finance platform","small farmer credit, input-purchase and production data","smallholder agriculture","B2B/B2F platform","pending current evidence","agricapital_official_site_2026","0.82","manual_override","manual_override","","","","pending_research","","","","Official site says AgriCapital provides fast AgroCrédito for Colombian producers through mobile applications and partner agro-stores, with harvest-aligned payment and credit for inputs, tools and machinery.","climate, energy and resource systems","core","include","official_website_signal_material_ag_system","agricapital_official_site","CO"
"agrired","Agrired","ag-input market infrastructure","b2b ag-input market infrastructure","manual-ag-input-trading-to-digital-resource-coordination","b2b marketplace; pricing analytics; logistics coordination","market infrastructure platform","agricultural input demand, supply and transaction data","agriculture, seeds, fertilizers and agrochemicals","B2B marketplace platform","pending current evidence","agrired_official_site_2026","0.84","manual_override","manual_override","Digital Economy","","","pending_research","","","1","Official site and public export profile describe a digital B2B market for seeds, fertilizers and agrochemicals with logistics and market intelligence.","precision agriculture and resource intelligence","core","include","official_site_signal_material_ag_system","agrired_official_site","AR"
"agrivalle","Agrivalle","bioinputs and biostimulants","biological fertilizers and biostimulants company","chemical-fertilizers-to-biological-crop-inputs-and-biostimulants","biofertilizers; biostimulants; inoculants; adjuvants; biological crop inputs; soil fertility","ag biological input products","microbial/biological crop inputs, fertilizers and biostimulant formulations","crop nutrition and sustainable agriculture","B2B biological inputs supplier","pending current evidence","external_profile","0.76","manual_override","manual_override","","","","pending_research","","","","Brazil bio startup import identifies Agrivalle as developing biological products, fertilizers, biostimulants, adjuvants and inoculants across crops; included pending stronger direct official profile.","ag biologicals and crop resilience","core","include","core_bio_ag_biologicals_and_bioinputs","brasil_bio_import_external_profile","BR"
