"startup_id","startup_name","startup_summary_v1","business_one_liner","problem_addressed","technical_approach","industry_destination","materiality_signal","thesis_scope_note","source_url","source_type","source_date","evidence_excerpt","summary_confidence","review_status"
"tech","@Tech","Startup agtech que usa IA, data science e IoT para optimizar la produccion de proteina animal y trazar animales a lo largo de la cadena. Entra en tesis por su acople biocentrico y material a sistemas vivos de produccion animal.","Animal protein optimization and traceability with AI and IoT.","Ineficiencias productivas y baja trazabilidad en cadenas de proteina animal.","Plataforma con IA, vision computacional, IoT y etiquetas inteligentes para monitoreo y decision.","Animal protein supply chains","high","Entra por operar sobre sistemas vivos y cadenas materiales de proteina animal, no por software horizontal.","https://theyieldlablatam.com/companies/atech/","official_portfolio_profile","2026-04-21","The Yield Lab Latam portfolio describes optimization of animal protein production with AI, data science, IoT and smart ear tags for traceability.","medium","reviewed"
"agree","Agree","Agree is an agri-food chain digitization platform that helps producers, buyers and other counterparties manage quotas, barters, contracts, documents, financing and market positions in one place. Its platform focuses on traceability, sustainability and day-to-day coordination across grains, oilseeds, fruit and vegetable chains. It belongs inside BIO VC LATAM as agri-food traceability and market infrastructure directly attached to material biological supply chains.","Agri-food chain traceability and market infrastructure.","Fragmented commercial workflows, weak traceability and poor coordination across agri-food chains.","B2B platform for quotas, barters, contracts, documents, market positions, financing and traceability/sustainability workflows.","Agri-food chains","medium","Include as market, traceability and coordination infrastructure for biological supply chains, not as generic fintech/software.","https://www.agree.ag/home-en.html","official_website","2026-05-06","Official site says Agree accelerates digital transformation of agri-food chains, helping users manage quotas, barters, contracts, documents and financing while focusing on traceability and sustainability.","high","reviewed"
"agrired","AgriRed","Infraestructura B2B para la compra, venta y logistica de semillas, fertilizantes y agroquimicos entre empresas del agro. Entra en tesis como capa digital fuertemente acoplada a flujos materiales de insumos agricolas.","B2B ag-input market infrastructure.","Comercializacion fragmentada e ineficiente de insumos agricolas.","Marketplace digital con inteligencia de mercado y logistica integrada para insumos del agro.","Agriculture, seeds, fertilizers and agrochemicals","medium","Entra como infraestructura digital directamente conectada a la cadena material de insumos agropecuarios.","https://www.agrired.com.ar/","official_website","2026-04-20","Official site describes an exclusive business marketplace for agricultural inputs, with logistics and business intelligence for seeds, fertilizers and agrochemicals.","high","reviewed"
"agroforte","Agroforte","Brazilian rural-finance platform building a digital bank for small and medium poultry, pork and dairy producers. It uses historical production data from integrated animal-protein systems to manage credit risk and finance infrastructure and operational improvements. It remains an edge include because the mechanism is fintech, but the use case is tightly coupled to animal health, welfare, supply-chain resilience and livestock production.","Animal production financial infrastructure.","Credit constraints and infrastructure gaps among integrated poultry, pork and dairy producers.","Digital banking, production-data underwriting and credit for infrastructure and operational improvements.","Animal protein supply chains, rural finance and livestock infrastructure","medium","Edge include: financial infrastructure directly coupled to animal production, welfare and supply-chain resilience.","https://theyieldlablatam.com/companies/agroforte/","official_portfolio_profile","2026-05-06","The Yield Lab Latam portfolio describes a digital bank for poultry, pork and dairy producers using historical production data to manage credit risk and finance infrastructure and operational improvements that strengthen supply chains and animal welfare.","medium","reviewed"
"qnity","Qnity","Brazilian molecular-screening company developing a quantum-electrochemical chip for real-time drug discovery and affinity testing across molecule sizes, from small organics to complex biologics. Originating from UNESP research, its device aims to make molecular interaction assays faster, more accessible and more sensitive. It belongs inside BIO VC LATAM as scientific instrumentation for biological binding, drug discovery and pharma R&D.","Quantum-electrochemical molecular screening for drug discovery.","Slow, costly and low-access molecular affinity assays in drug discovery.","Quantum-electrochemical chip sensing for real-time molecular interaction and biological binding analysis.","Drug discovery, molecular screening and pharma R&D","high","Core include: scientific instrumentation directly applied to biological binding and drug discovery.","https://www.qnity.bio/","official_website","2026-05-06","Qnity describes a quantum-electrochemical device for ultra-sensitive drug discovery and screening across molecule sizes; UNESP says the technology accelerates molecular affinity assays for pharmaceutical development.","high","reviewed"
"migma","MIGMA","Mendoza-based formulation company using AI, chemistry and R&D to design customized antioxidant systems that extend shelf life and reduce oxidation-related waste in food, animal nutrition, pet food and cosmetics. Its work is not core biotech, but it is materially linked to biological products and food-system efficiency. It belongs inside BIO VC LATAM as ingredient/formulation intelligence for waste reduction and product preservation.","AI-designed antioxidant systems for shelf-life extension.","Oxidation, rancidity, short shelf life and waste in food and related biological formulations.","AI search over antioxidant combinations, lab validation and formulation licensing for specific product matrices.","Food, animal nutrition, pet food and cosmetics","high","Include as a food-system formulation and waste-reduction edge case, not as deep biotech.","https://ar.linkedin.com/company/migma-co","linkedin_company_profile","2026-05-06","LinkedIn describes MIGMA as using AI to discover synergistic antioxidant combinations and design tailored blends for food, animal nutrition and cosmetics.","medium","reviewed"
"ruuts","Ruuts","Ruuts is a regenerative-agriculture platform creating market incentives tied to measurable ecological outcomes such as soil carbon, biodiversity, water-cycle restoration and productive transition for rural producers. It is not food ingredients; it should cluster with nature restoration, carbon intelligence, regenerative land management and ecological outcome measurement.","Regenerative agriculture incentives and ecological outcome measurement.","Regenerative land transition lacks trusted incentives and measurable ecological outcomes for producers and markets.","Regenerative land-management programs, ecological outcome measurement and market incentives for producers.","rural producers, land restoration, carbon and biodiversity markets","high","Include as biocentric land restoration and planetary-boundary infrastructure.","https://ruuts.la/","official_website","2026-05-08","Ruuts official site describes regenerative land management that captures carbon, restores biodiversity and creates sustainable value for agricultural land.","high","reviewed"
"falcomm","Falcomm","Empresa estadounidense de semiconductores fabless que desarrolla power amplifiers mas eficientes para comunicaciones wireless. Queda fuera por no ser startup BIO LATAM ni operar sobre sistemas vivos o transicion bio/material.","Energy-efficient wireless semiconductor hardware.","Ineficiencia energetica en power amplifiers para comunicaciones wireless.","Hardware semiconductor y dual-drive power amplifier para fabricantes de hardware de telecomunicaciones.","Wireless communications hardware","low","Queda fuera: hardware semiconductor US/telecom, sin senal BIO LATAM suficiente.","https://techcrunch.com/startup-battlefield/company/falcomm/","public_company_profile","2026-04-23","TechCrunch describes Falcomm as a US fabless semiconductor company developing energy-efficient power amplifiers for wireless communication markets.","medium","reviewed"
"teramot","Teramot","Software enterprise para conectar agentes de IA con datos y sistemas reales de negocio. Queda fuera por ser AI/data infrastructure horizontal sin acople bio/material ni stewardship planetario.","AI agent connectivity layer for enterprise systems.","Dificultad para conectar agentes de IA con datos reales de negocio.","Plataforma de datos, MCP y agentes de ultima milla para BI, data engineering y automatizacion empresarial.","Cross-sector enterprise software","low","Queda afuera: infraestructura digital horizontal para IA empresarial.","https://www.linkedin.com/company/teramot","linkedin_company_profile","2026-04-23","LinkedIn describes Teramot as the connectivity layer for AI agents, enabling last-mile agents to access company business data.","medium","reviewed"
"vmind","VMind","Software de aceleracion de IA que busca reducir costos de computo mediante algoritmos numericos. Queda fuera por ser infraestructura AI horizontal sin acople BIO LATAM.","AI compute acceleration software.","Alto costo de computo para IA.","Software y algoritmos numericos para acelerar cargas de IA y machine learning.","AI infrastructure","low","Queda afuera: software de infraestructura AI sin senal bio-based, biocentrica o de limites planetarios.","https://www.f6s.com/company/vmind","public_company_profile","2026-04-23","F6S describes VMind as an AI acceleration software company that cuts AI compute costs using numerical algorithms.","medium","reviewed"
"agrojusto","Agrojusto","Agrojusto is an Argentine digital infrastructure platform for small producers, local food systems and territorial value chains. Its tools support traceability, producer digitization, market access and coordination between public agencies, buyers and food producers. It belongs inside BIO VC LATAM as food-system market infrastructure directly coupled to material agricultural supply chains, not as generic software.","Traceability and market-access platform for smallholder food systems.","Small producers and territorial food systems often lack traceability, digital commercial channels and coordinated access to buyers.","Traceability tools, rural digitization, producer onboarding, marketplace infrastructure and food-chain coordination software.","Smallholder agriculture, territorial food systems and food value chains","medium-high","Include as digital infrastructure tightly coupled to food production, traceability and smallholder market access.","https://agrojustoinc.com/","official_website","2026-05-08","Official site describes technology for market access, traceability and territorial implementation with small producers and food systems.","high","reviewed"
