"entity_id","entity_type","canonical_name","slug","source_presence","quality_flags","confidence_score","staging_entity_id"
"1200_vc","investor","1200 VC","1200-vc","manual_1200vc_public_portfolio","fund_of_funds_and_direct_investor","0.92","1200_vc"
"500_latam","investor","500 LatAm","500-latam","manual_external","","0.9","500_latam"
"amador","investor","Amador","amador","manual_external","","0.9","amador"
"araucaria_venture","investor","Araucaria Venture","araucaria-venture","external_fund_map_delta","","0.82","araucaria_venture"
"cantos","investor","Cantos","cantos","manual_1200vc_public_portfolio","fund_of_funds_target","0.90","cantos"
"chileglobal_ventures","investor","ChileGlobal Ventures","chileglobal-ventures","manual_external","capital_core_sidecar_broad_low_priority","0.90","chileglobal_ventures"
"clivi","startup","Clivi","clivi","manual_external","","0.86","clivi"
"dalus_capital","investor","Dalus Capital","dalus-capital","external_fund_map_delta","","0.82","dalus_capital"
"eatable_adventures","investor","Eatable Adventures","eatable-adventures","manual_external","","0.92","eatable_adventures"
"endurance_28","investor","Endurance 28","endurance-28","manual_1200vc_public_portfolio","fund_of_funds_target","0.90","endurance_28"
"gef","investor","Global Environment Facility","global-environment-facility","manual_institutional_capital","capital_allocator","0.92","gef"
"general_biological","startup","General Biological","general-biological","manual_1200vc_public_portfolio","non_latam_bio_reference","0.88","general_biological"
"idb_invest","investor","IDB Invest","idb-invest","manual_institutional_capital","capital_allocator;development_finance_lp","0.96","idb_invest"
"idb_lab","investor","IDB Lab","idb-lab","manual_institutional_capital","capital_allocator","0.96","idb_lab"
"idb_natural_capital_lab","investor","IDB Natural Capital Lab","idb-natural-capital-lab","manual_institutional_capital","capital_allocator","0.90","idb_natural_capital_lab"
"innogen_capital","investor","Innogen Capital","innogen-capital","manual_external","","0.9","innogen_capital"
"invariantes_fund","investor","Invariantes Fund","invariantes-fund","external_fund_map_delta","fund_of_funds","0.82","invariantes_fund"
"jica","investor","JICA","jica","manual_institutional_capital","capital_allocator","0.92","jica"
"kaete_investimentos","investor","Kaete Investimentos","kaete-investimentos","manual_institutional_capital","","0.88","kaete_investimentos"
"kptl","investor","KPTL","kptl","manual_external","bioeconomy_fund","0.86","kptl"
"lavca","investor","LAVCA","lavca","manual_ecosystem_infrastructure","ecosystem_builder","0.86","lavca"
"lowercarbon_capital","investor","Lowercarbon Capital","lowercarbon-capital","manual_1200vc_public_portfolio","fund_of_funds_target","0.90","lowercarbon_capital"
"newtopia_vc","investor","Newtopia VC","newtopia-vc","external_fund_map_delta","capital_core_sidecar_broad_low_priority","0.84","newtopia_vc"
"onevc","investor","OneVC","onevc","manual_1200vc_public_portfolio","fund_of_funds_target","0.90","onevc"
"pampa_start","investor","Pampa Start","pampa-start","manual_external","","0.92","pampa_start"
"partners_for_growth","investor","Partners for Growth","partners-for-growth","manual_external","","0.88","partners_for_growth"
"positive_ventures","investor","Positive Ventures","positive-ventures","manual_external","","0.86","positive_ventures"
"salkantay_ventures","investor","Salkantay Ventures","salkantay-ventures","external_fund_map_delta","","0.82","salkantay_ventures"
"savia_ventures","investor","Savia Ventures","savia-ventures","manual_external","","0.92","savia_ventures"
"svb_financial_group","investor","SVB Financial Group","svb-financial-group","manual_institutional_capital","capital_allocator","0.86","svb_financial_group"
"third_sphere","investor","Third Sphere","third-sphere","manual_1200vc_public_portfolio","fund_of_funds_target","0.90","third_sphere"
"valor_capital_group","investor","Valor Capital Group","valor-capital-group","manual_external","","0.92","valor_capital_group"
"veronorte","investor","Veronorte","veronorte","external_fund_map_delta","","0.82","veronorte"
"vox_capital","investor","Vox Capital","vox-capital","external_fund_map_delta","","0.82","vox_capital"
"zentynel","investor","Zentynel","zentynel","manual_external","","0.95","zentynel"
