"entity_id","entity_type","canonical_name","slug","source_presence","quality_flags","confidence_score","staging_entity_id"
"0","startup","Stämm","st-mm","nodes_csv","","0.6","0"
"1200_vc","investor","1200 VC","1200-vc","manual_1200vc_public_portfolio","fund_of_funds_and_direct_investor","0.92","1200_vc"
"500_latam","investor","500 LatAm","500-latam","manual_external","","0.9","500_latam"
"abastra","startup","AbAstra","abastra","graphml","","0.6","abastra"
"aceleradora_litoral","investor","Aceleradora Litoral","aceleradora-litoral","graphml","","0.6","aceleradora_litoral"
"aerialoop","startup","Aerialoop","aerialoop","graphml","","0.6","aerialoop"
"agree","startup","Agree","agree","graphml","","0.6","agree"
"agroforte","startup","Agroforte","agroforte","graphml","","0.6","agroforte"
"Agrojusto","startup","Agrojusto","agrojusto","nodes_csv|graphml","","0.9","Agrojusto"
"Aictive","startup","Aictive","aictive","nodes_csv","","0.6","Aictive"
"AIR Capital","investor","AIR Capital","air-capital","nodes_csv","","0.6","AIR Capital"
"algaebio","startup","algaebio+","algaebio","graphml","","0.6","algaebio"
"AlgaeBio+","startup","AlgaeBio+","algaebio","nodes_csv","","0.6","AlgaeBio+"
"AlgaLife","startup","AlgaLife","algalife","nodes_csv","","0.6","AlgaLife"
"Alkemio","startup","Alkemio","alkemio","nodes_csv|graphml","","0.9","Alkemio"
"altscore","startup","Altscore","altscore","graphml","","0.6","altscore"
"Alytix","startup","Alytix","alytix","nodes_csv|graphml","","0.9","Alytix"
"amador","investor","Amador","amador","manual_external","","0.9","amador"
"Amai Proteins","startup","Amai Proteins","amai-proteins","nodes_csv","","0.6","Amai Proteins"
"Amplify Dynamics","startup","Amplify Dynamics","amplify-dynamics","nodes_csv","","0.6","Amplify Dynamics"
"Antarka","startup","Antarka","antarka","nodes_csv|graphml","","0.9","Antarka"
"Antom","investor","Antom","antom","nodes_csv|graphml","","0.9","Antom"
"Apasomics","startup","Apasomics","apasomics","nodes_csv|graphml","","0.9","Apasomics"
"APEXzymes","startup","APEXzymes","apexzymes","nodes_csv|graphml","","0.9","APEXzymes"
"aplife","startup","Aplife","aplife","graphml","","0.6","aplife"
"Aplife Biotech","startup","Aplife Biotech","aplife-biotech","nodes_csv","","0.6","Aplife Biotech"
"Aquit","startup","Aquit","aquit","nodes_csv|graphml","","0.9","Aquit"
"arakion","startup","Arakion","arakion","graphml","","0.6","arakion"
"araucaria_venture","investor","Araucaria Venture","araucaria-venture","external_fund_map_delta","","0.82","araucaria_venture"
"arcomedLab","startup","arcomedLab","arcomedlab","nodes_csv","","0.6","arcomedLab"
"ardan","startup","Ardan","ardan","graphml","","0.6","ardan"
"Ardan Pharma","startup","Ardan Pharma","ardan-pharma","nodes_csv","","0.6","Ardan Pharma"
"argenTAG","startup","argenTAG","argentag","nodes_csv|graphml","","0.9","argenTAG"
"Armenta","startup","Armenta","armenta","nodes_csv","","0.6","Armenta"
"arqlite","startup","Arqlite","arqlite","graphml","","0.6","arqlite"
"auravant","startup","Auravant","auravant","graphml","","0.6","auravant"
"Auth0","startup","Auth0","auth0","nodes_csv|graphml","","0.9","Auth0"
"AVaTAR","startup","AVaTAR","avatar","nodes_csv","","0.6","AVaTAR"
"avatar_medtech","startup","AVaTAR MedTech","avatar-medtech","graphml","","0.6","avatar_medtech"
"Ayuvant","startup","Ayuvant","ayuvant","nodes_csv|graphml","","0.9","Ayuvant"
"bacu","startup","BACU","bacu","graphml","","0.6","bacu"
"bago","investor","Bago","bago","graphml","","0.6","bago"
"BEAM CropTech","startup","BEAM CropTech","beam-croptech","nodes_csv","","0.6","BEAM CropTech"
"Bee Technology","startup","Bee Technology","bee-technology","nodes_csv","","0.6","Bee Technology"
"Beeflow","startup","Beeflow","beeflow","nodes_csv|graphml","","0.9","Beeflow"
"Bifidice","startup","Bifidice","bifidice","nodes_csv","","0.6","Bifidice"
"BioBlends","startup","BioBlends","bioblends","nodes_csv|graphml","","0.9","BioBlends"
"biocle","startup","BioClÃ©","biocl","graphml","","0.6","biocle"
"Biodiversity Intelligence","startup","Biodiversity Intelligence","biodiversity-intelligence","nodes_csv","","0.6","Biodiversity Intelligence"
"Bioeutectics","startup","Bioeutectics","bioeutectics","nodes_csv|graphml","","0.9","Bioeutectics"
"Biogea","startup","Biogea","biogea","nodes_csv","","0.6","Biogea"
"bioheuris","startup","Bioheuris","bioheuris","graphml","","0.6","bioheuris"
"Biome Resources","startup","Biome Resources","biome-resources","nodes_csv","","0.6","Biome Resources"
"BioMetallum","startup","BioMetallum","biometallum","nodes_csv|graphml","","0.9","BioMetallum"
"Bionirs","startup","Bionirs","bionirs","nodes_csv","","0.6","Bionirs"
"BioPlaster Research","startup","BioPlaster Research","bioplaster-research","nodes_csv","","0.6","BioPlaster Research"
"bioplaster_research_inc","startup","BioPlaster Research Inc","bioplaster-research-inc","graphml","","0.6","bioplaster_research_inc"
"Bioplastix","startup","Bioplastix","bioplastix","nodes_csv|graphml","","0.9","Bioplastix"
"bioseek","startup","Bioseek","bioseek","graphml","","0.6","bioseek"
"biosynaptica","startup","BioSynaptica","biosynaptica","graphml","","0.6","biosynaptica"
"Biotalife","startup","Biotalife","biotalife","nodes_csv|graphml","","0.9","Biotalife"
"Bitgenia","startup","Bitgenia","bitgenia","nodes_csv|graphml","","0.9","Bitgenia"
"BitMEX","startup","BitMEX","bitmex","nodes_csv","","0.6","BitMEX"
"Bleps Vision","startup","Bleps Vision","bleps-vision","nodes_csv","","0.6","Bleps Vision"
"Blerify","startup","Blerify","blerify","nodes_csv","","0.6","Blerify"
"blue_horizon","investor","Blue Horizon","blue-horizon","graphml","","0.6","blue_horizon"
"Botanical Solutions","startup","Botanical Solutions","botanical-solutions","nodes_csv","","0.6","Botanical Solutions"
"Branch Energy","startup","Branch Energy","branch-energy","nodes_csv","","0.6","Branch Energy"
"break_pet","startup","Break Pet","break-pet","graphml","","0.6","break_pet"
"BreakPET","startup","BreakPET","breakpet","nodes_csv|graphml","","0.9","BreakPET"
"brinc","investor","Brinc","brinc","graphml","","0.6","brinc"
"Bsafe Biotech","startup","Bsafe Biotech","bsafe-biotech","nodes_csv","","0.6","Bsafe Biotech"
"ByBug","startup","ByBug","bybug","nodes_csv|graphml","","0.9","ByBug"
"calfix","startup","Calfix","calfix","graphml","","0.6","calfix"
"calice","startup","Calice","calice","graphml","","0.6","calice"
"Caligenia","startup","Caligenia","caligenia","nodes_csv|graphml","","0.9","Caligenia"
"cantos","investor","Cantos","cantos","manual_1200vc_public_portfolio","fund_of_funds_target","0.90","cantos"
"CargoProduce","startup","CargoProduce","cargoproduce","nodes_csv","","0.6","CargoProduce"
"caspr","startup","CASPR","caspr","graphml","","0.6","caspr"
"Caspr Biotech","startup","Caspr Biotech","caspr-biotech","nodes_csv","","0.6","Caspr Biotech"
"cell_farm","startup","Cell Farm","cell-farm","graphml","","0.6","cell_farm"
"cellco","startup","CellCo","cellco","graphml","","0.6","cellco"
"CellRep","startup","CellRep","cellrep","nodes_csv|graphml","","0.9","CellRep"
"Cellva","startup","Cellva","cellva","nodes_csv","","0.6","Cellva"
"chileglobal_ventures","investor","ChileGlobal Ventures","chileglobal-ventures","manual_external","capital_core_sidecar_broad_low_priority","0.90","chileglobal_ventures"
"circa_therapeutics","startup","Circa Therapeutics","circa-therapeutics","graphml","","0.6","circa_therapeutics"
"CIRCCLO","startup","CIRCCLO","circclo","nodes_csv|graphml","","0.9","CIRCCLO"
"circular","startup","Circular","circular","graphml","","0.6","circular"
"CITES","investor","CITES","cites","nodes_csv|graphml","","0.9","CITES"
"clivi","startup","Clivi","clivi","manual_external","","0.86","clivi"
"clover","startup","Clover","clover","graphml","","0.6","clover"
"Conciencia","startup","Conciencia","conciencia","nodes_csv|graphml","","0.9","Conciencia"
