startup_id,current_description,research_priority
aeroscan_businessproductivity_software,Aeroscan operates intelligent drones for security and agricultural monitoring. Uses multispectral an,HIGH
agro_ai,Agro AI is part of the broader Latin American AI-driven agriculture movement. Applies artificial int,HIGH
agroadvance,Agribusiness education and capability platform.,HIGH
aguamarina_biomineria,Aguamarina uses biotechnological solutions including bacteria-based bio-lixiviation for sustainable ,HIGH
audsat,Audsat monitors the entire Brazilian territory with the goal to expand the supply of resources and r,HIGH
bacu,Cadena foodtech con software operativo para restaurantes.,HIGH
beyond_renewable_energy,"Electromobility, EV, Electric vehicules, distributed generation",HIGH
bioxiplas,Bioxiplas manufactures biodegradable disposable uniforms and protective equipment made from food-gra,HIGH
brasil_ozônio,Manufacturer of ozone treatment systems intended to contribute towards a sustainable and environment,HIGH
carenet_longevity,Carenet Longevity provides IoMT (Internet of Medical Things) solutions for healthcare digital transf,HIGH
fix_it,FixIt 3D prints custom orthopedic prosthetics and immobilization devices from thermomoldable biodegr,HIGH
flexza,Flexible health benefits and compensation platform.,HIGH
inti_tech,Developer and manufacturer of dry cleaning robots designed to clean solar plants. The company instal,HIGH
mabloc,Mabloc leverages generative AI and the BRAID platform to revolutionize antibody discovery for therap,HIGH
nanox_industrial_chemicals,Nanox develops nanostructure materials using silver nanoparticles with bactericidal fungicidal and a,HIGH
partanna,"Developer of building materials intended to absorb CO2. The company's surface products are living, b",HIGH
popai,Popai is a company that produces healthy snacks using artificial intelligence for developing product,HIGH
reborn_electric_motors,Manufacturer of shuttles intended to transform heavy-duty machinery into electric. The company offer,HIGH
scarab,Developer of a mining technology designed to generate value for waste from the mining industry. The ,HIGH
starlight_ventures,venture capital or ecosystem actor para venture ecosystem.,HIGH
tissue_dynamics,Tissue Dynamics develops robotic automation and AI software for organoid-based drug discovery. Creat,HIGH
verge_ag,Farm machinery path-planning software.,HIGH
vixtra,import financing fintech para fintech and international trade.,HIGH
yak,Manufacturer of battery-powered electric tractors designed for small rural applications such as indu,HIGH
