"source_entity_id","target_entity_id","relation_type","confidence","source_kind","notes"
"indiebio","Beeflow","accelerated_at","medium","ecosystem_seed","rich_graph_signal|Accelerator/capital relation suggested by historical graph"
"indiebio","st-mm","accelerated_at","medium","ecosystem_seed","rich_graph_signal|Accelerator/capital relation suggested by historical graph"
"inta","puna-bio","collaborates_with","low","ecosystem_seed","rich_graph_signal|Institutional relation inferred from historical signals"
"conicet","Beeflow","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"conicet","michroma","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"conicet","puna-bio","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"conicet","st-mm","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"ial","Bioeutectics","researched_at","low","ecosystem_seed","rich_graph_signal|Institutional relation inferred from historical signals"
"institut_pasteur_montevideo","onco-precision","researched_at","low","ecosystem_seed","rich_graph_signal|Institutional relation inferred from historical signals"
"instituto-leloir","new-organs-biotech","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"instituto-leloir","vexxel-biotech","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"iquibicen","cell-farm","researched_at","low","ecosystem_seed","rich_graph_signal|Institutional relation inferred from historical signals"
"unc","kresko-rnatech","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"unc","michroma","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"universidad-de-buenos-aires","cell-farm","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"universidad-de-buenos-aires","onco-precision","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"universidad-nacional-del-litoral","Bioeutectics","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"universidad-nacional-del-litoral","limay-biosciences","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"universidad-nacional-de-rosario","Beeflow","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"universidad-nacional-de-rosario","Feedvax","researched_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"itba","st-mm","studied_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"uncuyo","Kilimo","studied_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"universidad-de-buenos-aires","caspr-biotech","studied_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"universidad-de-buenos-aires","st-mm","studied_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
"universidad-nacional-de-la-plata","argenTAG","studied_at","medium","ecosystem_seed","rich_graph_signal|Institutional relation inferred from rich graph image/signals"
