startup_id,startup,pais,tema,funding_stage,pagerank,inversores_actuales,ultima_senal,url_fuente_sugerida
michroma,Michroma,AR,Biomaterials & Green Chemistry,series-a,0.0078,AIR Capital;CJ CheilJedang;GridX;Kairetsu Angels;SOSV;SOSV_IndieBio;Supply Change Capital,2025-09-24,
sistema-bio-mx,Sistema.bio,MX,Bioinputs & Crop Resilience,series-a,0.0034,DILA Capital;ElectriFI;Endeavor Catalyst;KawiSafi Ventures;Shell Foundation,2024-10-14,
beeflow,Beeflow,US,Bioinputs & Crop Resilience,series-a,0.0033,AIR Capital;Future Ventures;GridX;Monashees;Ospraie;Ospraie Ag Science;SF500;SOSV;SOSV_IndieBio;The Yield Lab LATAM;VECTR,2023-03-20,
symbiomics,Symbiomics,BR,Bioinputs & Crop Resilience,seed,0.0029,Arar Capital;Biominas Brasil;Cazanga;Corteva Catalyst;Ecoa Capital;MOV Investimentos;SP Ventures;The Yield Lab LATAM;Vesper Ventures,2025-06-25,
onco_precision,Onco Precision,US,Therapeutics,seed,0.0025,AIR Capital;Fundacion para el progreso de la medicina;Genesis Consortium;GridX;SOSV_IndieBio;creative ventures,,
phagelab,PhageLab,CL,Therapeutics,series-b,0.0025,CORFO;Collaborative Fund;Nazca;The Yield Lab LATAM;Waterlemon Ventures,2024-01-23,
neoprospecta-br,Neoprospecta,BR,Biomanufacturing & Platform Technologies,seed,0.0025,CAF — Banco de Desarrollo de América Latina;Cventures Primus;bioMérieux,2021-01-01,
re_green,re.green,BR,Nature & Ecosystem Tech,growth,0.0024,BNDES (Banco Nacional de Desenvolvimento);Dynamo Capital;Gávea Investimentos;Lanx Capital,2025-05-01,
tarvos-br,Tarvos,BR,Precision Agriculture,seed,0.0023,ACE Ventures;Bossa Invest;Fundepar;GVAngels,2023-06-01,
stamm,Stämm,AR,Biomanufacturing & Platform Technologies,series-a,0.0022,AIR Capital;DragonesVP;Draper Associates;DraperCygnus;GridX;SOSV;SOSV_IndieBio;VX Fund;Varana Capital,2022-02-28,
genial-care-br,Genial Care,BR,Diagnostics & Devices,series-a,0.0022,Atlantico;Canary;General Catalyst,2023,
mombak,Mombak,BR,Nature & Ecosystem Tech,series-a,0.002,Kaszek Ventures;Lowercarbon Capital;Union Square Ventures,,
koltin-mx,Koltin,MX,Diagnostics & Devices,series-a,0.002,500 LatAm;Left Lane Capital,2024-09-01,
puna_bio,Puna Bio,AR,Bioinputs & Crop Resilience,series-b,0.002,ACE Ventures;AIR Capital;CORFO;ChileGlobal Ventures;Corteva Catalyst;Dalus Capital;GLOCAL;GridX;SF500;SOSV_IndieBio;SP Ventures,2025-04-22,
movet-co,Movet,CO,Diagnostics & Devices,series-a,0.0019,Melek Capital;Wivet,2024-10,
atacama-biomaterials-cl,Atacama Biomaterials,CL,Biomaterials & Green Chemistry,seed,0.0019,Claritas Capital;Front Row Fund,2025-04-28,
nintx-br,Nintx,BR,Therapeutics,series-a,0.0018,Ecoa Capital;MOV Investimentos;Pitanga Fund,2024-12-09,
sensix,Sensix,BR,Precision Agriculture,seed,0.0018,Bossa Invest;DOMO.VC;GLOCAL;SLC Agrícola,2023-05-01,
genica,Gênica,BR,Bioinputs & Crop Resilience,series-a,0.0018,Agrex;Banco do Brasil Agro Ventures;SP Ventures;Vox Capital,2024-01-01,
ucrop-it-ar,ucrop.it,AR,Nature & Ecosystem Tech,seed,0.0017,GLOCAL;The Yield Lab LATAM,,
satellogic,Satellogic,AR,Nature & Ecosystem Tech,series-c+,0.0017,CF Acquisition Corp. VIII;DragonesVP;DraperCygnus;SP Ventures;SoftBank Latin America Fund;Valor Capital Group,2022-01-18,
thyroidprint,ThyroidPrint,CL,Diagnostics & Devices,series-a,0.0016,CORFO;Fondo Alerce VC;Venturance Alternative Assets,2022-01-01,
feedvax,Feedvax,US,Food Systems & Alt Proteins,seed,0.0016,AIR Capital;Conservation International;GridX;Hatch,,
gen-t-br,Gen-t,BR,Diagnostics & Devices,seed,0.0016,Eurofarma;Gávea Investimentos,2023-10-01,
neuralmed,NeuralMed,BR,Diagnostics & Devices,seed,0.0016,Alexia Ventures;IDB Invest,2021-08-16,
biosolvit,Biosolvit,BR,Biomaterials & Green Chemistry,series-a,0.0015,Bossa Invest;GHT4 Group;The Ganesha Lab,,
tomorrow_foods,Tomorrow,AR,Food Systems & Alt Proteins,seed,0.0015,Bago;GridX;Grupo Insud,,
food-for-the-future-cl,Food for the Future,CL,Food Systems & Alt Proteins,series-a,0.0014,Kayyak Ventures,,
eva-mx,Eva,MX,Diagnostics & Devices,series-a,0.0014,Dalus Capital;Kaszek Ventures;Y Combinator,2024-01-01,
beep-saude-br,Beep Saúde,BR,Diagnostics & Devices,series-b,0.0014,Endeavor Catalyst;Lightsmith Group;Valor Capital Group,2023,
copptech,Copptech,CL,Biomaterials & Green Chemistry,series-a,0.0014,Aurus Capital;IDB Lab,2022-10-07,
solubio,Solubio Tecnologias Agricolas,BR,Bioinputs & Crop Resilience,seed,0.0014,Aqua Capital;SP Ventures,,
kilimo,Kilimo,AR,Nature & Ecosystem Tech,series-b,0.0013,Antom;ChileGlobal Ventures;GLOCAL;Kamay Ventures;Salkantay Ventures;The Yield Lab LATAM;Varana Capital,2018,
growpack,growPack,AR,Biomaterials & Green Chemistry,seed,0.0013,Oxygea,2024-03-06,
promip,Promip,BR,Bioinputs & Crop Resilience,series-a,0.0013,Angra Partners;SP Ventures,2024-12-01,
bioelements-cl,BioElements,CL,Biomaterials & Green Chemistry,series-a,0.0013,BTG Pactual,2023-01-13,
contech_brasil,Contech Brasil,BR,Biomaterials & Green Chemistry,series-a,0.0013,FORS Capital,,
olho_do_dono,Olho do Dono,BR,Diagnostics & Devices,seed,0.0013,Primatec Fund,2022-02-05,
avedian-ar,Avedian,AR,Diagnostics & Devices,series-a,0.0013,GridX;Meet Capital,2024,
bioceres_sa,Bioceres S.A.,AR,Bioinputs & Crop Resilience,series-c+,0.0013,Union Acquisition Corp. II,2019-06-25,
lemu,Lemu,CL,Nature & Ecosystem Tech,series-a,0.0013,Arauco Ventures,,
agrion-agrisolutions-br,Agrion Agrisolutions,BR,Bioinputs & Crop Resilience,series-a,0.0013,Global Fund for Coral Reefs,2024-08-01,
hif-global-cl,HIF Global,CL,Nature & Ecosystem Tech,series-a,0.0013,Porsche AG,,
examedi-cl,Examedi,CL,Diagnostics & Devices,series-a,0.0013,General Catalyst;Y Combinator,2022-06,
nutrissis-biotech-br,Nutrissis Biotech,BR,Food Systems & Alt Proteins,series-a,0.0013,CNPq - Conselho Nacional de Desenvolvimento Cientifico e Tecnologico,,
keclon,Keclon,AR,Biomanufacturing & Platform Technologies,seed,0.0013,AxVentures-Pymar Fund,,
clearleaf,ClearLeaf,CR,Bioinputs & Crop Resilience,seed,0.0013,Hawthorne Food Ventures,2025-05-01,
moolec,Moolec,AR,Food Systems & Alt Proteins,series-c+,0.0013,LightJump Acquisition Corp,2023-03-27,
wiseconn-cl,Wiseconn,CL,Precision Agriculture,series-a,0.0013,Morningside Group,,
eternal_mycofood,Eternal Mycofood,AR,Food Systems & Alt Proteins,series-a,0.0013,Plug and Play Tech Center,,

# ── Formato esperado por staging/outcomes_incoming.csv (ver src/ingest.py:ingest_outcomes) ──
# Columnas: entity_id,entity_name,outcome_type,outcome_date,counterparty_id,amount_usd,currency,source_url,notes
# - entity_id: debe existir en la tabla entities (usar la columna startup_id de este CSV)
# - outcome_type: ej. funding_round, exit, acquisition, partnership, shutdown
# - outcome_date: YYYY-MM-DD, YYYY-MM o YYYY
# - source_url: OBLIGATORIO (governance del data_contract) — el curador completa este campo,
#   no se genera automaticamente (columna url_fuente_sugerida de este CSV queda vacia a proposito)
# - Despues de llenar staging/outcomes_incoming.csv: python pipeline.py ingest-outcomes
# - NO usar agentes/LLM para inventar outcomes — regla del repo, se cargan manualmente con fuente
