"startup_id","startup_name","macro_theme","emergent_theme","review_status","candidate_source_url","candidate_description"
"soygreen","SoyGREEN","ag biologicals and crop resilience","extremophile microbial ag inputs","seeded","https://soygreen.com.ar","Insumos biográficos e solucións sustentables para o agro."
"webee","Webee","ag biologicals and crop resilience","data-driven pollination systems","taxonomy_stub","https://webee.io","Plataforma de IIoT (IoT Industrial) e IA visual sen código para manufactura."
"chemtest","Chemtest","biobased chemistry and advanced materials","biobased chemistry and materials","taxonomy_stub","https://chemtest.com.ar","Desenvolvemento de kits de diagnóstico rápido para enfermidades infecciosas."
"protiva","Protiva","biobased chemistry and advanced materials","biobased chemistry and materials","seeded","https://protiva.bio","Ingredientes proteicos alternativos para a industria alimentaria."
"conciencia","Conciencia","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","https://conciencia.education","Edtech enfocada no desenvolvemento de habilidades brandas e conciencia social."
"gigablue","Gigablue","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","https://gigablue.io","Tecnoloxía oceánica para a captura de carbono e restauración mariña."
"hiamet_s_a","HIAMET","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","https://hiamet.com","Desenvolvemento de dispositivos médicos e tecnoloxía para a saúde."
"splight","Splight","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","taxonomy_stub","https://splight-ai.com","Intelixencia Artificial aplicada para optimizar a rede eléctrica e enerxías renovables."
"cargo_sapiens","Cargo Sapiens","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://cargosapiens.com","Plataforma loxística para a optimización do transporte de carga."
"circclo","CIRCCLO","climate, energy and resource systems","circular material systems","seeded","https://circclo.com","Plataforma de economía circular para a xestión de residuos e reciclaxe."
"circular","Circular","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://circular.com","Rede social profesional e plataforma de recrutamento técnico."
"clover","Clover","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://clover.com.ar","Solucións de software para a xestión eficiente de recursos humanos."
"courageous_land","Courageous Land","climate, energy and resource systems","regenerative agroforestry and carbon systems","seeded","https://courageousland.com","Agrotech dedicada á reforestación e sistemas agroforestais rexenerativos."
"endless","Endless","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://endlessos.org","Tecnoloxía para facer a computación accesible en áreas con baixa conectividade."
"logshare","LogShare","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://logshare.com.br","Plataforma colaborativa para optimizar o transporte loxístico compartido."
"nideport","Nideport","climate, energy and resource systems","nature restoration and carbon systems","seeded","https://nideport.com","Plataforma para a xestión e comercialización de créditos de carbono."
"solfium","Solfium","climate, energy and resource systems","climate and resource intelligence platforms","taxonomy_stub","https://solfium.com","Plataforma para facilitar a transición cara á enerxía solar residencial e comercial."
"crinsurance","CRInsurance","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://crinsurance.com.br","Insurtech especializada en seguros de crédito e garantías."
"imvalv","Imvalv","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://imvalv.com","Dispositivos médicos innovadores para o tratamento do glaucoma."
"inner_cosmos","Inner Cosmos","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://innercosmos.io","Neurotecnoloxía (implantes dixitais) para o tratamento da depresión."
"nanoingreen","Nanoingreen","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://nanoingreen.com","Nanotecnoloxía para o encapsulamento de ingredientes naturais."
"nanotica","Nanotica","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://nanotica.bio","Nanotecnoloxía aplicada para mellorar a eficiencia de agroquímicos."
"qumir_nano","Qumir Nano","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://qumirnano.bio","Nanomedicina para o tratamento de enfermidades crónicas."
"untech","UnTech","diagnostics and medtech","health diagnostics and medtech","taxonomy_stub","https://untech.bio","Desenvolvemento de tratamentos innovadores para feridas crónicas."
