name,country,sector,description,website,founding_year,source_notes
Yummy,Venezuela,Food & Delivery (Adjacent),Super-app offering groceries, fashion, food delivery, pharmacy, events; Series B funded; $69M raised,https://yummy.com.ve,2020,"Tracxn, TechCrunch, Bloomberg Línea - not strictly biotech but food supply chain"
Coco Mercado,Venezuela,Food Tech,Online grocery platform allowing Venezuelan diaspora to order for families in Venezuela; diaspora remittance model,https://cococomercado.com,2017,"Tracxn, startup ecosystem"
AsiDeRapido,Venezuela,Food/Delivery,Online delivery startup; listed among Food and Agriculture Tech startups,Unknown,Unknown,"Tracxn - limited information available"
Yummy Rocket,Venezuela,Delivery,Related to Yummy ecosystem; online ordering,Unknown,Unknown,"Tracxn - limited information available"
De One,Venezuela,Food/Beverage,Food and agriculture startup,Unknown,Unknown,"Tracxn - limited information"
HolaDOC,Venezuela,HealthTech/MedTech,Telemedicine platform connecting patients with doctors 24/7; enabled for Venezuela with Movistar & Digitel,https://holadoc.com,Unknown,"LinkedIn, Google Play - Venezuelan health tech pioneer"
PEGASI,Venezuela (Founded)/Chile-based,HealthTech/MedTech,Cancer diagnosis and treatment acceleration through digitalization and data analytics; founded by entrepreneurs from Venezuela, Colombia, Mexico; operates in Chile, Colombia, Peru, Ecuador (100+ healthcare institutions),https://pegasi.ai,Unknown,"La Tercera, Health Tech Colombia - oncology focus"
LataMed AI,Venezuela (Operations),HealthTech/MedTech/AI,AI-powered pharmacy fulfillment and telehealth infrastructure; partnership with UCV Faculty of Medicine,https://latamed.ai,Unknown,"The Globe and Mail, Intelligent CIO LATAM - Venezuelan expansion 2026"
FarmaStore,Venezuela,HealthTech/Pharmacy,Online pharmaceutical platform,Unknown,Unknown,"Tracxn - HealthTech startups list"
JEBCPharma,Venezuela,Pharmaceutical,Pharmaceutical platform in Venezuela,https://www.jebcpharma.com,Unknown,"Tracxn - HealthTech startups"
Medimarket Online,Venezuela,HealthTech,Online medical/pharmacy marketplace,Unknown,Unknown,"Tracxn - HealthTech startups"
Cryptobuyer,Venezuela (Base)/Panama,Fintech + RemitTech,Blockchain/crypto payments; supports diaspora remittances and utility payments via cryptocurrency,https://cryptobuyer.io,Unknown,"CoinDesk, Contxto - Venezuelan diaspora focus, not strictly biotech"
Agroguía,Venezuela,AgTech,Data-driven planting recommendations for small farmers via mobile app,Unknown,Unknown,"Venezuela startup ecosystem mentions - limited details"
Mercadoni,Venezuela,AgTech/Logistics,Agricultural product delivery and logistics solutions,Unknown,Unknown,"Venezuela startup ecosystem mentions - limited details"
SOS Biotech,Dominican Republic,Blue Biotech/AgBiotech,Transforms sargassum into biostimulants and bioproducts; products: MarineSymbiotic (biostimulant, +43% production increase, +15% yield), MarineBlossom (flower preservative); emerged from MIT-originated SOS Carbon,https://sosbiotech.global,2024,"Dominican Today, New AG International, The Fish Site, Rockefeller Foundation - marine biotechnology pioneer"
Bontix,Dominican Republic,AgTech,Smart agricultural ecosystem with IoT, AI, machine learning, big data for resource optimization and production maximization,Unknown,Unknown,"F6S, LinkedIn (Luishy Medina CEO) - founder won StartUp Weekend Santiago 2nd place 2011"
Agricultic,Dominican Republic,AgTech,Modernizes agriculture via commodity pricing, crop management, farmer investment access, and crop commercialization,Unknown,Unknown,"Caribbean startup ecosystem sources"
UrbanFarm,Dominican Republic,AgTech/Urban Farming,Urban farming solutions using hydroponics on rooftops; addresses food shortages; self-sustaining agricultural ecosystems,Unknown,Unknown,"Caribbean startup ecosystem sources"
TechWave,Dominican Republic,AgTech/Precision Farming,Drone technology for agricultural monitoring; precision farming; 40%+ yield increases for small farms,Unknown,Unknown,"Caribbean startup ecosystem sources"
Agro360,Dominican Republic,AgTech,Exponential technology solutions to improve agricultural productivity; poverty/hunger alleviation focus,Unknown,Unknown,"StartUS Insights - limited information"
Caribbean Biotech Labs,Dominican Republic,Biotech/CRO,Contract Research Organization providing non-clinical laboratory services (in vitro/in vivo) for pharma and biotech,Unknown,Unknown,"ZoomInfo, DNB profile - CRO services"
Caribbean MedTech,Dominican Republic,MedTech,Sales, marketing, and distribution solution for high-end medical device manufacturers in Caribbean markets,Unknown,Unknown,"LinkedIn, Facebook, Apollo.io - medical device distribution"
BlueWallet Services,Dominican Republic,FinTech (Adjacent),High Tech startup ecosystem,Unknown,Unknown,"Tracxn - not biotech focused"
ADNLAB,Dominican Republic,Biotech/Diagnostics,High Tech startup; ADN = genetic/DNA focus likely,Unknown,Unknown,"Tracxn High Tech list - limited information"
Bechat,Dominican Republic,MarketingTech/HealthTech,High Tech and MarketingTech startup,Unknown,Unknown,"Tracxn - dual category"
Evergo,Dominican Republic,HealthTech/Logistics,High Tech startup,Unknown,Unknown,"Tracxn - limited information"
AlterEstate,Dominican Republic,PropTech (Adjacent),All-in-one cloud solution for real estate; ecosystem player but not biotech,Unknown,Unknown,"Dominican Republic Startup Ecosystem"
TagShelf,Dominican Republic,AI/Enterprise,AI platform for business automation and document processing; not biotech,Unknown,Unknown,"Dominican Republic Startup Ecosystem"
University of Simon Bolivar - Health Technology Unit (UGTS),Venezuela,Research/Innovation,Health technology innovation and research unit; part of Funindes; promotes R&D in health sector through Sartenejas Technology Park (PTS-USB established 1992),Unknown,1992,"Simon Bolivar University rankings, PTS-USB - institutional not startup"
UNU-BIOLAC Collaboration,Venezuela,Biotech Research/Education,UCV partnership with UN Biotechnology Programme for Latin America and Caribbean (Jan 2026); training and postgraduate program development,Unknown,2026,"United Nations University - institutional collaboration"
SOS Carbon (MIT spinoff),Dominican Republic,Environmental/Blue Biotech,Massachusetts Institute of Technology-originated organization tackling sargassum; parent organization to SOS Biotech,Unknown,Pre-2024,"Invading Sea, SOS Biotech website - precursor company"
