startup_name,country,sector,description,website,founding_year,source
WSeeds,CO,agtech,"Digital agricultural platform using AI, blockchain, and WhatsApp-based chatbot for farmer data management. From VerdeXcelerate. 2023 sales: $6K; 2025 projected: $240K; 1,718 farmers served; 25% yield increase.",https://wseeds.io,Unknown,VerdeXcelerate
Apasomics,CR,therapeutics,Nanomedicine biomimictic company developing targeted drug delivery directly to bone. BIO scope: therapeutics and regenerative medicine.,https://apasomics.com,Unknown,BIO LATAM DB
BioTech,CR,biotech,"Sustainable biocontrol solutions developing natural alternatives to chemical pesticides. Co-founders: Lizzy Retana Villalobos, Gilberto Masís Solano.",https://biotechcr.com,Unknown,WIPO/CINDE
Bizquick,CR,digital,Virtual platform for professional internships leveraging technology.,Unknown,Unknown,TEC Emprende
CRIC,CR,food biotech,Produces and exports edible insect species for food industry. Supported by TEC Emprende.,Unknown,Unknown,TEC Emprende
ClearLeaf,CR,agtech,Environmental protection solutions for crops specializing in crop health and sustainability.,Unknown,Unknown,AUGE-UCR
Costa Rica Insect Company,CR,food biotech,Produces insect-based food ingredients for human consumption as alternative protein source. Breeding insects in controlled environment for high nutrition and malnutrition resistance.,Unknown,Unknown,Tracxn/Crunchbase
Digital Twin Corporation,CR,agtech,"IoT platform for agricultural waste management using fruit-shaped digital twin devices for predictive analytics. Founders: Jose Ordonez, Daniel Barahona Urbina, Hugo Mora Fallas.",Unknown,2019,Tracxn/Crunchbase
GeaNext,CR,agtech,AgriTech startup developing solutions for agricultural productivity.,Unknown,Unknown,Tracxn
Green Xpo Lab,CR,agtech,Remote monitoring technology for agriculture using drones and satellite imagery for precision farming. Founded 2022.,Unknown,2022,Contxto
Lilliput Technologies,CR,agtech,"Biopolymer solutions for crop protection addressing climate change in coffee cultivation. Founders: Mauricio Herrera Rodriguez, Sam Nehme, Laura Chaves Martinez. Spin-out from Deep Science Ventures.",https://www.lilliputtech.com,2024,Deep Science Ventures
Lilliput Technologies Ltd.,CR,agtech,Biopolymer crop protection technology for coffee and other crops. Founded April/May 2024 by Deep Science Ventures. Founder: Mauricio Herrera Rodriguez.,https://www.lilliputtech.com,2024,Deep Science Ventures/IndexBox
Magenta Biolabs,CR,biotech,IndieBio-accelerated startup developing valued molecules for biotech industry using natural substances as raw material.,https://magentabiolabs.com,Unknown,CINDE/Tracxn
Magic Green,CR,agtech,AgriTech startup operating in Costa Rica's growing agricultural technology sector.,Unknown,Unknown,Tracxn
Nanomedical,CR,medtech,Disinfection and sterilization technology for medical applications.,Unknown,Unknown,AUGE-UCR
Polis Bioenergy,CR,climate energy,"Regenerative climate-tech converting wet agricultural waste into thermal energy and biochar. BIO scope: climate, energy and resource systems.",Unknown,Unknown,BIO LATAM DB
Quipu,CR,agtech,Digital agriculture tool. Won 2021 Hackathon from IICA (Inter-American Institute for Cooperation on Agriculture).,Unknown,2021,TEC Emprende/IICA
Sunspectra,CR,materials,Produces mineral sunblock and protective shirts. Scaled into Mexico. Accelerated by AUGE-UCR.,Unknown,Unknown,AUGE-UCR
Agrocontrol,GT,agtech,Agricultural control and monitoring technology for farm operations.,Unknown,Unknown,Tracxn
Descuentazo,GT,food,"App-based discount platform offering surplus packaged food products including beverages, snacks, and beauty items.",https://descuentazo.gt,Unknown,Tracxn
FoodBunny,GT,food,Food delivery and meal platform for Guatemala.,Unknown,Unknown,Tracxn
Genba,GT,food,"Internet-first bakery platform for purchasing pastries, bread, and cakes from partner stores across Guatemala. Founded 2016; Won Win.gt award 2023.",https://genba.online,2016,Tracxn
Kingo,GT,climate energy,"Pay-as-you-go solar energy provider for off-grid rural communities. Founders: Juan Fermín Rodriguez, Matias de Tezanos. 50,000+ households across Central America. Founded 2013.",https://kingo.energy,2013,LAVCA/AFD
Kingo Energy,GT,climate energy,Prepaid solar energy solutions for rural Central America. Same as Kingo (appears in multiple sources).,https://kingo.energy,2013,Various
Nana,GT,food,Food and beverage startup serving Guatemala market.,Unknown,Unknown,Tracxn
Wakami,GT,social enterprise,Connects rural women artisans with global market through Guatemalan textile products. Exports to 20+ countries. Founder: María Pacheco.,https://wakami.org,Unknown,Cornell News
Bluelight Consulting,PA,software,Nearshore software development services connecting companies with remote tech talent.,Unknown,Unknown,Wellfound
Boom Entertainment,PA,gaming,Technology platform for sports betting and online gaming with professional leagues and casinos.,Unknown,Unknown,Wellfound
Buildly,PA,software,Cloud application development platform for enterprise and startup teams using AI.,https://buildly.io,Unknown,Wellfound
Urenkoff SA,PA,fintech,Blockchain and AI-powered financial solutions for banking institutions. Founded as NextPay Latam Inc. (2010).,Unknown,2010,Wellfound
Zazmic,PA,software,Technology consulting and staffing company helping startups and enterprises grow.,Unknown,Unknown,Wellfound
