"batch_name","batch_label","batch_goal","batch_rank","startup_id","startup_name","scope_decision","macro_theme","review_status","quality_band","priority","current_summary"
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","1","bioseek","Bioseek","include","computational biology and scientific software","taxonomy_stub","fragile","123","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","2","calice_biotech","Calice Biotech","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","fragile","123","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","3","cellargen_biotech","Cellargen Biotech","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","fragile","123","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","4","enzyva","Enzyva","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","fragile","123","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","5","ergo_foods","Ergo Foods","include","food biotech and novel ingredients","taxonomy_stub","fragile","123","foodtech ingredients; alternative proteins para food and beverage. Entra en tesis por food biotech and novel ingredients."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","6","limay","Limay","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","fragile","123","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","7","microscopia","microscopIA","include","computational biology and scientific software","taxonomy_stub","fragile","123","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","8","multiplai","MultiplAI","include","computational biology and scientific software","taxonomy_stub","fragile","123","computational biology and life-science software para biotech, pharma and research labs. Entra en tesis por computational biology and scientific software."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","9","nanojump_bio","Nano Jump Bio","include","diagnostics and medtech","taxonomy_stub","fragile","123","health diagnostics and medtech para healthcare providers and labs. Entra en tesis por diagnostics and medtech."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","10","plamic_biotech","Plamic Biotech","include","biomanufacturing and bioindustrial platforms","taxonomy_stub","fragile","123","industrial biotech and biological tools para industrial biotech and research markets. Entra en tesis por biomanufacturing and bioindustrial platforms."
"Batch 1","include_fragile_core","Source acquisition for thesis-core fragile includes","11","synthetic_ocular_restoration","Synthetic Ocular Restoration","include","therapeutics and regenerative medicine","taxonomy_stub","fragile","123","therapeutic biotech and regenerative medicine para biotech and healthcare. Entra en tesis por therapeutics and regenerative medicine."
