"investor_id","canonical_name","country_code","investor_type","thesis","profile_blurb","ticket_min_usd","ticket_max_usd","aum_usd_m","lead_behavior","preferred_stages","geography_focus","profile_source_url","curated_at"
"valor_capital_group","Valor Capital Group","US","vc","Cross-border VC connecting US and Brazilian tech ecosystems. Focus on fintech, enterprise software, and global-scale companies originating in Brazil.","Valor Capital Group is a New York and São Paulo-based VC firm that bridges Brazil and the US market. Manages $500M+ with a portfolio that has generated $13B+ in follow-on capital. Focus areas: fintech, enterprise SaaS, digital marketplaces, and deeptech companies with Brazil roots and global ambition. Deep LP network in the US enables portfolio companies to access US corporate partnerships and international capital.","500000","10000000","500","lead_or_follow","series-a,series-b","BR,US,LATAM","https://www.valorcapitalgroup.com","2026-06-08"
"monashees","Monashees","BR","vc","Brazil's reference VC for technology companies at seed to Series B. Bets on founders with outsized ambition to build Latin America's next generation of tech leaders.","Monashees is Brazil's largest independent VC fund with $430M AUM and 140+ portfolio companies. Founded 2005, it has backed companies across fintech, health tech, proptech, agtech, and consumer. Known for operator-friendly terms, long holding periods, and deep Brazilian ecosystem connections including ABStartups and major accelerators. Strong LP base of global institutional investors.","500000","15000000","430","lead_or_follow","seed,series-a,series-b","BR,LATAM","https://www.monashees.com.br","2026-06-08"
"grupo_insud","Grupo Insud","AR","corporate","Argentine pharmaceutical and biotech conglomerate with diversified investments in drug manufacturing, biologics, vaccines, and agrichemicals across Latin America.","Grupo Insud is an Argentine family-owned conglomerate (Chairwoman: Ana Böhm) with key biotech and pharma holdings: mAbxience (biopharmaceuticals, AstraZeneca partner), Inmunova (antibody R&D), Sinergium Biotech (vaccines), and Elea Phoenix (generics/pharma). Strong biosimilar and biologics manufacturing capabilities. Operates across Argentina, Brazil, Mexico, and Spain. Strategic investor in life-sciences startups seeking industrial scale-up and LatAm market access.","1000000","0","0","lead_or_follow","series-a,series-b,growth","AR,LATAM,ES","https://www.grupoinsud.com","2026-06-08"
"aqua_capital","Aqua Capital","BR","pe","Brazilian private equity focused exclusively on agribusiness. Invests in established mid-market agribusinesses with technology-driven competitive advantage.","Aqua Capital is São Paulo-based PE managing $1.1B+ AUM across three funds, with Fund III closed at $450M. Invests in Brazilian agribusiness with 29 portfolio companies spanning input distribution, food processing, precision agriculture, and rural tech. Investment criteria: $50M-$500M revenues, defensible market position, scalable operations. Provides operational expertise and international market access. Not a startup fund — targets mature agribusinesses ready for institutional PE governance.","5000000","50000000","1100","lead","growth,pe","BR","https://www.aquacapital.com.br","2026-06-08"
"blue_horizon","Blue Horizon","CH","vc","Swiss growth VC focused on the protein transition: alt proteins, precision fermentation, and sustainable food systems at Series A to C.","Blue Horizon is a Zurich-based VC managing $100M+ with 100+ portfolio companies and 3 unicorns. Thesis: accelerating the transition to sustainable food systems through alternative proteins (plant-based, cultivated meat, fermentation-derived). Portfolio includes Eat Just, Impossible Foods, Oatly. Invests globally, with active LatAm portfolio in Brazil, Chile, and Colombia. Provides sector expertise, go-to-market support in European markets, and connections to major food corporate partners.","1000000","20000000","100","lead_or_follow","series-a,series-b,series-c","GLOBAL","https://www.bluehorizon.com","2026-06-08"
"bndes","BNDES (Banco Nacional de Desenvolvimento)","BR","dfi","Brazil's national development bank. Provides equity, debt, and grants to innovative companies through BNDES Garagem, Fundo Criatec, and BNDES Inovação programs.","BNDES (Banco Nacional de Desenvolvimento Econômico e Social) is Brazil's largest development bank with R$1T+ AUM. For startups and innovation, operates BNDES Garagem (accelerator hubs in Rio and São Paulo), Canal MPME (direct startup financing), and co-investment programs with VC funds. Active in agtech, bioeconomy, cleantech, and digital health aligned with Brazil's industrial development priorities. Patient capital with flexible return expectations and strong government alignment. Not purely return-driven.","200000","5000000","0","follow","seed,series-a,series-b","BR","https://www.bndes.gov.br","2026-06-08"
"corteva_catalyst","Corteva Catalyst","US","cvc","Corteva Agriscience's investment and partnership platform. Targets genome editing, biologicals, ag data platforms, and decision science innovations to accelerate agricultural transformation.","Corteva Catalyst is the corporate venture and open innovation arm of Corteva Agriscience (NYSE: CTVA), one of the world's largest agrichemical and seed companies. Invests in 5–7 startups per year across four verticals: genome editing, biologicals and natural products, ag technology platforms, and decision science. Strategic mandate: identify and commercialize external innovations, with portfolio companies viewed as acquisition or licensing pipeline. Ticket size undisclosed; team of <10 with M&A and legal backing.","500000","10000000","0","lead_or_follow","seed,series-a,series-b","GLOBAL","https://www.corteva.com/our-impact/innovation/catalyst.html","2026-06-08"
"domo_invest","DOMO.VC","BR","vc","Brazilian early-stage VC investing in best-in-class founders across enterprise software, agtech, climate, and consumer sectors.","DOMO.VC is a São Paulo-based venture capital firm founded in 2016 with 105+ portfolio companies and 1 unicorn (Neon). Invests at seed and Series A in Brazilian and LatAm technology startups. Top sectors: enterprise applications, consumer, agtech, climate, fintech, and health. Known for rapid term sheets, active portfolio support, and strong LP base of institutional and strategic investors. Co-invests frequently with Canary, Monashees, and Atlantico.","200000","3000000","50","lead_or_follow","seed,series-a","BR,LATAM","https://tracxn.com/d/venture-capital/domo/__KB1rLkB5MObEQ17FTXXXmhN-IyzTFymbIaGMmEYg5XQ","2026-06-08"
"eatable_adventures","Eatable Adventures","ES","accelerator","Global foodtech accelerator and VC with hubs in Spain and LatAm (Colombia). Backs startups at the intersection of food, technology, and sustainability.","Eatable Adventures is a Madrid-based foodtech accelerator and VC operating the Eatable Adventures Accelerator (cohort-based, 6 months) and a direct investment fund. Corporate partners include Nestlé, Coca-Cola, Bimbo, Carrefour, and Danone who co-invest and serve as pilot customers. LatAm hub in Bogotá active since 2021. Focus areas: alternative proteins, precision fermentation, food safety, packaging, and digital agri-food supply chain. Provides EUR 50-300k per cohort company plus corporate introductions.","50000","500000","30","lead","pre-seed,seed","ES,LATAM,GLOBAL","https://eatableadventures.com","2026-06-08"
"fondo_alerce","Fondo Alerce VC","CL","vc","Chilean seed and early-stage VC focused on deep tech startups in mining, agtech, food systems, biotech, and sustainability.","Fondo Alerce VC is a Santiago-based fund investing in Chilean deep tech startups with global scalability. Focus sectors: precision agriculture, food technology, biotechnology, mining tech, and cleantech. Connected to PUC Chile, Universidad de Chile, and Austral University through deal sourcing and technical validation. Portfolio includes The Live Green Co (food tech unicorn), VitaCrop, and others. Backed by CORFO and institutional Chilean investors. Typical tickets: USD 200k-1.5M at pre-seed to seed.","200000","1500000","30","lead_or_follow","pre-seed,seed","CL,LATAM","https://endinv.com/fondo-alerce-vc/","2026-06-08"
