startup_id,canonical_name,bio_theme,mscale,mscale_name,mscale_x,mparadigm,confidence,data_source,mscale_scores,top_keywords,one_liner
tech,@Tech,Farm Intelligence,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 3, 2: 2, 3: 0, 4: 0, 5: 8, 6: 0}",agtech,Animal protein optimization and traceability with AI and IoT.
ages,AGES,Biomaterials & Circular Economy,6,Paisaje/Planeta,12.0,1.67,high,primary,"{1: 3, 2: 0, 3: 2, 4: 2, 5: 0, 6: 10}",biodiversity; amazon,Amazonian bioactive compounds platform.
agrotools,AGROTOOLS,Nature & Ecosystem Tech,6,Paisaje/Planeta,12.0,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 6, 6: 16}",planetary; territorial; geospatial; environmental monitoring,"Agricultural risk, supply-chain and ESG intelligence platform."
apexzymes,APEXzymes,Biomanufacturing & Fermentation Economy,1,Molecular,-12.0,1.67,medium,primary,"{1: 5, 2: 4, 3: 0, 4: 0, 5: 3, 6: 0}",enzyme ,Industrial enzyme company using circular feedstocks.
avatar_medtech,AVaTAR MedTech,Diagnostics & Health Access,3,Organismo,-2.4,1.0,high,primary,"{1: 0, 2: 2, 3: 12, 4: 2, 5: 0, 6: 0}",patient; pediatric,Autologous tissue heart-valve reconstruction devices.
activaq,ActivaQ,Bioinputs & Crop Resilience,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 6, 4: 0, 5: 6, 6: 0}",veterinary; animal health,
advanced_biocontrollers,Advanced Biocontrollers,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 3, 6: 0}",pest management,
aegro,Aegro,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 12, 6: 2}",farm; field; farm operation,Farm operations and financial management platform.
ages_bioactive,Ages Bioactive,Therapeutics,4,Lote/Producto,2.4,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 3, 5: 0, 6: 0}",nutraceutical,
agree,Agree,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 6, 6: 2}",grain,Agri-food chain traceability and market infrastructure.
agricapital,Agricapital,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 18, 6: 2}",farm; farmer; harvest; smallholder; agricultural finance,Smallholder agricultural financing platform.
agrion-agrisolutions-br,Agrion Agrisolutions,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 6, 6: 0}",farm; farmer,
agrired,Agrired,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,3.0,medium,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 3, 6: 0}",,B2B ag-input market infrastructure.
agrivalle,Agrivalle,Bioinputs & Crop Resilience,2,Celular,-7.2,1.0,medium,primary,"{1: 2, 2: 9, 3: 2, 4: 0, 5: 5, 6: 0}",bioreactor,"Biological fertilizers, inoculants and biostimulants company."
agrosustain-mx,AgroSustain,Bioinputs & Crop Resilience,5,Campo/Sistema,7.2,1.57,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 13, 6: 0}",farm; farmer; harvest,Develops eco-friendly biopesticides targeting fungal crop infections to reduce chemical pesticide dependency for Mexican
agroforte,Agroforte,Nature & Ecosystem Tech,3,Organismo,-2.4,3.0,medium,primary,"{1: 3, 2: 2, 3: 5, 4: 0, 5: 3, 6: 2}",animal health,Animal production financial infrastructure.
agrofy,Agrofy,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,2.33,medium,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 8, 6: 7}",agribusiness,Digital agribusiness marketplace and agfintech ecosystem.
agrojusto,Agrojusto,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,medium,primary,"{1: 0, 2: 2, 3: 0, 4: 3, 5: 6, 6: 3}",smallholder,Traceability and market-access platform for smallholder food systems.
agrolend,Agrolend,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 6, 6: 2}",agribusiness,"Agricultural credit, receivables and risk-monitoring platform."
agronow-br,Agronow,Farm Intelligence,5,Campo/Sistema,7.2,2.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 15, 6: 3}",farm; agronomic; harvest; crop monitoring; rural credit,
agrorganica,Agrorganica,Bioinputs & Crop Resilience,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
agrosmart,Agrosmart,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,medium,primary,"{1: 0, 2: 2, 3: 0, 4: 6, 5: 12, 6: 2}",farm; irrigation; agronomic,Climate-smart agronomic and irrigation intelligence platform.
agrotoken,Agrotoken,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,high,primary,"{1: 0, 2: 2, 3: 0, 4: 0, 5: 9, 6: 2}",grain; agribusiness,Real-world asset and traceability infrastructure for agribusiness.
agrourbana,Agrourbana,Nature & Ecosystem Tech,5,Campo/Sistema,7.2,3.0,medium,primary,"{1: 0, 2: 2, 3: 2, 4: 8, 5: 9, 6: 4}",farm; farming,Controlled-environment vertical farming for fresh produce.
aimirim-br,Aimirim,Farm Intelligence,2,Celular,-7.2,3.0,high,primary,"{1: 0, 2: 6, 3: 0, 4: 0, 5: 2, 6: 0}",fermentation; ferment,Digital twin and IoT platform that optimizes industrial fermentation and energy processes in sugarcane biorefineries.
aintech,Aintech,Biomaterials & Circular Economy,3,Organismo,-2.4,2.0,low,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",,
algalife,Algalife,Biomanufacturing & Fermentation Economy,2,Celular,-7.2,2.0,high,primary,"{1: 0, 2: 10, 3: 0, 4: 0, 5: 0, 6: 0}",bioprocess; microalgae,Microalgae process optimization platform.
algenis-cl,Algenis,Therapeutics,1,Molecular,-12.0,2.0,low,primary,"{1: 3, 2: 3, 3: 0, 4: 0, 5: 0, 6: 0}",compound ,
alkemio,Alkemio,Biomaterials & Circular Economy,6,Paisaje/Planeta,12.0,3.0,high,primary,"{1: 0, 2: 0, 3: 0, 4: 0, 5: 0, 6: 4}",,Modular sustainable rare earth refining platform.
alytix,Alytix,Diagnostics & Health Access,3,Organismo,-2.4,2.0,medium,primary,"{1: 5, 2: 2, 3: 9, 4: 0, 5: 6, 6: 0}",human health,Bacteriophage therapeutics and prevention platform.
amnova-biotech-cl,Amnova Biotech,Therapeutics,1,Molecular,-12.0,1.0,high,primary,"{1: 3, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0}",cell-free,
amplify-dynamics,Amplify Dynamics,Therapeutics,1,Molecular,-12.0,1.44,medium,primary,"{1: 10, 2: 7, 3: 4, 4: 0, 5: 0, 6: 0}",gene ; nanoparticle,Contactless ultrasound purification for lipid nanoparticles.
andes-biotechnologies-cl,Andes Biotechnologies,Therapeutics,1,Molecular,-12.0,2.0,high,primary,"{1: 9, 2: 0, 3: 3, 4: 0, 5: 0, 6: 0}", dna ; nucleotid; oligonucleotide,
antarka,Antarka,Biomaterials & Circular Economy,1,Molecular,-12.0,1.0,medium,primary,"{1: 8, 2: 4, 3: 2, 4: 2, 5: 0, 6: 2}", dna ; enzyme ,Extremophile enzyme skin DNA repair ingredients.
