"startup_id","startup_name","current_macro_theme","current_emergent_theme","semantic_beta_theme","semantic_cluster_id","semantic_beta_score","semantic_beta_margin","semantic_beta_confidence","gridx_match","antom_match","matched_signals","source_url","source_type","review_status","evidence_excerpt","startup_summary_v1"
"arakion","Arakion","ag biologicals and crop resilience","ag biologicals and crop resilience","ag biologicals and crop resilience","cluster_1","33","18.8","high","Agri-food-land use","despliegue / intervencion","venenos; strip; resilience; proteger; precision; nueva","https://www.gridexponential.com/portfolio","official_portfolio_profile","reviewed","GRIDX portfolio says Arakion develops rationally designed insecticides based on arachnid venom.","Startup biotech que diseña insecticidas de nueva generacion basados en venenos de aracnidos para proteger cultivos con mayor precision biologica. Entra claramente por ag biologicals and crop resilience."
"ayuvant","Ayuvant","therapeutics and regenerative medicine","therapeutic and regenerative biology","ag biologicals and crop resilience","cluster_1","18.8","8.6","medium","Agri-food-land use","despliegue / intervencion","terapeutico; nanoparticulas; instruir; inmunoterapia; inmune; celulas","https://www.ayuvant.com/","official_website","reviewed","Official site describes a novel immunotherapy based on RNA nanoparticles targeting cancer.","Startup de biotech terapeutico que desarrolla una inmunoterapia basada en nanoparticulas de RNA para instruir al sistema inmune a atacar celulas cancerosas. Entra en tesis por therapeutics and regenerative medicine."
"beam_croptech","BEAM CropTech","ag biologicals and crop resilience","genome-enabled crop resilience","ag biologicals and crop resilience","cluster_1","27.7","17.7","high","Agri-food-land use","despliegue / intervencion","resiliencia; productividad; geneticas; fotosintesis; fotobiologia; cultivos","https://beamcroptech.com/en/home-en/","official_website","reviewed","Official site describes technologies to improve photosynthesis, yield and drought resilience in crops through advanced photobiology and biotechnology.","Agrobiotech que desarrolla tecnologias geneticas basadas en fotobiologia para mejorar fotosintesis, productividad y resiliencia de cultivos. Entra en tesis por ag biologicals and crop resilience."
"beeflow","Beeflow","ag biologicals and crop resilience","data-driven pollination systems","ag biologicals and crop resilience","cluster_1","18.6","7.9","medium","Agri-food-land use","despliegue / intervencion","rendimiento; propietarias; polinizacion; nutricionales; fruta; cultivos","https://www.beeflow.com/about-us","official_website","reviewed","Official site describes a biotechnology company providing professional pollination services using crop data and proprietary bee nutritional technologies.","Biotecnologica de polinizacion que combina ciencia de cultivos, biologia de abejas y tecnologias nutricionales propietarias para mejorar rendimiento y calidad de fruta. Entra en tesis por ag biologicals and crop resilience."
"biocle","BioCl","therapeutics and regenerative medicine","therapeutic and regenerative biology","ag biologicals and crop resilience","cluster_1","20.4","15.7","high","Agri-food-land use","despliegue / intervencion","vesiculas; preciso; digestiva; delivery; bacterianas","https://www.gridexponential.com/portfolio","official_portfolio_profile","seeded","GRIDX portfolio describes bacterial vesicles to transform digestive health through precise and effective delivery.","Startup biotech que usa vesiculas bacterianas para mejorar delivery preciso en salud digestiva. Entra en tesis por therapeutics and regenerative medicine."
"biodiversity_intelligence","Biodiversity Intelligence","climate, energy and resource systems","climate and resource intelligence platforms","ag biologicals and crop resilience","cluster_1","20.3","11.3","high","Agri-food-land use","despliegue / intervencion","naturaleza; strip; stewardship; satelital; reporte; planetarios","https://www.gridexponential.com/portfolio","official_portfolio_profile","reviewed","GRIDX portfolio says Biodiversity Intelligence measures and reports nature with DNA and satellite tech.","Plataforma de medicion y reporte de naturaleza que combina ADN y tecnologia satelital para monitorear biodiversidad y generar inteligencia ambiental. Entra por stewardship de limites planetarios y naturaleza."
"bioeutectics","Bioeutectics","biobased chemistry and advanced materials","biobased chemistry and materials","ag biologicals and crop resilience","cluster_1","0","0","low","Agri-food-land use","despliegue / intervencion","solvents; solvent; replace; processes; petrochemical; bioeutectics","https://www.bioeutectics.com/","official_website","seeded","Bioeutectics develops bio-based solvent systems that replace petrochemical solvents in industrial processes.","Bioeutectics develops bio-based solvent systems that replace petrochemical solvents in industrial processes. Entra en tesis por biobased chemistry and advanced materials. TRL actual inferido: 9."
"bioseek","Bioseek","computational biology and scientific software","computational biology and life-science software","ag biologicals and crop resilience","cluster_1","21.1","18.9","high","Agri-food-land use","despliegue / intervencion","semantic; search; sciences; investigacion; analitica","https://www.f6s.com/company/bioseek","secondary_public_profile","reviewed","Public profiles describe BioSeek as a specialized search engine and research environment for life sciences with semantic search and analytics.","Plataforma de semantic search y analitica para investigacion en life sciences. Entra en tesis como software cientifico acoplado de forma directa a I+D biologica."
"bitgenia","Bitgenia","computational biology and scientific software","computational biology and life-science software","ag biologicals and crop resilience","cluster_1","13.7","6.5","medium","Agri-food-land use","despliegue / intervencion","propia; paneles; ofrece; interpretacion; genomica; genoma","https://www.bitgenia.com/nosotros/","official_website","reviewed","Official site describes genomic analysis services and a proprietary bioinformatics platform for gene panels, exome and genome sequencing workflows.","Empresa de genómica y bioinformática que ofrece análisis clínicos, paneles de genes, exoma/genoma y una plataforma propia para interpretación de datos. Entra en tesis por computational biology and scientific software."
"branch_energy","Branch Energy","climate, energy and resource systems","climate and resource intelligence platforms","ag biologicals and crop resilience","cluster_1","35.2","23.3","high","Agri-food-land use","despliegue / intervencion","resiliencia; renovable; reducir; onsite; huella; energeticos","https://www.linkedin.com/company/branch-energy","official_public_profile","reviewed","LinkedIn company profile states that Branch Energy helps customers reduce energy costs while increasing resilience by deploying on-site batteries and other energy infrastructure.","Startup climatica que combina electricidad renovable, baterias onsite y analitica de datos para bajar costos energeticos, aumentar resiliencia y reducir huella de carbono. Entra en tesis por su contribucion directa a transicion energetica y limites planetarios."
