investment_id,investor_id,startup_id,confidence_score,source,tema
AGENT_RESEARCH_gridx_beeflow,gridx,beeflow,0.95,Agent research: Gridx portfolio,agtech
AGENT_RESEARCH_gridx_puna_bio,gridx,puna_bio,0.95,Agent research: Gridx portfolio,bioinputs
AGENT_RESEARCH_gridx_caspr_biotech,gridx,caspr_biotech,0.95,Agent research: Gridx portfolio,diagnostics
AGENT_RESEARCH_gridx_onco_precision,gridx,onco_precision,0.95,Agent research: Gridx portfolio,therapeutics
AGENT_RESEARCH_gridx_michroma,gridx,michroma,0.95,Agent research: Gridx portfolio,food_biotech
AGENT_RESEARCH_gridx_biolinker,gridx,biolinker,0.9,Agent research: Gridx portfolio,biomanufacturing
AGENT_RESEARCH_gridx_food4you,gridx,food4you,0.9,Agent research: Gridx portfolio,food_systems
AGENT_RESEARCH_gridx_glycox,gridx,glycox,0.9,Agent research: Gridx portfolio,food_systems
AGENT_RESEARCH_gridx_kresko_rnatech,gridx,kresko_rnatech,0.9,Agent research: Gridx portfolio,therapeutics
AGENT_RESEARCH_gridx_naturannova,gridx,naturannova,0.9,Agent research: Gridx portfolio,food_systems
AGENT_RESEARCH_gridx_tomorrow_foods,gridx,tomorrow_foods,0.95,Agent research: Gridx portfolio,food_systems
AGENT_RESEARCH_gridx_updairy,gridx,updairy,0.95,Agent research: Gridx portfolio,food_biotech
AGENT_RESEARCH_gridx_cell_farm,gridx,cell_farm,0.9,Agent research: Gridx portfolio,food_biotech
AGENT_RESEARCH_gridx_bybug,gridx,bybug,0.9,Agent research: Gridx portfolio,biomanufacturing
AGENT_RESEARCH_the_ganesha_lab_metabix-biotech,the_ganesha_lab,metabix-biotech,0.95,Agent research: The Ganesha Lab portfolio,therapeutics
AGENT_RESEARCH_the_ganesha_lab_unibaio,the_ganesha_lab,unibaio,0.95,Agent research: The Ganesha Lab portfolio,therapeutics
AGENT_RESEARCH_the_ganesha_lab_eywa_biotech,the_ganesha_lab,eywa_biotech,0.95,Agent research: The Ganesha Lab portfolio,therapeutics
AGENT_RESEARCH_sp_ventures_genica,sp_ventures,genica,0.95,Agent research: Sp Ventures portfolio,therapeutics
AGENT_RESEARCH_sp_ventures_symbiomics,sp_ventures,symbiomics,0.95,Agent research: Sp Ventures portfolio,bioinputs
AGENT_RESEARCH_sp_ventures_frizata,sp_ventures,frizata,0.9,Agent research: Sp Ventures portfolio,food_systems
AGENT_RESEARCH_sp_ventures_pink-farms,sp_ventures,pink-farms,0.9,Agent research: Sp Ventures portfolio,food_systems
AGENT_RESEARCH_sp_ventures_puna_bio,sp_ventures,puna_bio,0.95,Agent research: Sp Ventures portfolio,bioinputs
AGENT_RESEARCH_vesper_ventures_cellertz-bio-br,vesper_ventures,cellertz-bio-br,0.9,Agent research: Vesper Ventures portfolio,therapeutics
AGENT_RESEARCH_the_yield_lab_latam_kilimo,the_yield_lab_latam,kilimo,0.95,Agent research: The Yield Lab Latam portfolio,precision_agriculture
AGENT_RESEARCH_the_yield_lab_latam_verqor,the_yield_lab_latam,verqor,0.9,Agent research: The Yield Lab Latam portfolio,bioinputs
AGENT_RESEARCH_the_yield_lab_latam_sciphage,the_yield_lab_latam,sciphage,0.95,Agent research: The Yield Lab Latam portfolio,therapeutics
AGENT_RESEARCH_the_yield_lab_latam_heartbest,the_yield_lab_latam,heartbest,0.9,Agent research: The Yield Lab Latam portfolio,food_systems
AGENT_RESEARCH_zentynel_xeptiva-therapeutics-uy,zentynel,xeptiva-therapeutics-uy,0.95,Agent research: Zentynel portfolio,therapeutics
AGENT_RESEARCH_zentynel_autem-therapeutics-br,zentynel,autem-therapeutics-br,0.95,Agent research: Zentynel portfolio,therapeutics
