name,country_code,sector,description,website,source_report,source_organization,scope_basis,confidence
Stämm,AR,biotech,Fermentation-based sustainable materials and biopolymers manufacturing.,stammtech.com,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.95
Puna Bio,AR,agbiotech,Develops biological inputs from extremophile microorganisms found in the Puna plateau to improve crop yields and restore degraded soils.,puna.bio,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.95
CASPR Biotech,AR,medtech,CRISPR-powered diagnostics for rapid decentralized healthcare enabling disease detection in under an hour.,casprcorp.com,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.95
Beeflow,AR,agtech,Professional pollination services using proprietary technologies and data analysis for crop optimization.,beeflow.com.ar,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.95
Bioeutectics,AR,biotech,Biotech company developing eutectic-based bioformulations. Engineers bio-based eutectic solvents from natural compounds for food cosmetics and pharmaceuticals.,bioeutectics.com,GridX II Fund Portfolio + Cuantico VP Report,GridX (IDB Lab funded),external_auditable_source,0.90
Michroma,AR,agtech,Creates natural food dyes using fungal biofactories via synthetic biology and bioinformatics.,microma.bio,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.90
OncoPrecision,AR,oncology,Employs patient-derived data for developing therapeutic antibodies targeting cancer treatment gaps.,oncoprecision.ar,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.90
Nanogrow,AR,therapeutics,Develops single-domain antibodies combining efficacy with localized delivery using AI and computational tools.,nanogrow.ar,GridX II Fund Portfolio,GridX (IDB Lab funded),external_auditable_source,0.90
SphereBio,AR,therapeutics,Developing personalized therapeutic vaccines for cancer treatment using nanovehicles and artificial intelligence algorithms to train the patient's immune system.,spherebio.com,IDB Lab Investment Portfolio,IDB Lab,external_auditable_source,0.90
Puna Bio,AR,agbiotech,Develops biological inputs from extremophile microorganisms for crop improvement. Pre-seed $400K grant from CORFO and Good Food Institute.,puna.bio,Cuantico VP Argentina Startups Report 2026,Cuantico VP,external_auditable_source,0.95
Nunatak Biotech,AR,biotech,Focuses on soil restoration using plant-microorganism associations with Antarctic extremophile bacteria. Pre-seed $400K.,nunatakbiotech.com,Cuantico VP Argentina Startups Report 2026,Cuantico VP,external_auditable_source,0.90
Giraffe Bio,AR,biotech,Develops AI-designed biomolecules for critical mineral extraction optimization from mining effluents.,giraffebio.com,Cuantico VP Argentina Startups Report 2026,Cuantico VP,external_auditable_source,0.85
Oncoliq,AR,medtech,Early cancer detection via liquid biopsy analyzing microRNAs from blood samples. Round $2.84M led by Endurance28.,oncoliq.com,Cuantico VP Argentina Startups Report 2026,Cuantico VP,external_auditable_source,0.90
Vyro Bio,BR,biotech,Develops oncolytic viral therapy for childhood cancers in the central nervous system. Backed by Vesper ventures.,vyrobio.com,Cuantico VP Brazil Report 2025,Cuantico VP,external_auditable_source,0.90
InEdita Bio,BR,biotech,Applies gene editing (CRISPR) to produce crop strains resistant to disease. Developing Asian rust-resistant soybean and pest-resistant maize. Backed by Vesper Ventures.,inedita.bio,Cuantico VP Brazil Report 2025,Cuantico VP,external_auditable_source,0.90
