investor_id,investor_name,investor_type,website,country_code,geography_focus,vertical_focus,thesis,sweep_status,portfolio_url,edges_found,notes_curador
500_latam,500 LatAm,vc,,US,,,,pending,,,
amador,Amador,vc,,CR,,,,pending,,,
araucaria_venture,Araucaria Venture,vc,,CL,,,,pending,,,
cantos,Cantos,vc,,US,USA,deeptech,,pending,,,
draper_associates,Draper Associates,vc,,US,,,,pending,,,
future_ventures,Future Ventures,vc,,US,USA,"deeptech,ai",,pending,,,
onevc,OneVC,vc,,BR,"LATAM,Brazil",tech,,pending,,,
ospraie,Ospraie,vc,,US,USA,"agtech,commodities",,pending,,,
partners_for_growth,Partners for Growth,vc,,US,,,,pending,,,
sosv,SOSV,vc,,US,,,,pending,,,
svb_financial_group,SVB Financial Group,vc,,US,,,,pending,,,
salkantay_ventures,Salkantay Ventures,vc,,PE,"LATAM,Peru","agtech,foodtech",,pending,,,
third_sphere,Third Sphere,vc,,US,USA,"climatetech,sustainability",,pending,,,
valor_capital_group,Valor Capital Group,vc,https://www.valorcapitalgroup.com,US,BR;US,agtech;healthtech;climate;fintech,US-Brazil VC focused on growth-stage technology companies across Brazil including climate AI fintech healthcare and agtech. Manages Valor Growth Americas III backed by IDB Invest ($30M).,pending,,,
creative_ventures,creative ventures,vc,,US,,,,pending,,,
kaete_investimentos,Kaete Investimentos,impact_fund,https://kaete.com.br,BR,BR;LATAM,bioeconomy;biodiversity;climate;sustainable-ag,Brazilian impact investor managing the Amazonia ReGenerate Accelerator and Investment Trust. Focuses on Amazon bioeconomy biodiversity-positive ventures and regenerative agriculture. Backed by IDB Lab and IDB Natural Capital Lab.,pending,,,
positive_ventures,Positive Ventures,impact_fund,,ES,Global,"impact,sustainability",,pending,,,
brinc,Brinc,accelerator,,HK,Global,"iot,hardware,sustainability",,pending,,,
draper_university,Draper University,accelerator,,US,,,,pending,,,
bago,Bago,corporate_vc,,AR,,,,pending,,,
idb_lab,IDB Lab,multilateral,https://bidlab.org,US,LATAM,agtech;foodtech;biotech;climate;healthtech,IDB Lab is the innovation lab of the Inter-American Development Bank Group backing high-impact entrepreneurship in Latin America through direct investments LP commitments and ecosystem support. LP in GridX SP Ventures The Yield Lab Amador 500 LatAm Kaete and others.,pending,,,
idb_natural_capital_lab,IDB Natural Capital Lab,multilateral,,US,LATAM,,,pending,,,
conservation_international,conservation international,multilateral,,US,,,,pending,,,
jica,JICA,development_finance,https://www.jica.go.jp,JP,"LATAM,Japan",LATAM,Japan International Cooperation Agency supports agricultural development and innovation in Latin America through LP commitments to regional VC funds. Named LP partner in SP Ventures AgVentures III alongside IDB Lab.,pending,,,
duhau,Duhau,investor,,,,,,pending,,,
flia_duhau,Flia. Duhau,investor,,,,,,pending,,,
fundacion_para_el_progreso_de_la_medicina,Fundacion para el progreso de la medicina,investor,,,,,,pending,,,
genesis_consortium,Genesis Consortium,investor,,,,,,pending,,,
grupo_peruanos,Grupo Peruanos,investor,,,,,,pending,,,
happiness,Happiness,investor,,,,,,pending,,,
innogen_capital,Innogen Capital,investor,,,,,,pending,,,
invariantes_fund,Invariantes Fund,investor,,,,,,pending,,,
jeff_wilke,Jeff Wilke,investor,,,,,,pending,,,
KEM Ventures,KEM Ventures,investor,,,,,,pending,,,
kwb,KWB,investor,,,,,,pending,,,
kairetsu_angels,Kairetsu Angels,investor,,,,,,pending,,,
lavca,LAVCA,association,,US,LATAM,,,pending,,,
lartirigoyen,Lartirigoyen,investor,,,,,,pending,,,
losa_group,Losa Group,investor,,,,,,pending,,,
managro,ManAgro,investor,,,,,,pending,,,
paul_mcewan,Paul McEwan,investor,,,,,,pending,,,
peruanos,Peruanos,investor,,,,,,pending,,,
photon_fund,Photon Fund,investor,,,,,,pending,,,
sillicon_catalyst,Sillicon Catalyst,investor,,,,,,pending,,,
thrive,Thrive,investor,,,,,,pending,,,
vectr,VECTR,investor,,,,,,pending,,,
vx_fund,VX Fund,investor,,,,,,pending,,,
varana_capital,Varana Capital,investor,,,,,,pending,,,
veronorte,Veronorte,investor,,,,,,pending,,,
other_angels,other angels,investor,,,,,,pending,,,
other_small_investors,other small investors,investor,,,,,,pending,,,
