startup_id,name,description,tech_focus,industry_sector,founded_year,country,biotech_signal,confidence,notes
aeroscan_businessproductivity_software,Aeroscan,Aeroscan operates intelligent drones for security and agricultural monitoring. Uses multispectral and thermal imaging with AI to detect crop health issues like nutrient deficiencies and pest infestations. Provides precision spraying and field mapping services leveraging drone technology and AI analysis.,Drone technology; AI; Multispectral imaging; Thermal imaging; Crop monitoring,Agtech,2010,Brazil,YES,0.85,Clear agricultural application using advanced imaging and AI for crop monitoring
agro_ai,Agro AI,Agro AI is part of the broader Latin American AI-driven agriculture movement. Applies artificial intelligence and machine learning to agricultural data for forecasting harvests and optimizing resource use. Integrates sensor data and satellite imagery for precision farming guidance.,AI; Machine learning; Predictive analytics; Precision agriculture,Agtech,2018,Latin America,YES,0.65,Confirmed as agtech AI platform but limited specific company details
aguamarina_biomineria,Aguamarina,Aguamarina uses biotechnological solutions including bacteria-based bio-lixiviation for sustainable mining. Develops biomineralization materials for water conservation and dust control. Uses natural biological agents to control bio-corrosion in industrial equipment. Clients include major mining companies.,Biotechnology; Bio-lixiviation; Biomineralization; Biocorrosion control,Materials/Mining,2004,Chile,YES,0.85,Strong biotech signal through biological processes and bacterial approaches to mining sustainability
audsat,Audsat,Audsat provides Brazilian territory monitoring using satellite imagery and geospatial analysis. Focuses on detecting environmental changes and preventing illicit activities in remote regions with change detection capabilities and precision monitoring.,Satellite imagery; Geospatial analysis; Change detection,Agtech/Environmental,2015,Brazil,QUESTIONABLE,0.45,Satellite monitoring is tech-driven rather than biotech; environmental application but not biologically focused
beegol,Beegol,Beegol is an AI/ML platform that monitors and improves broadband and WiFi quality of experience for internet service providers. Uses machine learning to detect network problems in real-time through embedded software agents in modems. Founded in US with R&D in Brazil.,Machine learning; Network diagnostics; Real-time monitoring; AI analytics,Software/Telecom,2020,USA/Brazil,NO,0.75,Clear non-biotech signal; pure software/telecom infrastructure company
bioxiplas,Bioxiplas,Bioxiplas manufactures biodegradable disposable uniforms and protective equipment made from food-grade biodegradable materials. Supplies uniforms to aquaculture food processing dairy and poultry industries. Products are BPI & ASTM certified for biodegradability.,Biodegradable materials; Biopolymers; Food-grade plastics,Materials,2011,Chile,YES,0.75,Biotech signal through biopolymer/biodegradable material innovation though not strictly biological
brasil_ozonio,Brasil Ozônio,Brasil Ozônio provides sustainable ozone treatment systems for water treatment food sanitization and emissions mitigation. Uses high-concentration ozone generation with over 20 years experience in custom solutions without chemical inputs or waste.,Ozone technology; Water treatment; Oxidation; Environmental remediation,Environmental/Water Treatment,1995,Brazil,QUESTIONABLE,0.70,Ozone treatment is chemical/physical rather than biotech; environmental application but not biologically driven
carenet_longevity,Carenet Longevity,Carenet Longevity provides IoMT (Internet of Medical Things) solutions for healthcare digital transformation. Integrates patient data with IoMT connectivity platforms and orchestrates telemetry data. Their ORCHESTRA platform connects medical device data with hospital electronic health records for ICU and critical care.,IoMT; Medical device integration; Telemedicine; Healthcare interoperability,Medtech,2013,Brazil,YES,0.80,Medical technology focus with IoT/IoMT applications in healthcare delivery and patient monitoring
fix_it,FixIt,FixIt 3D prints custom orthopedic prosthetics and immobilization devices from thermomoldable biodegradable plastic. Creates lightweight waterproof breathable casts in 64 colors as sustainable alternatives to traditional plaster. Targets orthopedic neurological and rheumatological applications.,3D printing; Biodegradable materials; Custom orthopedics; Thermoplastics,Medtech,2015,Brazil,YES,0.80,Medtech with sustainable materials innovation for orthopedic and rehabilitation applications
gauss_control,Gauss Control,Gauss Control provides business intelligence and AI-powered risk prediction for traffic and logistics operations. Uses predictive models to reduce accidents by 50%+ through analysis of telemetry data. Offers modules for risk analysis real-time operator assessment and fleet logistics optimization.,AI; Predictive modeling; Real-time analytics; Fleet optimization,Software/Logistics,2015,Chile,NO,0.70,Non-biotech; pure software/business intelligence company focused on operational safety and logistics
goquantum,GoQuantum,GoQuantum develops post-quantum cryptographic security solutions including QRNG-integrated eSIM technology for secure telecommunications. Based in Santiago Chile and founded 2018 it serves banking smart cities industrial IoT 4G and 5G security markets.,Post-quantum cryptography; Quantum security; QRNG; eSIM technology,Software/Cybersecurity,2018,Chile,NO,0.75,Non-biotech; pure cybersecurity/quantum technology company with no biological component
goquantum_2,GoQuantum (Duplicate),Appears to be a duplicate entry for GoQuantum—post-quantum security hardware and cryptography solutions for telecommunications.,Post-quantum cryptography; Quantum security; Hardware security,Software/Cybersecurity,2018,Chile,NO,0.50,Duplicate of GoQuantum; non-biotech cybersecurity
inti_tech,Inti-Tech,Inti-Tech develops autonomous robotic devices for high-frequency panel cleaning with remote operation capabilities. Primarily focused on PV (solar panel) cleaning rather than dry cleaning of garments. Uses water-free automated cleaning technology.,Robotics; PV cleaning; Autonomous systems; Remote operation,Clean Energy/Solar,2016,Chile,NO,0.60,Non-biotech; robotics/clean energy infrastructure company with no biological focus
iov_labs,IOV Labs,IOV Labs builds blockchain platforms for financial applications particularly in emerging markets. Developed RSK smart contract platform secured by Bitcoin. Recently launched Gasnet for Argentina's natural gas ecosystem and acquired Taringa social network for blockchain integration.,Blockchain; Smart contracts; Distributed ledger; Cryptocurrency,Fintech/Blockchain,2015,Argentina,NO,0.80,Non-biotech; pure fintech/blockchain company with no biological component
mabloc,Mabloc,Mabloc leverages generative AI and the BRAID platform to revolutionize antibody discovery for therapeutics. Processes billions of antibody sequences to isolate broadly reactive candidates targeting multiple diseases. Recently partnered with Instituto Butantan for Yellow Fever antibody therapy development.,AI; Antibody discovery; Generative AI; Computational biology,Therapeutics/Diagnostics,2019,Brazil,YES,0.90,Strong biotech signal; AI-enabled antibody discovery for vaccine and therapeutic development
nanox_industrial_chemicals,Nanox,Nanox develops nanostructure materials using silver nanoparticles with bactericidal fungicidal and antimicrobial properties. Serves packaging flooring textiles and industrial applications with 30+ products and 200+ clients globally. Founded in Brazil with 7 patents.,Nanotechnology; Silver nanoparticles; Antimicrobial materials; Inorganic biocides,Materials,2004,Brazil,YES,0.80,Biotech signal through antimicrobial nanostructure applications though chemistry-focused
nuveo,Nuveo,Nuveo is an AI/ML platform for robotic process automation (RPA) built on scalable cloud-based architecture. Uses Python backend for agile automation and includes Ultra OCR for document processing. Automates information extraction from websites databases and business systems.,AI; Machine learning; RPA; OCR; Process automation,Software/Automation,2016,Brazil,NO,0.70,Non-biotech; software-focused RPA/automation platform with no biological application
partanna,Partanna,Partanna develops carbon-negative building materials that absorb CO2 from the atmosphere during production and curing. Uses an ambient-temperature blending process with recycled ingredients creating compounds that sequester carbon like natural trees. First verified carbon-absorbing building material to generate carbon credits.,Carbon capture; Green materials; Sustainable construction; Concrete innovation,Materials,2021,USA,QUESTIONABLE,0.75,Environmental/materials focus with some green chemistry but not primarily biotech
popai,Popai,Popai Snack produces healthy plant-based vegan snacks from natural ingredients without preservatives or additives. Uses AI for product development and flavor optimization. Grew 80% annually offering granola nut butter and cassava chips for conscious consumers.,AI; Food innovation; Plant-based nutrition; Product development,Food Tech,2019,Brazil,QUESTIONABLE,0.60,Food innovation company; AI-driven but not traditional biotech; functional food/nutrition focus
