"workstream","startup_id","startup_name","scope_decision","current_theme","quality_band","review_status","source_type","source_url","summary_words","data_quality_score_10","action","reason","effort","expected_impact","current_summary"
"semantic_conflict_batch","notfossil","NotFossil","include","bioremediation and microbial resource recovery","high","reviewed","official_portfolio_profile","https://sf500.com.ar/","50","8.5","enrich_or_reclassify_semantic_fit","Semantic confidence low with margin 1.2; current theme: therapeutics and regenerative bio","medium","medium","NotFossil develops biofilters that use proprietary microorganisms to degrade hydrocarbons. The company is a clear biological remediation case: it applies microbial metabolism to reduce fossil contamination and recover environmental function. It belongs inside BIO VC LATAM as a bioremediation and planetary-boundary startup, not as ag intelligence or generic climate software."
"semantic_conflict_batch","heartbest","Heartbest","include","food transition ingredients and proteins","high","reviewed","official_portfolio_profile","https://theyieldlablatam.com/companies/heartbest/","59","8.5","enrich_or_reclassify_semantic_fit","Semantic confidence low with margin 0.5; current theme: agri intelligence and traceable markets","medium","medium","Heartbest is a Mexican foodtech company producing plant-based dairy alternatives such as cheese, milk and spreads. Its products are built directly from plants to offer healthier and more sustainable alternatives to animal dairy systems. It belongs inside BIO VC LATAM as food transition infrastructure: not deep biotech, but a material shift from livestock-based dairy to biobased consumer food systems."
"semantic_conflict_batch","agroforte","Agroforte","include","traceability and tokenized resource infrastructure","high","reviewed","official_portfolio_profile","https://theyieldlablatam.com/companies/agroforte/","61","8.5","enrich_or_reclassify_semantic_fit","Semantic confidence low with margin 1.2; current theme: agri intelligence and traceable markets","medium","medium","Brazilian rural-finance platform building a digital bank for small and medium poultry, pork and dairy producers. It uses historical production data from integrated animal-protein systems to manage credit risk and finance infrastructure and operational improvements. It remains an edge include because the mechanism is fintech, but the use case is tightly coupled to animal health, welfare, supply-chain resilience and livestock production."
"semantic_conflict_batch","inprenha","Inprenha","include","ag biologicals and crop resilience","medium","reviewed","official_portfolio_profile","https://www.spventures.com.br/","60","8","enrich_or_reclassify_semantic_fit","Semantic confidence low with margin 3.3; current theme: agri intelligence and traceable markets","medium","medium","Brazilian animal-reproduction biotechnology company developing a protein-based technology intended to increase pregnancy rates in mammals. The available source is still a fund portfolio signal rather than a detailed company website, but the mechanism and market are clearly biological: fertility, livestock reproduction and animal productivity. It belongs inside BIO VC LATAM as animal biotech for reproductive efficiency in living production systems."
"semantic_conflict_batch","calice","Calice","include","precision agriculture intelligence","medium","reviewed","official_website","https://calice.ai/eng/","60","8","enrich_or_reclassify_semantic_fit","Semantic confidence low with margin 0.2; current theme: grain traceability and producer infrastructure","medium","medium","Calice is an Argentine agtech platform that models interactions between genotype, environment and management to run virtual agronomic trials and predict product performance. Its environmental fingerprints and simulation tools help seed, biological-input and fertilizer companies place products in the right field conditions faster and with fewer physical trials. It belongs inside BIO VC LATAM as precision-ag and ag-input intelligence infrastructure."
"semantic_conflict_batch","logshare","LogShare","include","low-emission logistics and supply-chain efficiency","high","reviewed","official_website","https://www.logshare.com.br/embarcadores?lang=en","58","8.5","enrich_or_reclassify_semantic_fit","Semantic confidence low with margin 1.2; current theme: ag biologicals and crop resilience","medium","medium","LogShare is a Brazilian collaborative logistics platform that matches freight capacity, return routes and shipper demand to reduce empty trips, transport costs and avoidable emissions. Its system adds monitoring, traceability and CO2 analytics to cargo operations. It is a border case for BIO VC LATAM, included as planetary-boundary infrastructure for material supply-chain efficiency rather than as bio-based technology."
"semantic_conflict_batch","seedmatriz","SeedMatriz","include","seed technology and crop establishment","high","reviewed","official_website","https://seedmatriz.com/en/","49","9","enrich_or_reclassify_semantic_fit","Semantic confidence low with margin 2.2; current theme: grain traceability and producer infrastructure","medium","medium","SeedMatriz is an Argentine seed-technology company developing seed encapsulation and real-time agronomy tools to improve seed uniformity, nutrition, protection and field performance. Its approach intervenes directly in crop establishment by combining seed treatment, agronomic data and performance-enhancing coatings. It belongs inside BIO VC LATAM as seed-system and crop-resilience infrastructure."
"semantic_conflict_batch","horus_aeronaves","Horus Aeronaves","include","drone-enabled remote sensing and field intelligence","medium","reviewed","secondary_public_profile","https://www.lavca.org/sp-ventures-invests-r3m-in-horus-aeronaves-em-portugues/","55","8","enrich_or_reclassify_semantic_fit","Semantic confidence low with margin 2.3; current theme: food ingredients and biofactories","medium","medium","Horus Aeronaves is a Brazilian drone and aerial-mapping company developing UAVs, sensors and image-processing products for agriculture. Public investment coverage describes its focus on mapping farmland, generating agronomic imagery and expanding agriculture-oriented products. It belongs inside BIO VC LATAM as precision-ag remote-sensing infrastructure for crop monitoring and resource-efficient field decisions, not food ingredients or biomanufacturing."
"semantic_conflict_batch","agrojusto","Agrojusto","include","agri-market and traceability infrastructure","high","reviewed","official_website","https://agrojustoinc.com/","55","9","enrich_or_reclassify_semantic_fit","Semantic confidence low with margin 3.1; current theme: agri intelligence and traceable markets","medium","medium","Agrojusto is an Argentine digital infrastructure platform for small producers, local food systems and territorial value chains. Its tools support traceability, producer digitization, market access and coordination between public agencies, buyers and food producers. It belongs inside BIO VC LATAM as food-system market infrastructure directly coupled to material agricultural supply chains, not as generic software."
"semantic_conflict_batch","splight","Splight","include","AI grid optimization and renewable integration","high","reviewed","official_website","https://content.splight-ai.com/blog/ai-powered-grids-the-future-of-efficient-renewable-energy","47","9","enrich_or_reclassify_semantic_fit","Semantic confidence low with margin 0.6; current theme: ag biologicals and crop resilience","medium","medium","Splight is a climate-tech company using AI to optimize electric grids, renewable-energy forecasting, DERMS, congestion management and grid resilience. It is outside narrow bio-based technology, but fits the planetary-boundary perimeter as clean-energy infrastructure. It should cluster with climate and resource intelligence, not agri intelligence or traceable markets."
