"startup_id","startup_name","macro_theme","emergent_theme","thesis_fit","scope_decision","scope_reason","scope_source","structured_sector","confidence"
"tech","@Tech","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_portfolio_signal_biocentric_material_system","yieldlab_portfolio_official","Digital Economy","0.78"
"123seguro","123Seguro","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","insurance_marketplace_no_material_bio_or_planetary_boundary_signal","manual_credibility_cleanup_2026_05_08","Digital Economy","0.88"
"abastra","AbAstra","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","abastra_official_site","Bio·Industry","0.97"
"aegro","Aegro","precision agriculture and resource intelligence","farm management and field intelligence","core","include","bio_centric_farm_management_and_resource_efficiency","external_atlas_official_site_validated","","0.78"
"aerialoop","Aerialoop","frontier hardware and infrastructure systems","drone logistics and aerial surveillance systems","core","exclude","official_site_signal_non_thesis_aerospace_infrastructure","aerialoop_official_site","Other / Unclassified","0.88"
"ages","AGES","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","official_portfolio_signal_bio_based_or_biocentric","kptl_portfolio_official","","0.9"
"agree","Agree","climate, energy and resource systems","traceability and tokenized resource infrastructure","core","include","official_website_signal_material_ag_system","agree_official_site","Digital Economy","0.86"
"agricapital","Agricapital","climate, energy and resource systems","traceability and tokenized resource infrastructure","core","include","official_website_signal_material_ag_system","agricapital_official_site","","0.82"
"agrired","Agrired","precision agriculture and resource intelligence","ag-input market infrastructure","core","include","official_site_signal_material_ag_system","agrired_official_site","Digital Economy","0.84"
"agrivalle","Agrivalle","ag biologicals and crop resilience","bioinputs and biostimulants","core","include","core_bio_ag_biologicals_and_bioinputs","brasil_bio_import_external_profile","","0.76"
"agroadvance","Agroadvance","peripheral or non-core digital ventures","ag education outside bio thesis","peripheral","exclude","ag_education_and_capability_platform_without_specific_bio_material_or_planetary_boundary_mechanism","official_website_review","","0.9"
"agroforte","Agroforte","climate, energy and resource systems","traceability and tokenized resource infrastructure","core","include","official_portfolio_signal_material_ag_system","yieldlab_portfolio_official","Digital Economy","0.68"
"agrofy","Agrofy","climate, energy and resource systems","agri-marketplace and input commerce infrastructure","core","include","bio_centric_ag_market_infrastructure","external_atlas_official_site_validated","","0.72"
"agrojusto","Agrojusto","precision agriculture and resource intelligence","agri-market and traceability infrastructure","core","include","official_site_signal_material_ag_system","agrojusto_official_site","Digital Economy","0.9"
"agrolend","Agrolend","precision agriculture and resource intelligence","agricultural credit and risk intelligence","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","","0.78"
"agrosmart","Agrosmart","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_website_signal_material_ag_system","agrosmart_official_site","","0.9"
"agrotoken","Agrotoken","climate, energy and resource systems","traceability and tokenized resource infrastructure","core","include","official_site_signal_material_ag_system","agrotoken_official_site","Digital Economy","0.86"
"agrotools","AGROTOOLS","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_website_signal_material_ag_system","agrotools_official_site","","0.88"
"agrourbana","Agrourbana","food biotech and novel ingredients","food transition ingredients and proteins","core","include","official_portfolio_signal_bio_based_or_biocentric","chileglobalventures_portfolio_official","","0.9"
"algaebio","algaebio+","food biotech and novel ingredients","microalgae functional ingredients","core","include","official_site_signal_bio_based_or_biocentric","algaebio_official_site","Other / Unclassified","0.93"
"algalife","Algalife","biomanufacturing and bioindustrial platforms","microalgae bioprocess platforms","core","include","core_bio_microalgae_bioprocessing","gridx_official_portfolio","","0.84"
"alkemio","Alkemio","climate, energy and resource systems","critical materials and resource systems","core","include","official_website_signal_climate_materiality_and_resource_transition","alkemio_official_site","Other / Unclassified","0.94"
"aloi","Aloi","peripheral or non-core digital ventures","tax and enterprise compliance software","peripheral","exclude","full_digital_tax_software_no_bio_materiality_signal","thesis_exclusion_clear_drop","Digital Economy","0.86"
"altscore","Altscore","peripheral or non-core digital ventures","embedded finance and credit infrastructure","peripheral","exclude","full_digital_fintech_no_bio_materiality_signal","official_site_and_company_blog","Digital Economy","0.93"
"alytix","Alytix","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_website_signal_bio_based_or_biocentric","alytix_official_site","Other / Unclassified","0.91"
"amaro","Amaro","peripheral or non-core digital ventures","digital commerce and consumer platforms","peripheral","exclude","fashion_ecommerce_no_material_bio_or_regenerative_signal","manual_credibility_cleanup_2026_05_08","Digital Economy","0.9"
"amplify-dynamics","Amplify Dynamics","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","core","include","official_website_signal_bio_based_or_biocentric","amplify_dynamics_official_site","","0.94"
"antarka","Antarka","biobased chemistry and advanced materials","biobased chemistry and materials","core","include","external_source_signal_bio_based_extremophile_biotech_latam","sosv_profile_and_startupslatam","Digital Economy","0.88"
"apasomics","Apasomics","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_website_signal_bio_based_or_biocentric","official_website","Digital Economy","0.9"
"apexzymes","APEXzymes","biomanufacturing and bioindustrial platforms","industrial biotech and molecular tools","core","include","official_site_signal_bio_based_or_biocentric","apexzymes_official_site","Other / Unclassified","0.93"
"aplife_biotech","Aplife Biotech","computational biology and scientific software","computational biology and life-science software","core","include","official_site_signal_bio_based_or_biocentric","aplife_official_site","Other / Unclassified","0.9"
"aquit","Aquit","ag biologicals and crop resilience","ag biologicals and animal resilience","core","include","external_source_signal_bio_based_aquaculture_animal_health_latam","f6s_profile_and_cbinsights","Digital Economy","0.88"
"arado","Arado","climate, energy and resource systems","fresh food supply-chain infrastructure","core","include","bio_centric_food_supply_chain_efficiency","external_atlas_official_site_validated","","0.76"
"arakion","Arakion","ag biologicals and crop resilience","ag biologicals and crop resilience","core","include","official_portfolio_signal_bio_based_or_biocentric","gridx_portfolio_official","Other / Unclassified","0.86"
"arcomed","Arcomed","diagnostics and medtech","health diagnostics and medtech","core","include","official_website_signal_medtech_clinical_system","arcomed_official_site","Human Health","0.66"
"arcus","Arcus","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","arcus_official_site","Other / Unclassified","0.92"
"ardan","Ardan","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_website_signal_bio_based_or_biocentric","ardan_pharma_official_site","Digital Economy","0.92"
"argentag","ArgenTAG","computational biology and scientific software","computational biology and life-science software","core","include","official_website_signal_life_science_tools","argentag_official_product_page","Other / Unclassified","0.94"
"arqlite","Arqlite","climate, energy and resource systems","circular construction materials from plastic waste","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_07_2026_05_08","Other / Unclassified","0.76"
"asclepii","Asclepii","therapeutics and regenerative medicine","regenerative wound care and tissue repair","core","include","source_backed_material_bio_or_planetary_signal","semantic_text_batch_06_2026_05_08","","0.9"
"auravant","Auravant","precision agriculture and resource intelligence","precision agriculture intelligence","core","include","official_website_signal_material_ag_system","auravant_official_site","Digital Economy","0.92"
"autem-medical","Autem Medical","diagnostics and medtech","diagnostics and medtech","core","include","official_website_signal_therapeutic_medtech","autem_therapeutics_official_site","","0.86"
"auth0","Auth0","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","auth0_official_site","Other / Unclassified","0.92"
"avatar_medtech","AVaTAR MedTech","diagnostics and medtech","diagnostics and medtech","core","include","official_website_signal_tissue_based_medtech","avatar_medtech_official_site","Human Health","0.9"
"axenya","Axenya","peripheral or non-core digital ventures","digital coordination and market infrastructure","peripheral","exclude","full_digital_no_materiality_signal","axenya_official_site","Other / Unclassified","0.84"
"ayuvant","Ayuvant","therapeutics and regenerative medicine","therapeutic and regenerative biology","core","include","official_site_signal_bio_based_or_biocentric","ayuvant_official_site","Other / Unclassified","0.87"
