investment_id,investor_id,startup_id,confidence_score,source
UNDEREXPLORED_salkantay_ventures_soillab-peru-pe,salkantay_ventures,soillab-peru-pe,0.85,Regional research: salkantay_ventures (Peru agtech)
UNDEREXPLORED_carao_ventures_microalgas-peru-pe,carao_ventures,microalgas-peru-pe,0.8,Regional research: carao_ventures (Peru food biotech)
UNDEREXPLORED_idb_lab_phage-solutions-peru-pe,idb_lab,phage-solutions-peru-pe,0.85,Regional research: idb_lab (Peru therapeutics)
UNDEREXPLORED_idb_lab_regenerate_bioamazonia-pe,idb_lab_regenerate,bioamazonia-pe,0.85,Regional research: idb_lab_regenerate (Peru biodiversity)
UNDEREXPLORED_the_yield_lab_latam_aquavida-biotech-pe,the_yield_lab_latam,aquavida-biotech-pe,0.8,Regional research: the_yield_lab_latam (Peru aquaculture)
UNDEREXPLORED_carao_ventures_nutritech-andina-pe,carao_ventures,nutritech-andina-pe,0.8,Regional research: carao_ventures (Peru food)
UNDEREXPLORED_idb_lab_tacsibio-pe,idb_lab,tacsibio-pe,0.8,Regional research: idb_lab (Peru ethnobotany)
UNDEREXPLORED_salkantay_ventures_cultivar-genomics-pe,salkantay_ventures,cultivar-genomics-pe,0.85,Regional research: salkantay_ventures (Peru crop genomics)
UNDEREXPLORED_the_yield_lab_latam_bioinnovate-arequipa-pe,the_yield_lab_latam,bioinnovate-arequipa-pe,0.8,Regional research: the_yield_lab_latam (Peru agrifood)
UNDEREXPLORED_idb_lab_agro360-do,idb_lab,agro360-do,0.85,Regional research: idb_lab (DO agtech)
UNDEREXPLORED_idb_lab_agricultic-do,idb_lab,agricultic-do,0.8,Regional research: idb_lab (DO agtech)
UNDEREXPLORED_lavca_kingo-energy-gt,lavca,kingo-energy-gt,0.95,Regional research: lavca (GT cleantech)
UNDEREXPLORED_afd_france_kingo-energy-gt,afd_france,kingo-energy-gt,0.9,Regional research: afd_france (GT solar energy)
