startup_id,name,description,tech_focus,industry_sector,maturity,confidence,source_found,notes
aerotech-uy,Aerotech UY,Minimal web presence - not found in direct searches,unclear,unclear,Unknown,0.3,Web search - no direct results,Generic name pattern suggests early stage; possible misclassification
afstech-uy,AFS Tech UY,Minimal web presence - not found in targeted searches,unclear,unclear,Unknown,0.3,Web search - no direct results,No results in Uruguay startup ecosystem databases
agro-tech-uy,Agro-Tech UY,Agricultural technology startup operating in Uruguay's agtech ecosystem,Agtech; Agriculture; Digitalization; Sustainability,Agtech,Startup,0.4,Web search - Uruguay agtech ecosystem,Part of Uruguay's emerging agtech hub but specific company details minimal
agrobase-uy,AgroBase UY,Minimal web presence - not found in targeted searches,unclear,Agtech,Unknown,0.3,Web search - no direct results,Search results showed general agtech ecosystem but not this company specifically
agroteck-uy,AgrotechUY,Uses blockchain for livestock traceability; received $4M from Sequoia Capital,Blockchain; Livestock Traceability; Digital Agriculture; Agtech,Agtech,Scale-up,0.7,Web search - agtech startup results,Confirmed startup with significant funding; operating in agricultural technology sector
biobits-uy,BioBits UY,Minimal web presence - not found in searches,unclear,Biotech,Unknown,0.3,Web search - no direct results,Biotech-related ID but no matching search results
biodive-uy,BioDive UY,Minimal web presence - not found in searches,unclear,Biotech,Unknown,0.3,Web search - no direct results,Name suggests biodiversity focus but no web presence found
biofoods-uy,BioFoods UY,Minimal web presence - not found in searches,unclear,Food Systems,Unknown,0.3,Web search - no direct results,Name suggests food biotech but no verification found
bioinvest-uy,BioInvest UY,Minimal web presence - not found in searches,unclear,Biotech,Unknown,0.3,Web search - no direct results,Generic name; may be investment fund rather than operating startup
biolac-uy,BioLac UY,Minimal web presence - not found in searches,unclear,Biotech,Unknown,0.3,Web search - no direct results,Likely dairy/lactose biotech but unverified
biomass-uy,BiomassUY,Minimal web presence - search returned only general biomass energy sector info,Biomass; Energy; Biofuels,Energy,Unknown,0.3,Web search - biomass sector results,General sector results but no company match; may be in bioenergy rather than biotech
biopure-uy,BioPure UY,Minimal web presence - not found in searches,unclear,Biotech,Unknown,0.3,Web search - no direct results,No web presence identified
bioseeds-uy,BioSeeds UY,Minimal web presence - not found in searches,unclear,Agtech,Unknown,0.3,Web search - no direct results,Name suggests agricultural seeds/genetics but unverified
biostream-uy,BioStream UY,Minimal web presence - not found in searches,unclear,Biotech,Unknown,0.3,Web search - no direct results,No results found despite targeted search
biotech-innovation-uy,Biotech Innovation UY,Part of Uruguay's vibrant biotech startup ecosystem with 30+ startups focused on human and animal health,Biotechnology; AI; Innovation; Health,Biotech Platform,Startup,0.4,Web search - Uruguay biotech ecosystem,General reference to broader ecosystem; specific company details limited
biotech-labs-uy,Biotech Labs UY,Part of Uruguay's biotech startup ecosystem; may be associated with Institut Pasteur LAB+ company builder,Biotechnology; Research; Innovation,Biotech,Unknown,0.4,Web search - Institut Pasteur LAB+ results,Likely connected to research institutions but no dedicated company info
biotech-solutions-uy,Biotech Solutions UY,Part of Uruguay's biotech startup ecosystem with 30+ startups focused on human and animal health,Biotechnology; Solutions; Health,Biotech,Startup,0.4,Web search - Uruguay biotech ecosystem,Generic name; part of broader ecosystem but limited specifics
biotense-uy,BioTense UY,Minimal web presence - not found in searches,unclear,Biotech,Unknown,0.3,Web search - no direct results,No results in any targeted searches
biott-uy,BiOTT UY,Mentioned in Uruguay startup directories; likely biotech-related,Biotechnology; unclear focus,Biotech,Unknown,0.35,Web search - startup directory references,Generic reference in startup directories without specifics
biotrans-uy,BioTrans UY,Minimal web presence - not found in searches,unclear,Biotech,Unknown,0.3,Web search - no direct results,No dedicated company information found
carbofood-uy,CarboFood UY,Minimal web presence - not found in searches,unclear,Food Systems,Unknown,0.3,Web search - no direct results,Name suggests carbon/carbohydrate food focus but unverified
ecotech-uy,Ecotech,Environmental testing and analysis laboratory; first accredited testing lab in Uruguay; analyzes liquid and gaseous emissions; characterizes solid waste,Environmental Testing; Air Quality; Water Quality; Soil Analysis; Chemical Analysis,Materials/Environmental,Established,0.75,Web search + LinkedIn; ecotech.com.uy,Registered as laboratory; won "Commitment to Management" award Gold category 2017; serves industrial and government clients
genotech-uy,GenoTech UY,Minimal web presence - not found in searches,Genetic Technology; unclear,Biotech,Unknown,0.3,Web search - no direct results,Name suggests genomics/genetic focus but no web presence found
greentech-uy,Uruguay GreenTech,Open innovation laboratory launching 2026 partnering ANII and University of the Republic; focuses on green technologies (batteries/electric mobility; photovoltaic solar energy),Green Energy; Batteries; Electric Mobility; Solar Energy; Sustainable Technology,Energy/Materials,Startup/Initiative,0.8,Web search + ANII news; greentech.com.uy,Government-backed open innovation lab; collaborative platform for researchers and companies; two research platforms in development
healthtech-uy,HealthTech UY,Part of Uruguay's healthtech ecosystem with 63 startups; appears in healthtech startup directories,Healthcare Technology; Digital Health; Health Solutions,Healthtech,Unknown,0.4,Web search - healthtech directories,Part of documented healthtech ecosystem but limited specific company details
metabix-uy,metaBIX Biotech,AI-powered system analyzing air samples from pig and poultry farms to detect emerging pathogens and predict disease outbreaks; uses deep-tech combining biotech and AI,Artificial Intelligence; Pathogen Detection; Air Sample Analysis; Zoonotic Disease Prevention; Farm Analytics; Biosurveillance,Agtech/Medtech,Scale-up,0.9,Multiple sources: Uruguay XXI; LatamList; Crunchbase; LinkedIn; tribu.la,"Founded 2022; raised $1M+ (AIR Capital, Danta Fund, The Board Perú, Angel Hub); Sequoia-backed; clients in Brazil, India, US; represented Uruguay at Startup World Cup 2025; expanding to Mexico/US"
vitatech-uy,VitaTech UY,Minimal web presence - not found in searches,unclear,Biotech/Healthtech,Unknown,0.3,Web search - no direct results,No dedicated company information found despite targeted search
