entity_id,canonical_name,country,scope_decision,scope_status,bio_theme,tech_depth,summary_short,curator_action,notes
logshare,LogShare,BR,exclude,confirmed,Nature & Ecosystem Tech,enabler,"LogShare is a Brazilian collaborative logistics platform that matches freight capacity, return routes and shipper demand to reduce empty trips, transport costs ",,
mabloc,Mabloc,BR,exclude,confirmed,Therapeutics,deep,"Mabloc develops an AI-driven antibody discovery platform for therapeutic development. It is bio-relevant, but current official evidence points to a Washington, ",,
solubio-br,SoluBio,BR,exclude,pending_review,Bioinputs & Crop Resilience,deep,Develops biological inputs including biofertilizers and biopesticides for sustainable Brazilian agriculture. Impacted farmer operations.,,
stamm-ar,Stamm,AR,exclude,pending_review,Biomanufacturing & Platform Technologies,deep,Develops desk-sized laminar flow bioreactors using microfluidic circuits for decentralized biotechnology processes. More efficient cell growth at fraction of th,,
avedian-ar,Avedian,AR,review,pending_review,Diagnostics & Health Access,deep,Health records management platform with predictive AI serving hospitals insurance and laboratories (Hosdatia Insuria Pharmia verticals). $1M Pre-Series A.,,
examedi-cl,Examedi,CL,review,pending_review,Diagnostics & Health Access,deep,Medical diagnostics platform offering at-home lab testing. Raised Series A.,,
movet-co,Movet,CO,review,pending_review,Bioinputs & Crop Resilience,applied,Network of state-of-the-art veterinary clinics offering standardized medical protocols. Series A $5M October 2024. 150+ professionals.,,
alice-br,Alice,BR,review,pending_review,,deep,Digital health platform offering employer-sponsored health plans combining technology and primary care. Series C $216M.,,
arvo-br,Arvo,BR,review,pending_review,,deep,AI-powered platform securing financial transactions within healthcare: medical billing insurance claims and fraud detection.,,
beep-saude-br,Beep Saúde,BR,review,pending_review,,deep,Home healthcare services platform offering at-home medical tests lab results and nursing care across Brazil.,,
bionexo-br,Bionexo,BR,review,pending_review,,deep,B2B health procurement marketplace connecting hospitals clinics and distributors across Brazil. Founded 2000. Private equity backed.,,
bloomcare-br,BloomCare,BR,review,pending_review,,deep,Digital care platform for women's and family medicine automating maternal health tracking appointments and patient records.,,
brasil_ozônio,Brasil Ozônio,BR,review,pending_curation,,unclassified,,,
cayena-br,Cayena,BR,review,pending_review,,deep,B2B food supplier platform connecting restaurants hotels and food service operators with suppliers. Series B $55M July 2024.,,
ceibo-cl,Ceibo,CL,review,pending_review,,deep,Develops technologies enabling sustainable extraction of copper and critical minerals for the net-zero transition.,,
eden-med-mx,Eden Med,MX,review,pending_review,,unclassified,Healthcare services platform. Dalus Capital portfolio company.,,
farmbox-br,Farmbox,BR,review,pending_review,,deep,Brazilian agronomy management platform for planning monitoring and optimizing agricultural operations across soybean corn cotton and sugarcane. Operates on 4M+ ,,
genial-care-br,Genial Care,BR,review,pending_review,,deep,Health platform specializing in autism spectrum disorder (ASD) care combining applied behavior analysis with technology.,,
gokei-cl,Gokei,CL,review,pending_review,,deep,Digital platform simplifying healthcare reimbursement management allowing patients to submit medical receipts and process reimbursements with insurers instantly,,
grao-direto-br,Grão Direto,BR,review,pending_review,,deep,Digital grain trading platform connecting buyers and producers of soybeans corn and other grains. Series B $15.5M.,,
isobar-br,Isobar,BR,review,pending_review,,unclassified,Precision agriculture platform providing data analytics for coffee and sugarcane producers including microclimate monitoring and crop management.,,
koltin-mx,Koltin,MX,review,pending_review,,deep,Digital health platform for chronic condition management including diabetes care.,,
motivia-ar,Motivia,AR,review,pending_review,,deep,AI and behavioral sciences platform to improve medication adherence for chronic disease patients. Pre-seed $1.2M led by Alaya Capital.,,
nagro-br,Nagro,BR,review,pending_review,,unclassified,AgriFintech platform providing agricultural credit supply chain financing and digital financial products for Brazilian agribusiness.,,
sousmile-br,SouSmile,BR,review,pending_review,,deep,Digital orthodontics platform offering clear aligners with remote monitoring by licensed dentists. Raised Series A.,,
welli-co,Welli,CO,review,pending_review,,deep,Digital platform enabling instant medical financing for healthcare procedures connecting patients with clinics. Series A $25M. 1500+ partner clinics.,,
wiseconn-chile-cl,Wiseconn Chile,CL,review,pending_review,,deep,Software platform automating monitoring and control of irrigation systems to reduce water consumption. Series B led by Morningside Group. (duplicate check),,
