cluster_id,original_label,curated_label,startup_name,fit,flags,margin,token_overlap,policy_fit,technology_features,industry_features
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Radbio,good,,15.6,therapeutics,true,biologic; therapeutics; beta; modulation; biomolecule; development,fibrosis; oncology; complex; chronic; disease; therapeutics
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Momentum Therapeutics,good,,16.7,therapeutics; drug,true,proteomics; biological; models; drug; discovery,neurodegeneration; aging; therapeutics
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Ardan,good,,22.2,therapeutics; drug,true,molecule; modulators; tmem; immuno; oncology; drug,oncology; immunotherapy
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Invitrall,good,,26.4,therapeutics; medicine; drug; regenerative; tissue,true,vitro; organ; models; human; tissue; toxicology,drug; discovery; toxicology; pharma; regenerative; medicine
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Tesabio.ai,good,,15.1,therapeutics; medicine; drug; regenerative,true,drug; discovery; microrna; network; modulation; molecules,oncology; neurodegeneration; anemia; immune; disorders
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Scitherm Therapeutics,good,,12.9,therapeutics,true,silico; molecular; design; vitro; validation,obesity; metabolic; disease
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Apasomics,good,,20.3,therapeutics; medicine; drug; regenerative,true,nanotechnology; bone; targeted; drugdelivery; hydroxyapatite; nanospheres,bone; regenerative; medicine
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Plamic,good,,24.2,medicine; drug,true,microfluidics; chip; nanomedicine; drugdelivery; formulation; characterization,pharmaceutical; manufacturing
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Dharma BioScience,good,,18.2,therapeutics; medicine; regenerative; tissue,true,regenerative; medicine; tissue; regeneration; repair; therapeutics,tissue; repair; regenerative; medicine; therapeutics
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Cell Farm,watch,weak_token_overlap,20.5,,true,cellular,cultivated; meat; cellular
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Single Strand Biotech,good,,15.9,therapeutics; medicine; regenerative; tissue,true,synthetic; oligonucleotides; immunomodulation; tissue; regeneration,inflammatory; disease; therapeutics
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,MicroIN,review,weak_token_overlap; weak_policy_fit,22.4,,false,microencapsulation; bioinputs; formulation,
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Nanotransfer,watch,weak_token_overlap,12.5,,true,metal; oxide; nanoparticles; viral; gene,gene; therapy; genetic; disease
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Vexxel Biotech,watch,weak_token_overlap,19.6,,true,proteins; encapsulation; biological,bioinputs
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,Trebe Biotech,review,weak_token_overlap; weak_policy_fit,15,,false,complex; proteins; biomanufacturing; biotechnology; fermentation; adjacent,ingredients; biological; manufacturing
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,PhylumTech,good,,19.1,drug,true,biotechnology; automation; bioinformatics; behavioral; screening,drug; discovery; biomedical
k12_cluster_1,therapeutics and regenerative bio,therapeutics and regenerative bio,New Organs Biotech,good,,15.6,therapeutics; medicine; regenerative,true,gene; editing; precision; medicine; regenerative; organ,transplant; medicine; regenerative; organ; replacement
