startup_name,country,bio_theme,structured_sector,business_one_liner,website,founding_year,source_type,source_name,verified
Dogma Biotech,CO,therapeutics and regenerative medicine,Therapeutics,"AI-driven synthetic biology platform developing minimalist glycans to enhance protein-based therapies, increasing host-cell productivity and reducing manufacturing costs.",https://www.dogmabiotech.bio/,2023,VC Portfolio,GRIDX,TRUE
BIIOSMART (BiioSmart Technologies),CO,therapeutics and regenerative medicine,Therapeutics,"Biotechnology company specializing in Intelligent Molecular Therapeutics (IMT) that develops molecules evaluating cell state and delivering therapeutic action based on specific triggers.",https://biiosmart.com/,2010,Company Registry,Crunchbase,TRUE
Koji (The Koji Lab),CO,food systems and alternative proteins,Food Systems & Alt Proteins,"Biotechnology startup modernizing agri-food value chains through fermentation, using traditional koji fermentation to unlock natural flavors from agricultural ingredients sustainably.",https://www.koji.com.co/,2020,Startup Registry,Fi Europe/Startup Ecosystem,TRUE
EatCloud,CO,food systems and alternative proteins,Food Systems & Alt Proteins,"World's largest food surplus redistributor using AI to match providers with vulnerable communities. Redistributed 42000 tons of food (95M meals) preventing waste and CO2 emissions.",https://eatcloud.co/,2019,Company Registry,Crunchbase,TRUE
SciPhage,CO,ag biologicals and crop resilience,Diagnostics & Ag Biologicals,"Colombian biotechnology company developing phage-based bioproducts to control Salmonella in poultry and aquaculture, preventing the need for traditional antibiotics.",https://www.bacteriophage.news/database/sciphage/,2014,Company Registry,VC4A/Dealroom.co,TRUE
Hem Healthtech,CO,diagnostics and medical devices,Diagnostics & Devices,"Founded by Universidad de los Andes students. Develops mobile point-of-care blood tests using paper-based diagnostics to improve remote diagnosis and preventive healthcare in rural Colombia.",https://www.linkedin.com/company/hemhealthtech,2021,University Spinoff,University of the Andes,TRUE
Labtronics SAS,CO,diagnostics and medical devices,Diagnostics & Devices,"Colombian diagnostic distribution company commercializing clinical diagnostic products including COVID tests. Specializes in GeneProof molecular biology PCR solutions with 45 employees.",https://www.labtronics.net/,1999,Company Registry,EMIS/Company Registry,TRUE
Lifepack,CO,biomaterials and sustainable polymers,Biomaterials & Green Chemistry,"Colombian startup manufacturing biodegradable disposable plates from corn and pineapple waste. Founded by Claudia Barona and Andrés Benavides, operating in Cali, Bogotá, and Medellín.",https://lifepack.bio/,2020,Startup Registry,Bioeconomy/Startup Ecosystem,TRUE
MUTA,CO,biomaterials and green chemistry,Biomaterials & Green Chemistry,"Colombian circular economy startup connecting generators, collectors and recyclers. Focuses on waste valorization and resource recovery through bioeconomy approaches for industrial applications.",https://muta.com.co/,2019,Startup Registry,Colombian Startup Ecosystem,TRUE
Sioma,CO,precision agriculture and resource intelligence,Precision Agriculture,"Precision agriculture platform combining hardware and software for banana and palm cultivation. Uses IoT and big data for productivity tracking, field inventory, and export optimization. Based in Antioquia/Uraba.",https://www.sioma.com/,2015,Startup Registry,Crunchbase/PitchBook,TRUE
Agricapital,CO,precision agriculture and resource systems,Precision Agriculture,"Agrifintech platform providing digital AgroCRedito (agricultural credit) for Colombian smallholder farmers, improving access to formal financing through digital solutions.",https://agricapital.co/,2017,Startup Registry,Colombian Startup Ecosystem,TRUE
Incluirtec,CO,precision agriculture and resource systems,Precision Agriculture,"Colombian agfintech-as-a-service platform enabling formal credit access for smallholder farmers through digital integration with financial services and agricultural supply chains.",https://incluirtec.com/,2018,Startup Registry,Colombian Startup Ecosystem,TRUE
TuPlaza,CO,food systems and alternative proteins,Food Systems & Alt Proteins,"Colombian fresh-produce supply-chain platform connecting quality-focused producers with retailers and consumers, reducing food waste and improving market access for farmers.",https://tuplaza.com.co/,2018,Startup Registry,Colombian Startup Ecosystem,TRUE
