"Id","Label","Theme","ClusterId","Country","QualityBand","QualityScore","ReviewStatus","SourceUrl","SourceType","MarketLabel","TransitionFunction","TechnicalStack","IndustryDestination","Summary","OneLiner","SemanticScore","SemanticMargin","SemanticConfidence","Size","r","g","b"
"beam_croptech","BEAM CropTech","ag biologicals and crop resilience","cluster_1","","medium","7.5","reviewed","https://beamcroptech.com/en/home-en/","official_website","crop trait biotech","climate-stressed-low-yield-crops-to-more-resilient-productive-cultivation","plant photobiology; genetic engineering; seed trait development","agriculture and seed industry","Agrobiotech que desarrolla tecnologias geneticas basadas en fotobiologia para mejorar fotosintesis, productividad y resiliencia de cultivos. Entra en tesis por ag biologicals and crop resilience.","Crop trait biotech based on plant photobiology.","49.7","44.1","high","12","126","87","194"
"beeflow","Beeflow","ag biologicals and crop resilience","cluster_1","","medium","8","reviewed","https://www.beeflow.com/about-us","official_website","agriculture biotech","extractive-to-more-efficient agriculture","bee biology; plant science; data analytics","fruit and specialty crop agriculture","Biotecnologica de polinizacion que combina ciencia de cultivos, biologia de abejas y tecnologias nutricionales propietarias para mejorar rendimiento y calidad de fruta. Entra en tesis por ag biologicals and crop resilience.","Pollination science company for agriculture.","28.3","24.1","high","12.4","126","87","194"
"bioeutectics","Bioeutectics","ag biologicals and crop resilience","cluster_1","AR/US","high","8.5","seeded","https://www.bioeutectics.com/","official_website","green chemistry; biomaterials; bioindustry","petrochemical-to-biobased-industrial-chemistry","biobased solvents; materials science; formulation","chemicals, materials, cosmetics and ag","Bioeutectics develops bio-based solvent systems that replace petrochemical solvents in industrial processes. Entra en tesis por biobased chemistry and advanced materials. TRL actual inferido: 9.","Bioeutectics develops bio-based solvent systems that replace petrochemical solvents in industrial processes.","0","0","low","12.8","126","87","194"
"bioheuris","Bioheuris","ag biologicals and crop resilience","cluster_1","","medium","8","reviewed","https://bioheuris.com/aboutus","official_website","ag biotech; crop traits","chemical-intensive-to-resilient-crop-systems","gene editing; crop trait development; plant science","agriculture","Biotech agricola que desarrolla herramientas geneticas y traits editados para mejorar control de malezas y productividad de cultivos. Entra en tesis por ag biologicals and crop resilience.","Crop trait biotech for resilient agriculture.","46.7","40.9","high","12.4","126","87","194"
"bsafe_biotech","Bsafe Biotech","ag biologicals and crop resilience","cluster_1","","medium","7.5","reviewed","https://www.bsafebiotech.com/","official_website","biological pest control company","chemical-intensive-to-biological-pest-management","genetics; microorganisms; biological control","agriculture","Startup de control biologico que busca un nuevo modo de accion para manejo de plagas usando genetica y microorganismos. Entra en tesis por ag biologicals and crop resilience.","Biological control company for agriculture.","20.7","13.7","high","12","126","87","194"
"caligenia","Caligenia","ag biologicals and crop resilience","cluster_1","","medium","7.5","seeded","https://www.gridexponential.com/portfolio","official_portfolio_profile","carbon-negative biofertilizers","waste-and-synthetic-inputs-to-carbon-negative-biofertility","waste valorization; biofertilizers; agricultural biotech","agriculture","Startup agrobiotech que transforma guano de pollo en biofertilizantes carbono-negativos. Entra en tesis por ag biologicals and crop resilience.","Carbon-negative biofertilizers from chicken manure.","37.3","10.4","medium","12","126","87","194"
"eiru","Eirú","ag biologicals and crop resilience","cluster_1","AR","high","8.5","seeded","https://sf500.com.ar/","official_portfolio_profile","advanced pollination optimization","lower-pollination-efficiency-to-biology-informed-optimization","simulated bee dynamics; pollination optimization","agriculture","Startup agtech enfocada en optimizacion avanzada de polinizacion mediante dinamicas simuladas de abejas. Entra en tesis por su acople directo con rendimiento y resiliencia agricola.","Advanced pollination optimization through simulated bee dynamics.","21.5","0.6","low","12.8","126","87","194"
"feedvax","Feedvax","ag biologicals and crop resilience","cluster_1","","medium","8","reviewed","https://www.feedvax.com/","official_website","animal health biotech","antibiotic-intensive-to-preventive-biological-animal-health","oral vaccines; fish health; animal biotechnology","aquaculture","Startup de animal biotech que desarrolla vacunas orales para peces para reducir estres operativo y evitar antibioticos en acuicultura. Entra en tesis por ag biologicals and crop resilience.","Oral vaccine platform for aquaculture.","17.7","8.1","medium","12.4","126","87","194"
"geoprot","Geoprot","ag biologicals and crop resilience","cluster_1","AR","medium","8","seeded","https://geoprot.bio","candidate_website_from_user_csv","natural protein crop protection","synthetic-pest-control-to-natural-protein-protection","natural proteins; crop protection biotech","agriculture","Startup agrobiotech que protege cultivos mediante proteinas naturales. Entra en tesis por ag biologicals and crop resilience.","Crop protection through natural proteins.","54.3","39.9","high","12.4","126","87","194"
"inbioar","Inbioar","ag biologicals and crop resilience","cluster_1","AR","medium","8","reviewed","https://inbioar.com/","official_website","botanical crop-protection ingredient discovery platform","synthetic-crop-protection-to-botanical-low-residue-solutions","plant extract libraries; field collection; greenhouse trials; compound identification","agroindustry and crop protection","Startup de descubrimiento de ingredientes botanicos para proteccion de cultivos, enfocada en herbicidas, fungicidas, insecticidas y estimulantes de origen natural.","Botanical crop-protection ingredient discovery platform.","26.3","3.3","low","12.4","126","87","194"
"inmet","INMET","ag biologicals and crop resilience","cluster_1","AR","medium","8","seeded","https://sf500.com.ar/","official_portfolio_profile","fully compostable solvent-free biopolymer","fossil-and-solvent-intensive-materials-to-compostable-biopolymers","biopolymer; compostable materials; solvent-free formulation","materials and packaging","Startup de materiales que desarrolla un biopolimero totalmente compostable y libre de solventes. Entra en tesis por biobased chemistry and advanced materials.","Fully compostable, solvent free, biopolymer.","0","0","low","12.4","126","87","194"
"m4life","M4Life","ag biologicals and crop resilience","cluster_1","AR","medium","8","seeded","https://sf500.com.ar/","official_portfolio_profile","abiotic stress plant resilience enhancer","stress-vulnerable-crops-to-biologically-enhanced-resilience","biological plant resilience enhancer; abiotic stress","agriculture","Startup agrobiotech que desarrolla un enhancer biologico para resiliencia vegetal frente a estres abiotico. Entra en tesis por ag biologicals and crop resilience.","Biological plant resilience enhancer to abiotic stress.","40.5","37.1","high","12.4","126","87","194"
"microin","MicroIN","ag biologicals and crop resilience","cluster_1","AR","medium","8","seeded","https://www.gridexponential.com/portfolio","official_portfolio_profile","bioinput microencapsulation","fragile-bioinputs-to-more-effective-agricultural-delivery","microencapsulation; ag bioinputs; formulation technology","agriculture","Startup de formulacion que desarrolla microencapsulacion para innovacion en bioinsumos. Entra en tesis por ag biologicals and crop resilience.","Microencapsulation for bioinputs.","31.6","27.7","high","12.4","126","87","194"
"nanotica","Nanotica","ag biologicals and crop resilience","cluster_1","AR","medium","8","seeded","https://nanotica.bio","candidate_website_from_user_csv","ag-input efficiency nanotechnology","less-efficient-agrochemicals-to-improved-delivery-and-performance","nanotechnology; agrochemical efficiency","agriculture","Startup que aplica nanotecnologia para mejorar la eficiencia de agroquimicos. Se mantiene dentro por su acople a sistemas agricolas materiales.","Nanotechnology to improve agrochemical efficiency.","20.8","13.1","high","12.4","126","87","194"
"nunatak_biotech","Nunatak Biotech","ag biologicals and crop resilience","cluster_1","AR","medium","8","reviewed","https://www.nunatakbio.com/","official_website","plant-microbiome crop resilience platform","degraded-soils-and-stressed-crops-to-microbiome-enabled-resilience","plant-microorganism association design; symbiosis platform","agriculture and land restoration","Startup de bioinsumos que diseña asociaciones planta-microorganismo para restaurar suelos y mejorar el rendimiento de cultivos en ambientes adversos.","Plant-microbiome crop resilience platform.","35.1","26.1","high","12.4","126","87","194"
"plamic","Plamic","ag biologicals and crop resilience","cluster_1","AR","medium","8","seeded","https://plamic.bio","candidate_website_from_user_csv","nanotechnology pest control for agriculture","less-effective-pest-control-to-better-targeted-ag-interventions","nanotechnology; pest control","agriculture","Startup agtech que aplica nanotecnologia al control de plagas en agricultura. Se mantiene dentro por su acople con sistemas agricolas materiales.","Nanotechnology for pest control in agriculture.","28.9","9.3","medium","12.4","126","87","194"
"puna_bio","Puna Bio","ag biologicals and crop resilience","cluster_1","AR","high","9","seeded","https://www.puna.bio/en","official_website","ag biologicals; regenerative agriculture","degraded-soils-to-productive-soils","extremophile microbiology; microbial inoculants","seeds and row crops","Puna Bio develops extremophile-based agricultural biologicals and microbial inoculants for yield improvement and soil regeneration. Entra en tesis por ag biologicals and crop resilience. TRL actual inferido: 9.","Puna Bio develops extremophile-based agricultural biologicals and microbial inoculants for yield improvement and soil regeneration.","34.2","32.3","high","13.2","126","87","194"
"semion","Semion","ag biologicals and crop resilience","cluster_1","AR","medium","8","reviewed","https://semionbio.com/","official_website","plant defense activation biotech","pest-vulnerable-crops-to-activated-natural-defense-mechanisms","crop defense activation; biomimicry; plant resilience biology","agriculture","Startup agrobiotech que activa mecanismos naturales de defensa de las plantas perdidos durante la domesticacion para mejorar resiliencia frente a plagas sin modificar geneticamente los cultivos. Entra en tesis por ag biologicals and crop resilience.","Biotech to activate natural plant defenses.","48.4","41.2","high","12.4","126","87","194"
"soygreen","SoyGREEN","ag biologicals and crop resilience","cluster_1","","medium","7.5","seeded","https://soygreen.com.ar","candidate_website_from_user_csv","sustainable ag inputs","less-sustainable-ag-practices-to-biological-inputs","biological ag inputs; sustainable agriculture","agriculture","Startup agrobiotech que desarrolla insumos biologicos y soluciones sustentables para el agro. Entra en tesis por ag biologicals and crop resilience.","Biological ag inputs and sustainable solutions for agriculture.","33.3","21.1","high","12","126","87","194"
"syocin_bio","Syocin Biotech","ag biologicals and crop resilience","cluster_1","AR","medium","8","reviewed","https://syocin.com/","official_website","precision protein biobactericides for crop protection","bacterial-crop-disease-to-precision-biological-control","synthetic biology; protein engineering; microbial production","crop protection and sustainable agriculture","Startup ag biotech que desarrolla biobactericidas proteicos de alta precision para proteger cultivos frente a fitopatogenos bacterianos sin afectar microbiomas beneficiosos. Entra en tesis por su uso de biologia sintetica aplicada a resiliencia agricola.","Precision protein biobactericides for crop protection.","28.6","15.7","high","12.4","126","87","194"
"vexxel_biotech","Vexxel Biotech","ag biologicals and crop resilience","cluster_1","AR","medium","8","seeded","https://www.gridexponential.com/portfolio","official_portfolio_profile","protein-based encapsulation for bioinputs","less-precise-bioinput-delivery-to-protein-enabled-release","protein encapsulation; ag biological delivery","agricultural bioinputs","Startup de encapsulacion proteica inteligente para bioinsumos y decisiones biologicas mas precisas. Entra en tesis por ag biologicals and crop resilience.","Smart protein-based encapsulation.","26.3","20.1","high","12.4","126","87","194"
"zavia_bio","Zavia Bio","ag biologicals and crop resilience","cluster_1","AR","high","8.5","seeded","https://ar.linkedin.com/company/zaviabio","linkedin_company_page","agricultural biosolutions for resilience","less-resilient-farming-to-biological-solutions-for-sustainable-agriculture","biological solutions; agricultural biotechnology","agriculture","Startup agrobiotech que desarrolla soluciones biologicas para un sistema agricola mas sostenible, resiliente y seguro. Entra en tesis por ag biologicals and crop resilience.","Biosolutions for resilient and sustainable agriculture.","47.8","45.8","high","12.8","126","87","194"
"tech","@Tech","agri intelligence and traceable markets","cluster_4","AR","medium","7","seeded","https://theyieldlablatam.com/companies/atech/","official_portfolio_profile","animal protein optimization and traceability","lower-efficiency-animal-protein-production-to-data-driven-optimization","AI; data science; IoT; smart ear tags","animal protein supply chains","Startup agtech que usa IA, data science e IoT para optimizar la produccion de proteina animal y trazar animales a lo largo de la cadena. Entra en tesis por su acople biocentrico y material a sistemas vivos de produccion animal.","Animal protein optimization and traceability with AI and IoT.","39","26.7","high","11.6","217","112","179"
