entity_id,table_name,field_name,new_value,source_url,confidence,notes
agricultic-do,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
agrigenetic-ecuador-ec,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
agritech-bolivia-bo,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
agro-logica-co,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
agro360-do,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
agrobit-bolivia-operations-bo,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
agrocontrol-gt,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
agroguia-ve,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
aquabio-cl,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
aquabyte-cl,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
biiosmart-co,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
biocell-mx,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
bioceres-ar,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
biodiverso-insumos-br,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
biofactory-br,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
biolife-innovations-bo,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
biolinker-br,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
biomar-cr,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
bioplast-br,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
bioprocess-automation-brasil-br,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
bioproducts-co,startup_extended,business_one_liner,[] for [],,0.8,Synthesized from tech_codes + industry_codes
