startup_id,startup_name,founded_year,source_url,notes
soygreen,SoyGREEN,2023,https://soygreen.bio/,Confirmed from website: "fundación en diciembre de 2023"
lilliput-technologies-cr,Lilliput Technologies,2024,https://www.lilliputtech.com,DB summary: "Founded April/May 2024 by Deep Science Ventures"
lilliput-technologies-ltd-cr,Lilliput Technologies Ltd.,2024,https://www.lilliputtech.com,DB summary: "Founded April/May 2024 by Deep Science Ventures"
biohack-uio-ec,BioHack UIO,2020,swarm_inline_sonnet_v1,DB: "First community biotech lab in Ecuador (founded 2020)"
recombine-biotech-br,Recombine Biotech,2019,swarm_inline_sonnet_v1,DB: "Spin-off from Federal University of Viçosa founded 2019"
neocroptech-cl,NeoCropTech,2020,swarm_inline_sonnet_v1,DB: "NeoCrop Technologies founded 2020"
salmoss-biotech-cl,SALMOSS Biotech,2022,swarm_inline_sonnet_v1,DB: "Founded 2022"
scintia-mx,Scintia,2017,swarm_inline_sonnet_v1,DB + training: "Educational biotech platform founded 2017"
healthpoint-bo,HealthPoint,2018,https://healthpoint.bo,DB: "Telehealth platform founded 2018"
biolife-innovations-bo,BioLife Innovations,2018,swarm_inline_sonnet_v1,DB: "Biotech startup launched 2018"
bioceres-ar,Bioceres,2001,swarm_inline_sonnet_v1,Training data: publicly listed Argentine biotech founded 2001 at CONICET
aquabyte-cl,Aquabyte,2017,https://www.aquabyte.ai,Training: computer vision aquaculture company founded 2017 (Norwegian-origin)
solinftec,Solinftec,2012,https://www.solinftec.com/en-us/about/,Training: established Brazilian agtech founded 2012 in São Paulo
waterplan,Waterplan,2020,https://www.waterplan.com/,Training: water risk intelligence platform founded 2020
tracestory,Tracestory,2021,https://www.tracestory.com/en/home,Training: agri-supply chain traceability SaaS ~2021 (copyright 2023)
zoomagri,ZoomAgri,2020,https://zoomagri.com/en/home/,Training: aerial intelligence for agriculture founded ~2020
tierra-de-monte-mx,Tierra de Monte,2015,swarm_inline_sonnet_v1,DB one-liner: "Biotech startup founded 2015 in Querétaro"
biogenesis-bago-ec,Biogenesis Bago,1999,swarm_inline_sonnet_v1,Training: Biogenesis Bagó Argentina founded 1999 (veterinary biologics)
